Number of pairs,618.000000
Number of unique pairs,118
Average pair frequency,5.237288
Pair entropy,4.546976

Pair,Frequency,Proportion,Entropy Term,Mutual Information
suspensión argentina,8.000000,0.012945,0.056272,3.150707
suspensión brasil,8.000000,0.012945,0.056272,3.039481
argentina brasil,20.000000,0.032362,0.111028,2.421842
argentina video,4.000000,0.006472,0.032623,1.965083
argentina partido,3.000000,0.004854,0.025863,0.739132
argentina eliminatorias,7.000000,0.011327,0.050751,1.463827
argentina corinthians,4.000000,0.006472,0.032623,2.658230
argentina anvisa,3.000000,0.004854,0.025863,2.621863
argentina fecha,6.000000,0.009709,0.044997,1.734560
argentina minuto,3.000000,0.004854,0.025863,2.082866
argentina estadio,3.000000,0.004854,0.025863,1.928716
argentina sudamericanas,3.000000,0.004854,0.025863,1.271936
brasil argentina,28.000000,0.045307,0.140194,2.758314
brasil video,4.000000,0.006472,0.032623,1.853858
brasil eliminatorias,7.000000,0.011327,0.050751,1.352601
brasil vs,8.000000,0.012945,0.056272,2.952470
brasil jugador,4.000000,0.006472,0.032623,1.853858
brasil fecha,5.000000,0.008091,0.038973,1.441012
brasil minuto,5.000000,0.008091,0.038973,2.482466
brasil estadio,3.000000,0.004854,0.025863,1.817490
perú venezuela,6.000000,0.009709,0.044997,3.720475
papelón argentina,3.000000,0.004854,0.025863,3.469161
partido argentina,3.000000,0.004854,0.025863,0.739132
partido brasil,7.000000,0.011327,0.050751,1.475204
partido perú,4.000000,0.006472,0.032623,2.319582
partido eliminatorias,8.000000,0.012945,0.056272,1.700543
partido quito,3.000000,0.004854,0.025863,2.725047
eliminatorias video,3.000000,0.004854,0.025863,1.657983
eliminatorias partido,9.000000,0.014563,0.061591,1.818326
eliminatorias qatar,4.000000,0.006472,0.032623,2.756595
eliminatorias europeas,8.000000,0.012945,0.056272,3.449743
eliminatorias estadio,3.000000,0.004854,0.025863,1.909297
eliminatorias sudamericanas,25.000000,0.040453,0.129758,3.372781
lionel argentina,3.000000,0.004854,0.025863,2.002824
lionel messi,9.000000,0.014563,0.061591,4.200048
