Number of pairs,6021.000000
Number of unique pairs,1281
Average pair frequency,4.700234
Pair entropy,6.951919

Pair,Frequency,Proportion,Entropy Term,Mutual Information
lilia paredes,3.000000,0.000498,0.003789,6.162065
paredes reinas,11.000000,0.001827,0.011519,4.297280
paredes show,9.000000,0.001495,0.009725,3.859479
paredes baile,4.000000,0.000664,0.004861,4.840309
paredes descompensación,5.000000,0.000830,0.005891,5.468917
vacunatón mes,3.000000,0.000498,0.003789,4.481858
vacunatón lima,4.000000,0.000664,0.004861,3.510585
vacunatón callao,4.000000,0.000664,0.004861,4.216154
vacunatón año,7.000000,0.001163,0.007856,3.383245
vacunatón persona,6.000000,0.000997,0.006887,3.993011
vacunatón domingo,3.000000,0.000498,0.003789,3.746151
vacunatón septiembre,3.000000,0.000498,0.003789,4.359255
vacuna sinopharm,5.000000,0.000830,0.005891,6.085104
vacuna inmunización,3.000000,0.000498,0.003789,4.801088
vacuna covax,5.000000,0.000830,0.005891,6.267425
vacuna anticovid,3.000000,0.000498,0.003789,6.267425
josé luis,7.000000,0.001163,0.007856,5.692061
josé latorre,6.000000,0.000997,0.006887,6.518740
josé ugaz,6.000000,0.000997,0.006887,6.231057
josé fernández,4.000000,0.000664,0.004861,6.518740
josé procurador,5.000000,0.000830,0.005891,6.518740
perú partido,3.000000,0.000498,0.003789,1.363523
perú estadio,3.000000,0.000498,0.003789,2.712077
perú nacional,3.000000,0.000498,0.003789,2.370328
perú eliminatorias,5.000000,0.000830,0.005891,2.064392
perú comisión,4.000000,0.000664,0.004861,3.160102
perú hora,3.000000,0.000498,0.003789,2.573927
perú condición,3.000000,0.000498,0.003789,3.810689
perú venezuela,40.000000,0.006643,0.033311,4.321515
perú libre,13.000000,0.002159,0.013253,4.909302
perú año,3.000000,0.000498,0.003789,0.926510
perú vs,11.000000,0.001827,0.011519,3.780836
perú local,3.000000,0.000498,0.003789,3.442965
perú lapadula,3.000000,0.000498,0.003789,3.174701
perú casa,4.000000,0.000664,0.004861,3.251074
españa georgia,5.000000,0.000830,0.005891,7.771502
georgia eliminatorias,3.000000,0.000498,0.003789,4.598089
mundial catar,4.000000,0.000664,0.004861,6.082022
mundial qatar,5.000000,0.000830,0.005891,4.846550
partido perú,10.000000,0.001661,0.010630,2.567496
partido día,3.000000,0.000498,0.003789,1.874349
partido rumbo,4.000000,0.000664,0.004861,4.107941
partido brasil,13.000000,0.002159,0.013253,2.647539
partido argentina,8.000000,0.001329,0.008801,2.244722
partido eliminatorias,18.000000,0.002990,0.017377,3.354896
partido qatar,13.000000,0.002159,0.013253,3.722620
partido selección,4.000000,0.000664,0.004861,2.616286
partido hora,5.000000,0.000830,0.005891,3.094322
partido venezuela,5.000000,0.000830,0.005891,2.251643
partido clave,3.000000,0.000498,0.003789,4.071573
partido jornada,4.000000,0.000664,0.004861,3.360726
partido movistar,8.000000,0.001329,0.008801,3.862818
partido deportes,4.000000,0.000664,0.004861,4.107941
partido ecuador,3.000000,0.000498,0.003789,2.759387
partido chile,3.000000,0.000498,0.003789,2.685279
partido fecha,3.000000,0.000498,0.003789,2.105460
partido vs,3.000000,0.000498,0.003789,2.491123
partido quito,4.000000,0.000664,0.004861,3.907270
partido señal,3.000000,0.000498,0.003789,3.127112
clasificatorias catar,4.000000,0.000664,0.004861,6.162065
clasificatorias qatar,3.000000,0.000498,0.003789,4.415767
día partido,3.000000,0.000498,0.003789,1.874349
día internacional,8.000000,0.001329,0.008801,5.014662
día mujer,6.000000,0.000997,0.006887,3.450687
día indígena,5.000000,0.000830,0.005891,4.950124
día año,5.000000,0.000830,0.005891,1.948161
día objetivo,4.000000,0.000664,0.004861,4.726980
día red,3.000000,0.000498,0.003789,3.628368
día importancia,4.000000,0.000664,0.004861,4.726980
día portada,9.000000,0.001495,0.009725,5.314767
día exitosa,3.000000,0.000498,0.003789,4.572829
internacional mujer,3.000000,0.000498,0.003789,4.415767
internacional indígena,3.000000,0.000498,0.003789,6.097526
internacional cusco,3.000000,0.000498,0.003789,5.979743
internacional chinchero,3.000000,0.000498,0.003789,7.078355
internacional objetivo,4.000000,0.000664,0.004861,6.385208
internacional lucha,4.000000,0.000664,0.004861,5.631436
internacional importancia,4.000000,0.000664,0.004861,6.385208
mujer indígena,5.000000,0.000830,0.005891,5.332058
mujer américa,4.000000,0.000664,0.004861,4.549299
mujer lucha,3.000000,0.000498,0.003789,4.067461
mujer acoso,3.000000,0.000498,0.003789,5.514380
mujer latina→,4.000000,0.000664,0.004861,5.802062
rumbo catar,3.000000,0.000498,0.003789,6.162065
rumbo qatar,4.000000,0.000664,0.004861,4.991132
grupo presidente,4.000000,0.000664,0.004861,3.166332
grupo turista,3.000000,0.000498,0.003789,5.363557
grupo año,3.000000,0.000498,0.003789,1.891590
grupo alpha,3.000000,0.000498,0.003789,5.363557
grupo fuerzas,3.000000,0.000498,0.003789,5.586700
estadio nacional,8.000000,0.001329,0.008801,4.709280
estadio eliminatorias,4.000000,0.000664,0.004861,3.199372
estadio fecha,5.000000,0.000830,0.005891,3.964840
estadio paz,4.000000,0.000664,0.004861,5.574278
estadio corinthians,4.000000,0.000664,0.004861,5.456495
estadio rodrigo,4.000000,0.000664,0.004861,5.707809
estadio delgado,4.000000,0.000664,0.004861,6.044282
exportación julio,3.000000,0.000498,0.003789,7.329670
exportación caso,4.000000,0.000664,0.004861,5.340085
exportación vaca,3.000000,0.000498,0.003789,7.106526
exportación carne,3.000000,0.000498,0.003789,7.617352
frente situación,3.000000,0.000498,0.003789,6.184537
mayores año,4.000000,0.000664,0.004861,4.258714
madre dios,5.000000,0.000830,0.005891,6.454201
conmebol partido,3.000000,0.000498,0.003789,3.244895
conmebol suspensión,7.000000,0.001163,0.007856,5.240076
conmebol brasil,6.000000,0.000997,0.006887,3.746151
conmebol local,3.000000,0.000498,0.003789,5.324336
conmebol árbitro,3.000000,0.000498,0.003789,6.790673
suspensión partido,6.000000,0.000997,0.006887,3.214123
suspensión brasil,15.000000,0.002491,0.014935,3.938523
suspensión argentina,14.000000,0.002325,0.014100,3.952222
suspensión eliminatorias,4.000000,0.000664,0.004861,2.998701
suspensión millón,3.000000,0.000498,0.003789,3.404167
suspensión dosis,3.000000,0.000498,0.003789,3.581848
suspensión vs,3.000000,0.000498,0.003789,3.639006
