Word,PonderadoApilado,Similares
gustavo dulanto,9.42,"['dulanto', 'gustavo dulanto  conéctate']"
fase 2,8.16,"['fase', '2/2', 'fase 2 estamos']"
champions league,7.430000000000001,"['champions league no', 'champions league video', 'champions']"
sheriff tiraspol,6.6,"['sheriff', 'tiraspol']"
barcelona,5.99,"['goleada barcelona', 'peor barcelona']"
equipo,5.97,['hockey(equipo']
partido,5.25,['el partido del psg']
defensa,4.97,['ministerio de defensa']
real madrid,4.9,['madrid']
grupo,4.85,"['grupo h', 'grupo f', 'grupo e robert lewandowski', 'grupo e']"
perú,4.510000000000001,"['arriba perú', 'vamos perú']"
cristiano,3.69,['cristiano ronaldo']
benfica video,3.66,['benfica']
selección,3.3000000000000003,['selección peruana']
laliga,3.11,"['laliga santander', 'messi laliga']"
manchester united,2.99,['cristiano ronaldo manchester united']
balón de oro,2.84,"['oro', 'balón']"
victoria,2.8200000000000003,"['victoria las muñecas', 'buscando la victoria', 'gran victoria nacional']"
fútbol,2.56,['liga femenina de fútbol']
koeman,2.5,['ronald koeman']
sergio peña,2.47,"['sergio peña vamos sergio', 'debut sergio peña']"
club,2.4499999999999997,"['la gente del club', 'el club siempre me']"
villarreal video,2.2,['villarreal']
getty images,1.9999999999999998,"['getty', 'images']"
la lista de los 10 máximos asistidores en la historia de la champions,1.96,"['lista', 'historia']"
zenit,1.94,['zenit de san petersburgo']
darwin núñez,1.83,['darwin núñez(x2']
colombia,1.8299999999999998,"['james colombia', 'colombia rueda']"
vamoooos,1.8199999999999998,['vamooos']
lionel messi,1.6800000000000002,['lionel messi  tirado']
city,1.56,"['manchester city', 'new york city']"
problema,1.49,['problemas']
presencia,1.44,['presidencia']
hernán barcos,1.43,"['barcos', 'caballeros hernán barcos']"
kylian mbappé,1.43,['mbappé']
jesús oropesa dt,1.4,['jesús oropesa']
yotún,1.36,['yoshimar yotún']
corzo,1.36,['aldo corzo']
bayern,1.35,['bayern múnich']
malmö,1.3,['el malmö']
eliminatorias sudamericanas,1.27,['eliminatorias']
atlético grau,1.24,['atlético']
2021,1.21,['panam challenge 2021']
palabra,1.21,['palabras']
copa américa,1.1600000000000001,"['copa américa 2019', 'américa']"
goleada,1.15,['goleada bayern múnich']
round robin,1.13,['round robin  anotaciones  maru montes']
horario,1.04,['horarios']
dinamo de kiev,0.99,['dinamo kiev']
brevet,0.96,['breve']
cómo saber si soy beneficiario,0.94,['beneficiario']
yanapay,0.94,['bono yanapay']
red devils,0.94,['red']
septiembre,0.9299999999999999,['setiembre']
link bono,0.9299999999999999,['bono']
old trafford alcácer,0.85,['old trafford']
bonucci,0.85,['leonardo bonucci']
buen ritmo,0.84,['ritmo']
mundial de voleibol sub 18 los aztecas,0.83,['mundial de voleibol sub 18 las']
lewandowski,0.81,['robert lewandowski']
conferencia,0.8,['conferencia este']
vía evitamiento,0.8,['vía']
liga 1,0.77,['liga']
estadísticas,0.77,['estadística']
chiesa,0.74,['federico chiesa']
chelsea video,0.74,['chelsea']
corazón,0.7,['cantada con el corazón']
gooooooooool,0.6699999999999999,['goooooooool']
1200 pm,0.64,['200 pm']
