Word,PonderadoApilado,Similares
covid-19,8.91,['covid-19 hoy']
hija,6.62,['el video de su hija']
perú,6.0,"['el perú', 'perú libre', 'viejos zorros perú', 'la voz perú']"
pedro castillo,5.66,"['vargas llosa pedro castillo', 'pedro', 'pedro castillo gobierno']"
andrea san martín,5.16,['andrea']
persona,4.95,['personal']
álvaro paz de la barra,4.87,"['álvaro paz', 'paz de la barra', 'álvaro', 'la molina álvaro paz de la barra']"
sofía franco,4.34,['sofía']
juan víctor,4.220000000000001,['juan víctor sánchez']
gustavo dulanto,4.11,['dulanto']
conductora,3.81,['conductor']
crítica,3.8,['critica']
corazón,3.79,"['día mundial del corazón consejos', 'día mundial del corazón cómo', 'día mundial del corazón tres', 'día mundial del corazón']"
sebastián,3.75,['sebastián lizarzaburu']
padre,3.65,['britney spears padre']
mujer,3.6100000000000003,['café con aroma de mujer']
américa,3.61,"['américa hoy', 'copa américa']"
cantante,3.56,['el cantante de cumbia']
magaly medina,3.3,"['magaly', 'magaly medinano']"
fiscalía vladimir cerrón,3.22,"['cerrón', 'vladimir cerrón', 'fiscalía']"
gisela valcárcel,2.9699999999999998,['gisela']
eeg,2.95,['la academia serie de eeg']
equipo,2.92,['sheriff el equipo sensación de']
show,2.79,"['reinas del show” bailarín', 'el gran show']"
setiembre,2.73,['septiembre']
alejandro toledo,2.6,['rafael vela alejandro toledo']
madre,2.58,"['isabel pantoja madre', 'mi madre  gino pesaressi']"
miércoles,2.53,['avance  miércoles  la uchulú']
historia,2.49,"['la historia de la acrobacia', 'historial']"
evelyn vela,2.4299999999999997,['vela']
lima,2.3899999999999997,['lima norte']
champions league,2.37,['champions']
guerreros puerto rico,2.32,"['guerreros', 'puerto', 'rico']"
gabriela herrera “estar,2.3000000000000003,"['gabriela herrera ""estar seguro', 'gabriela herrera', 'herrera']"
gobierno,2.3,['gobierno de junín']
reinas,2.18,['reina']
profesor,2.15,['profesora']
guerra,2.15,['esto es guerra “todos somos humanos y cometemos errores']
camisea,2.12,['gas de camisea']
diana sánchez,2.1,['sánchez']
emoción,2.01,['lloramos de emoción beto da silva']
techo propio,1.9100000000000001,['bono techo propio 2021 link cómo']
milett figueroa,1.8599999999999999,['millett figueroa']
salud,1.7399999999999998,['salud personas']
rodrigo gonzález,1.7000000000000002,['rodrigo']
imagen,1.66,['encuentran imagen de la virgen']
la voz senior,1.62,"['senior', 'voz']"
respuesta,1.58,['repuesta']
lapadula,1.5699999999999998,['gianluca lapadula']
christian domínguez,1.56,['christian']
alejandra baigorria,1.55,['alejandra']
dinámicos del centro,1.54,['ministerio público dinámicos del centro']
venezolano,1.53,['venezolana']
disney plus,1.5199999999999998,"['disney+', 'disney']"
rosell,1.46,['gustavo rosell']
selección,1.43,['selección peruana']
nuestra portada de hoy 29 de septiembre,1.42,['portada']
buenos días,1.42,['buenos días esta']
keiko fujimori,1.42,['keiko fujimori fiscalía']
rosángela espinoza “no me siento cómoda,1.38,['rosángela espinoza']
consejo,1.22,['consejos']
real madrid,1.19,['madrid']
barcelona,1.19,['barcelona sc']
victoria,1.16,['victoria las muñecas']
juego,1.15,['el juego del calamar']
cholo,1.13,['cholo sano']
mi primera mejor amiga,1.1,['amiga']
cassandra sánchez de lamadrid esta,1.09,['cassandra sánchez']
habeas,1.0899999999999999,['habea']
balán gonzales,1.0899999999999999,['balán gonzáles']
sagrado,1.08,['valle sagrado de los incas']
pregunta del día   los,1.08,['pregunta del día']
hospital rebagliati acusan,1.08,['hospital rebagliati']
s/,1.07,['s/400']
britney spears,1.0699999999999998,['britney spears tribunal']
iphone,1.0699999999999998,['iphone 13']
yoshimar yotún video,1.05,['yotún']
consulta sisfoh,1.03,['consulta']
gareca,1.03,['gareca dale']
mario vargas llosa,1.02,['vargas llosa']
sheriff de dulanto,1.01,['sheriff de']
brazo,0.99,['abrazo']
mendoza,0.98,['verónika mendoza']
president,0.98,['presidente']
encuentro,0.95,['reencuentro']
cuto guadalupe,0.94,['guadalupe']
bono yanapay beneficiarios,0.9199999999999999,['bono yanapay']
horario,0.8999999999999999,['horarios']
youtuber,0.87,['youtube']
felicidades,0.85,['felicidad']
hae soo de squid game,0.8300000000000001,['squid game']
oliverio,0.81,['oliverio mayta']
espn,0.8,['espn a']
plata,0.8,['planta']
