Word,PonderadoApilado,Similares
perú,53.55000000000002,"['perú libre', 'el perú', 'nuevo perú', 'bancada de perú libre', 'bono yanapay perú', 'perú libre jhakeline', 'tv perú', 'colegio de enfermeros del perú', 'arriba perú', 'vamos perú', 'perú señor de los milagros', 'somos perú-partido morado', 'roxana del águila superintendente nacional de migraciones del perú', 'viejos zorros perú', 'perú libre poder judicial', 'la voz perú', 'bancada perú libre', 'yanapay perú cómo', 'jorge coayla de perú libre no', 'bicentenario institucional la marina de guerra del perú', 'foto marina de guerra del perú', 'república de perú', 'gestión integrada y efectiva del control de oferta de drogas en el perú', 'gs1 perú', 'juntos por el perú', 'perú libre jhakeline ugarte mamani', 'podemos perú', 'gobierno de castillo  frente amplio nuevo perú juntos por el perú', 'interior del colegio médico del perú', 'ipsos perú', 'sos perú', 'educación del perú', 'el perú sin estudio']"
covid-19,37.49999999999999,"['covid', 'peru no covid-19-related deaths in metropolitan lima on sep', 'covid-19 minsa', 'oas permanent council to analyze covid-19 evolution', 'covid-19 más', 'covid-19 señalan', 'covid-19 hoy', 'peru over 300000 covid-19', 'covid-19 no']"
presidente,37.449999999999996,"['expresidente', 'residente', 'president', 'presidenta', 'residentes', 'premier no respeta al presidente   esta', 'el presidente', 'presidente castillo', 'el presidente ejecutivo', 'presidente del seguro']"
ministro,33.629999999999995,"['ministro de trabajo iber maraví', 'ministro iber maraví', 'exitosa el ministro de trabajo iber maraví', 'ministro de asuntos exteriores', 'ministro de vivienda', 'ministro maraví', 'ministro carrasco', 'ministro de transportes', 'ministro del interior', 'ministro de salud', 'exitosa el ministro de trabajo y promoción del empleo iber maraví', 'el ministro de cultura ciro gálvez', 'ministro de salud hernando cevallos', 'ejecutivo   el ministro de salud hernando cevallos', 'ministro de trabajo y promoción del empleo', 'consejo de ministro', 'el ministro de trabajo', 'la interpelación al ministro de trabajo', 'maraví el ministro de trabajo y promoción del empleo iber maraví', 'ministro de economía', 'ministro de defensa walter ayala', 'ministro de justicia y derechos humanos']"
país,32.540000000000006,"['avanza país', 'congresista de avanza país patricia chirinos', 'vídeo avanza país', 'guido bellido avanza país', 'norma yarrow de avanza país', 'de acuerdo al país', 'el país']"
persona,25.450000000000003,['personal']
gobierno,25.090000000000007,"['gobierno de junín', 'gobiernos', 'el gobierno para el “pueblo', 'palacio de gobierno', 'instituto de desarrollo de funcionarios del gobierno local de corea', 'pedro castillo gobierno', 'gobierno peruano', 'gobierno steffen seibert', 'gobierno de estados unidos', 'gobierno regional de loreto', 'palacio de gobierno ministra durand', 'pamuk del gobierno territorial autónomo de la nación wampís', 'el gobierno', 'gobierno de castillo', 'economía del gobierno', 'el gobierno chileno']"
guido bellido,23.48,"['bellido', 'gabinete ministerial guido bellido', 'consejo de ministros guido bellido', 'puno guido bellido', 'guido) bellido', 'guido bellido ugarte', 'consejo de ministros guido bellido ugarte']"
setiembre,22.84,['septiembre']
pedro castillo,22.48,"['castillo', 'vargas llosa pedro castillo', 'mario vargas llosa pedro castillo', 'pedro castillo partido político magisterial y popular', 'pedro', 'pedro castillo un', 'pedro) castillo', 'pedro castillo  lizarzaburu']"
camisea,22.330000000000002,"['gas de camisea', 'consorcio camisea', 'camiseta', 'renegociación de camisea', 'camisea por', 'meeting with camisea', 'el consorcio camisea']"
champions league,21.419999999999998,"['uefa champions league', 'champions', 'champions league  mira', 'uefa champions league malmo', 'champions league video', 'champions league no', 'champions l', 'champions league conoce']"
alejandro toledo,21.22,"['toledo', 'rafael vela alejandro toledo', 'alejandro toledo conéctate', 'alejandro toledo hábeas']"
miércoles,19.959999999999997,"['este miércoles desde las 900 pm por tvperú', 'avance  miércoles  la uchulú', 'atención este miércoles']"
congreso,19.59,"['congreso de la república', 'congreso fiscalización', 'comisión de ética del congreso', 'vivo junta de portavoces del congreso', 'congreso sesión', 'congreso legisladores', 'congreso de la r', 'comisión de relaciones exteriores del congreso', 'campaña electoral de la presidenta del congreso', 'congreso paraguayo', 'cuestionan prerrogativa del congreso para no aplicar', 'sutep congreso']"
lima,19.069999999999997,"['lima metropolitana', 'lima norte', 'lima vecinos', 'cercado de lima', 'lima falsos', 'bolsa de valores de lima', 'exitosa lima', 'space apps challenge lima', 'la municipalidad de lima', 'lima te cuida', 'tiro lima', 'lima centro', 'lima fiscal']"
gustavo dulanto,17.8,"['dulanto', 'gustavo dulanto  conéctate']"
salud,17.75,"['ministerio de salud', 'salud pública gustavo rosell', 'el viceministro de salud pública gustavo rosell', 'salud gustavo rosell', 'viceministro de salud pública', 'salud personas', 'federación de funcionarios de salud pública', 'dirección regional de salud', 'el vocero del sector salud césar munayco', 'edgardo rebagliati del seguro social de salud']"
consejo de ministros,17.699999999999996,"['consejo', 'presidencia del consejo de ministros', 'vivo consejo de ministros', 'la sesión de consejo de ministros']"
