Word,PonderadoApilado,Similares
perú,10.05,"['perú libre', 'bancada de perú libre', 'el perú', 'somos perú-partido morado', 'perú señor de los milagros', 'tv perú', 'yanapay perú cómo', 'jorge coayla de perú libre no']"
presidente,7.68,"['expresidente', 'presidenta', 'residente', 'president']"
gas de camisea,5.95,"['camisea', 'gas']"
covid-19,5.41,['covid-19 minsa']
persona,5.4,['personal']
ministro,5.37,"['ministro carrasco', 'ministro de salud hernando cevallos', 'ministro de trabajo y promoción del empleo']"
iber maraví,5.23,"['maraví', 'íber maraví']"
alejandro toledo,5.220000000000001,"['toledo', 'alejandro toledo conéctate']"
país,5.22,['avanza país']
gobierno,4.91,"['gobierno de castillo  frente amplio nuevo perú juntos por el perú', 'el gobierno']"
salud,4.540000000000001,"['ministerio de salud', 'viceministro de salud pública', 'el vocero del sector salud césar munayco', 'salud pública gustavo rosell']"
guido bellido,4.2,['bellido']
lima,4.17,"['lima metropolitana', 'lima norte']"
congreso,3.78,"['congreso sesión', 'congreso legisladores', 'congreso paraguayo']"
septiembre,3.46,['setiembre']
vladimir cerrón,3.2600000000000002,"['cerrón', 'vladimir']"
entrevista,3.1599999999999997,"['javier torres entrevista', 'raúl tola entrevista']"
pedro castillo,3.13,['castillo']
nota,3.06,['una nota de']
miércoles,3.0599999999999996,['este miércoles desde las 900 pm por tvperú']
proceso,2.9899999999999998,['el proceso']
edición matinal,2.95,['edición']
cambio,2.94,['cambio de canal']
gabinete,2.5300000000000002,"['jefe del gabinete', 'gabinete ministerial']"
s/,2.4499999999999997,"['s/147', 'thomas s hixson', 's/1000', 's/440000', 's/72000']"
verónika mendoza «sendero,2.39,"['verónika mendoza «sendero luminoso', 'verónika mendoza']"
tema,2.39,['el tema']
renegociación,2.38,"['renegociación de camisea', 'negociación']"
congresista,2.32,['congresista tello']
red,2.3,['red almenara «no fui']
empresa,2.27,['empresa estadounidense']
audiencia,2.24,['cócteles audiencia']
canciller,2.2399999999999998,"['canciller maúrtua', 'cancillería']"
vida,2.2,['un mundo donde se garantice la vida de seres humanos']
bermejo,2.18,"['guillermo bermejo', 'guilermo bermejo']"
libro,2.16,['pero el corazón del libro']
control,2.1399999999999997,['control de drogas']
mensaje,2.0700000000000003,['mensajes']
mediodía,2.07,"['medida', 'edición mediodía']"
mundo,1.9500000000000002,['mundo de la mula']
planeta,1.94,['planta']
ley,1.9300000000000002,['la ley']
amenaza,1.9100000000000001,['todo ello implica una amenaza']
corpus,1.9000000000000001,['habeas corpus']
pueblo,1.8900000000000001,['miguel magdalena del mar pueblo libre surquillo jesús maría chorrillos']
comisión,1.89,"['comisión de ética', 'comisión política']"
consejo de ministros,1.79,"['presidencia del consejo de ministros', 'consejo']"
maela,1.77,"['maela""más']"
minería,1.76,['minera']
mercado,1.75,['mercados']
mañana,1.67,['noticias mañana']
peruano,1.66,['estado peruano']
regla,1.62,['regalía']
mario vargas llosa «el comunismo,1.6199999999999999,"['mario vargas llosa', 'vargas llosa']"
precio,1.59,['preciso']
desarrollo,1.5899999999999999,['ministerio de desarrollo e inclusión social']
ministerio,1.53,"['twitter ministerio de trabajo', 'ministerio de transportes', 'ministerio del ambiente']"
poder judicial,1.51,"['centro poder judicial', 'judicial']"
dinámicos,1.51,"['los dinámicos del centro', 'dinámico']"
viceministro,1.5,['viceministro rosell']
territorio,1.48,['territorios']
laura grados,1.47,['6pm laura grados']
óscar maúrtua,1.45,"['maúrtua', 'óscar maúrtua dice']"
íber maraví acción popular,1.4000000000000001,"['acción', 'acción popular']"
exmandatario,1.3900000000000001,['mandatario']
nación,1.3900000000000001,['la nación']
joven,1.36,['el joven']
conocimiento,1.34,"['el conocimiento debe quedar en las organizaciones sociales', 'reconocimiento']"
ciudadano,1.2999999999999998,['ciudadanos']
habeas,1.29,['habea']
ariana lira delcore   suscríbete,1.29,"['suscríbete', 'ariana lira delcore']"
abogado,1.27,['mi abogado no me notificó']
factor,1.26,['actor']
fiscal,1.23,['fiscalía']
señor de los milagros,1.21,['señor']
defensa,1.21,['frente único de defensa de los intereses de chumbivilcas']
política,1.2,['policía']
debate,1.2,['un debate constituyente']
televisión digital terrestre,1.19,['televisión']
comunidad,1.16,['presidenta de la comunidad de madrid']
independencia   conoce,1.1500000000000001,"['independencia', 'conoce']"
parlamentaria,1.14,['parlamentario']
universidad,1.1,"['universidad de berna', 'universidad san luis gonzaga de ica']"
sicarios,1.07,['sicario']
carlos ánderson,1.06,['carlos anderson']
constitución lea,1.03,['constitución']
economía,1.02,['economía verde bla bla bla']
metro,0.98,['metros']
ejecutivo,0.98,['poder ejecutivo']
sur,0.97,['universidad científica del sur']
conare-sute,0.97,['conare sutep']
silva,0.97,['juan silva']
noticias tarde,0.95,['tarde']
muñoz,0.93,['vanessa muñoz']
karem roca,0.9299999999999999,['karem']
devotos,0.9099999999999999,['devoto']
harold forsyth,0.8999999999999999,['forsyth']
denuncia,0.87,['denuncian']
energía  no,0.8400000000000001,['energía']
diccionario,0.8300000000000001,"[""pluriverso' un diccionario del posdesarrollo""]"
camino,0.8200000000000001,['camión']
transportes y comunicaciones,0.79,['comunicaciones']
tribunal constitucional,0.79,['tribunal constitucional tv']
chirinos,0.76,['patricia chirinos']
análisis,0.76,['ahí se puede entrar a un análisis minucioso']
capacidad,0.75,['incapacidad']
carrasco,0.74,['juan carrasco']
posición,0.73,['oposición']
continente,0.73,['estado del continente']
alicia rojas  suscríbete,0.72,['alicia']
academia,0.72,['academia nacional']
presentación,0.71,['representación']
karem barboza quiroz,0.71,['barboza']
en estados unidos,0.69,['estados unidos']
borges,0.68,['jorge luis borges']
misión,0.67,['emisión']
sebastián bazalar,0.6699999999999999,['bazalar']
