Word,PonderadoApilado,Similares
estadio,13.619999999999997,"['estadio monumental', 'estadio banco guayaquil de quito', 'estadio miguel grau', 'estadio monumental gol', ""estadio monumental grítalo 'felucho"", 'estadio monumental el']"
fase 2,12.080000000000002,"['fase', 'liga 1- fase 2 jornada 11 alianza universidad 1', 'vitales  fase 2']"
gol,11.98,"['golazo', 'golperu', 'goleada', 'goleador', 'marca perú golazo de', 'viral ladrones reciben terrible golpiza', 'autogol', 'golazo lucas', 'los goles']"
partido,11.72,"['partido por la fecha 11 de la', 'partido ya', 'inicia el partido ya', 'blanquirroja el partido', 'partido amistoso  alineación', 'p']"
perú,8.4,"['moooooos vamos perú', 'team perú', 'copa perú 2021', 'selección perú', 'perú22 vamos perú', 'amistoso perú', 'copa davis perú', 'sudamericano perú', 'vamos perú']"
jornada,6.33,"['la jornada de fútbol', 'jornada 12 de la', 'jornada 4']"
monumental,6.31,"['monumental el', 'monumental mira']"
equipo,5.62,['exequipo']
iván elías moreno,5.05,"['iván elías moreno de villa', 'no', 'el']"
final,4.8100000000000005,"['final de la primera', 'fin', 'semifinal']"
encuentro,4.31,['copa davis el encuentro']
marcos lópez,4.029999999999999,"['lópez', 'marcos', 'arco']"
selección,3.81,"['selección peruana  femenina', 'selección peruana femenina', 'selección peruana de tenis']"
joao villamarín,3.6799999999999997,"['am', 'j villamarín']"
vamo,3.65,"['vamos', 'vamos chicas', 'campeonato panamericano u19 vamos']"
real madrid,3.37,"['directv real madrid', 'madrid', 'real madrid  el galés']"
fotos,3.26,['foto']
fc barcelona,3.11,"['barcelona', 'fc']"
universitario,3.0500000000000003,"['universitario vs municipal', 'universitario de deportes']"
sport boys,2.8900000000000006,"['boys', 'sport']"
boca juniors,2.87,['boca']
empate,2.77,['remate']
laliga,2.67,"['laliga santander', 'laliga  fecha 5 atlético de madrid 0', 'laliga fantasy']"
mario palomino,2.67,"['sobresaliente mario palomino', 'palomino']"
serie b,2.6500000000000004,['serie']
horario,2.54,['hora']
lima,2.46,"['feria metropolitana del libro lima lee', 'lima metropolitana', 'alianza lima']"
liga 1,2.44,['liga']
ligue 1,2.35,['ligue 1 video']
campana,2.35,"['lucas campana', 'l campana']"
luis advíncula,2.33,['advíncula']
premier league,2.31,['premier league de rusia']
hernán barcos,2.26,"['hernán barcos foto', 'hernán barcos edgar benítez oslimg mora aldair rodríguez jefferson portales']"
torneo,2.23,"['retorno', 'torneo apertura']"
messi,2.22,"['mes', 'lionel messi']"
jugador,2.2199999999999998,['exjugador']
arranca la segunda parte,2.17,['parte']
peruano,2.1199999999999997,"['el tenista peruano', 'peruanos']"
city,2.07,['manchester city']
juego,2.04,['juegos']
bus,2.0,['carlos bustos']
gl de,1.98,['gl de alianza']
club,1.9500000000000002,"['athletic club', 'athletic club de bilbao', 'athletic club joão félix', 'club9']"
movistar,1.9000000000000001,['vista']
binacional video,1.85,['binacional']
comentario,1.83,['comentarista']
victoria,1.8199999999999998,['buena victoria']
aldo corzo,1.78,"['aldo corzo foto', 'corzo']"
orlando núñez,1.76,['clara orlando núñez']
bayern munich,1.75,"['muni', 'bayern múnich']"
radamel falcao,1.7200000000000002,['la relación de radamel falcao']
carlos a mannucci de,1.7099999999999997,"['carlos a mannucci', 'carlos a mannucci  c neumann', 'carlos a mannucci 1 f rodríguez']"
tucumán video,1.6600000000000001,['tucumán']
fútbol,1.6400000000000001,"['fútbol femenino', 'amistoso internacional - fútbol femenino']"
dc united,1.6199999999999999,['united']
deportivo municipal,1.61,"['deportivo municipal cuándo', 'municipal']"
falta,1.6,['cada vez falta menos']
felipe rodríguez,1.58,['crack felipe rodríguez']
oncena,1.57,['oncenas']
copa davis,1.54,['copa davis  2nicolás álvarez']
doncaster,1.54,['doncaster rovers']
red,1.52,"['credencial', 'manuel heredia']"
rodrigo vilca,1.5,['english league one rodrigo vilca']
rayo vallecano,1.48,['athletic club getafe athletic club rayo vallecano afp']
vacunatorio de plaza norte,1.48,"['plaza norte', 'norte']"
la mejor manera de defendernos,1.4700000000000002,"['manera', 'la mejor manera de defender']"
gianluca lapadula,1.46,['lapadula']
juan pablo varillas,1.46,['varillas']
carlos desio dt,1.4500000000000002,"['dt', 'carlos desio  dt']"
vuelta,1.3900000000000001,['media vuelta']
el salvador,1.38,['salvador']
liga mx,1.35,"[""liga mx  las 'águilas"", 'liga mx nuestro']"
ytalo manzo dt,1.3199999999999998,"['manzo dt', 'ytalo']"
últimos 45 minutos,1.31,"['45', 'minutos']"
directv sports,1.2999999999999998,"['directv', 'sports']"
miguel trauco,1.29,['trauco']
hincha,1.23,['hinchada']
primera ronda,1.23,['primera']
representante de dos santos,1.22,"['representante', 'tan']"
cambio,1.21,['cambio lamentable']
carlos fernandez,1.21,['josé carlos fernández']
bale,1.17,['gareth bale']
bosnia,1.17,"['bosnia &amp herzegovina', 'bosnia y herzegovina']"
serie a,1.12,['serie a video']
nerman fatic,1.12,['0nerman fatic']
chica,1.1199999999999999,['campeonato sudamericano de voleibol 2021 nuestras chicas']
liga profesional,1.11,['liga profesional de argentina']
inter de milán,1.1,"['inter', 'milán']"
le cag**** el cacharro mira,1.1,"['mira', '*']"
atlético tucumán,1.1,['atlético']
cabeza,1.07,['cabezazo']
josé carvallo,1.06,['carvallo']
tomislav brkic,1.06,['isla']
detalles,0.98,['detalle']
global tv,0.98,['global']
alineaciones,0.96,['alineación']
frank kessié ac milan,0.9400000000000001,['ac milan']
listos,0.92,['listos atlético de']
momentos,0.91,['duro momento']
championship video,0.9099999999999999,['champions']
olympique lyon,0.9099999999999999,['lyon']
gabriel leyes,0.9,['ley']
camiseta,0.89,['set']
respuesta,0.89,['respuesta marlon de jesús']
keita,0.88,['naby keita']
salah,0.88,['mohamed salah']
expulsado lucas rodríguez,0.8700000000000001,['lucas']
rosado,0.87,['dt rosado ytalo manzo']
universidad,0.87,['alianza universidad']
damir dzumhur,0.86,['dzumhur']
trabajando,0.8400000000000001,['baja']
san josé earthquakes,0.8400000000000001,['san jose earthquakes']
ventaja tricolor,0.84,['ventaja']
derby de manchester,0.8300000000000001,['este']
saint-étienne,0.8300000000000001,['saint étienne']
banco guayaquil,0.83,['banco guayaquil nicoles charcopa']
gustavo dulanto,0.8200000000000001,['gustavo dulanto sergio ibarra']
quito,0.81,['quito nuestra']
fifa a,0.81,['fifa']
contraataque letal,0.79,['ataque']
conferencia este,0.79,['conferencia oeste']
autora,0.78,['autor']
fpf,0.77,['fpf play']
confianza,0.77,['toda la confianza raúl ruidíaz']
campeonato sudamericano de voleibol 2021,0.76,['campeonato sudamericano de voleibol']
bávaro,0.74,['bávaros']
sigamos,0.73,['sigamos alentando']
grupo mundial i,0.72,['grupo mundial']
jorge panta,0.69,['jorge panta 5/2 2mirza basic']
sergio galdos,0.69,['0sergio galdos']
visitante,0.66,['visita']
