Word,PonderadoApilado,Similares
perú,8.57,"['hernando cevallos ""ingreso al perú', 'bono yanapay perú', 'miss perú teen solana costa', 'el último pasajero miss perú', 'copa perú', 'perú libre', 'perú producción', 'miss perú eco']"
covid-19,7.590000000000001,"['covid-19 vacunatorio de plaza norte', 'covid-19 abdala', 'covid-19 gobierno']"
luciana fuster,6.109999999999999,"['luciana', 'luciana fusterg', 'fu']"
“,5.62,"['xoana gonzales “me', 'milena zárate “yo vengo a bailar', 'el poder del amor “no', 'sjl “compra']"
show,5.42,['reinas del show']
patricio parodi,4.62,['patricio']
mes,4.59,"['lionel messi', 'buenos días tromes esta', 'mbappé lionel messi']"
lima,4.51,"['lima metropolitana', 'feria metropolitana del libro lima lee', 'alianza lima']"
méxico,4.15,"['ciudad de méxico', 'guerreros méxico', 'exatlón méxico']"
reina,4.13,['reinas']
amor,3.92,['el poder del amor']
magaly,3.9,"['magaly medina', 'magaly tv']"
melissa klug,3.7699999999999996,['me']
mano,3.73,"['hermanos yaipén walter yaipén', 'hermano', 'humanos', 'el fútbol el lado humano']"
beso,3.5300000000000002,"[""samu' sobre el beso"", 'eso']"
mensaje,3.35,['homenaje']
pareja,3.2300000000000004,['expareja']
vacunación,3.2,['vacuna']
nicola porcella,3.16,['nicola']
coronavirus,3.0500000000000003,"['oro', 'corona']"
sol,2.9200000000000004,"['marisol', 'soltería', 'consola', 'gensollen']"
voz,2.81,"['voz senior', 'la voz senior']"
portada,2.7800000000000002,"['temporada', 'nuestra portada de hoy 18 de septiembre']"
juan chiquito flores,2.77,"['chiquito flores', ""chiquito' flores""]"
vacunafest,2.72,['fe']
persona,2.7,"['cómo saber el dni de una persona', 'personaje']"
joven,2.69,"['smp joven', 'ves joven']"
ernesto pimentel,2.66,['esto']
tula rodríguez,2.5700000000000003,"['tula', 'de tula rodríguez']"
grupo,2.54,"['grupo mundial i', 'grupo firme', 'el grupo orgullo de corea del sur']"
presidente,2.54,"['presidente castillo', 'president']"
plaza norte,2.41,"['norte', 'vacunatorio de plaza norte']"
relación,2.39,['creación']
melissa paredes,2.3899999999999997,['red']
academia,2.35,"['la academia de eeg', 'la academia igualita a', 'academia de artes y ciencias']"
retorno,2.3200000000000003,['reto']
álvaro paz de la barra,2.31,"['paz', 'álvaro paz']"
vicente fernández,2.29,['vicente fernández camila']
selección,2.28,['el volante de la selección']
serie,2.27,"['ser', 'teleserie']"
agente,2.27,['gente']
eva,2.2399999999999998,"['cevallos', 'mare cevallos', 'nueva york']"
”,2.15,['mujer”']
ley,2.14,"['shirley arica', 'sudamericano de vóley']"
futbolista,2.12,['lista']
sheyla rojas,2.08,['sheyla']
daniela darcourt,2.06,['daniela darcourt jerry rivera']
jesús barco,1.98,"['jesús barco ""estoy']"
víctima,1.94,['víctimas']
parque de la exposición,1.93,"['ex', 'pos']"
escenario,1.92,['escena']
tiktok,1.86,['tiktoks']
mujer,1.8499999999999999,['mujeres']
hija,1.82,['mi hija']
flor salvador quién,1.81,"['salva', 'quién']"
pasión de gavilanes,1.8,['pasión']
mundo,1.78,['telemundo']
andrés lópez obrador,1.73,['obra']
universitario de deportes,1.71,['universitario']
cieneguilla,1.7,['cieneguilla a']
papel,1.67,['la casa de papel']
casa,1.53,['una casa para azul']
bono techo propio cómo,1.51,"['propio', 'techo']"
samuel suárez,1.49,['samu']
real madrid,1.46,['madrid']
cuto guadalupe,1.46,['guadalupe']
departamento,1.43,['depa']
bono yanapay,1.4,['bono']
abimael guzmán,1.4,['abimael guzmán crematorio']
gisela valcárcel,1.3800000000000001,['cárcel']
josé carvallo,1.38,['carvallo']
xoana,1.35,['xoana gonzález']
horóscopo,1.33,['el horóscopo']
establecimiento,1.33,['esta']
paula manzanal,1.33,['paula']
yahaira plasencia,1.31,['yahaira']
triste,1.25,['me pone triste']
terrorismo,1.23,['error']
mira,1.22,['miraflores']
agua,1.2,['paraguay']
barranco tramo de la costa verde,1.1800000000000002,"['costa verde', 'tramo']"
buenos días,1.18,['buenos']
cine,1.1,['cineasta']
historia,1.1,['esta es la historia']
pnp,1.0899999999999999,['avelino guillén pnp']
claudia la piña peña quién,1.08,['claudia la piña peña']
predicción,1.06,['predicciones']
premios emmy,1.05,['my']
rusia,1.04,['rusia oposición rusa']
goles,1.04,['gol']
amigas,1.03,['amiga']
kluiverth aguilar,1.03,['guty kluiverth aguilar']
boda,1.02,['preboda']
capilla,1.02,['cap']
igualdad,1.02,['igualdad de género']
remmy valenzuela,1.0,['valen']
claro que me he hecho mis arreglitos,1.0,['hecho']
enrique iglesias,0.98,['iglesia']
unión europea para américa latina,0.97,['américa']
barranco derrumbe,0.95,['barranco']
youtube,0.95,['youtube spotify']
lanzamiento,0.95,['lanza']
retador,0.94,['retadora']
nuestra tarotista te cuenta lo que te depara el destino,0.93,['tarot']
dardo para barcos,0.9299999999999999,['dardo']
cámara,0.9299999999999999,['cámaras']
guerreros,0.9,['guerreros mx']
droga,0.9,['drogadicta']
pantalla,0.9,['pan']
hinchas,0.8300000000000001,['instagram hinchas']
espn 3,0.8200000000000001,['espn']
élite,0.79,['él']
estadio monumental,0.76,['onu']
transmisión,0.76,['trans']
