Word,PonderadoApilado,Similares
presidente,27.35,"['expresidente', 'vicepresidenta', 'vicepresidente', 'presidente de bolivia', 'residente', 'el presidente venezolano', 'el presidente']"
→,18.580000000000002,"['marines →', 'caribe→', 'cumbre→', 'naciones →', 'cumbre  →', 'caricom →', 'difíciles→', 'solucionar→', 'democracia →', 'desigualdad→', 'alguna→', 'unión europea →', 'también→', 'estados →', 'multilateral→', 'pandemia→', 'fuerza→', 'oposiciones→', 'climáticos→', 'climático→', 'reunión de la onu→', 'aquí→']"
celac,15.940000000000001,"['vi cumbre de la celac', 'gobierno de la celac →', 'cumbre de la celac', 'celac →', 'iv cumbre de la celac', 'la celac']"
país,13.780000000000001,"['el país escaparate', 'como país', 'el país']"
cumbre,11.519999999999998,"['vi cumbre de la', 'vi cumbre de jefas', 'vi cumbre de jefes de estado', 'cumbre de', 'cumbre de la', 'cumbre para la reconstrucción económica y productiva de potosí', 'vi cumbre']"
gobierno,10.92,"['gobierno cubano', 'gobiernos→', 'gobierno del señor', 'gobierno en la vi cumbre de', 'gobiernos nosotros', 'gobiernos']"
ministro,10.399999999999999,"['ministro de agricultura', 'ministro de san vicente y las granadinas ralph gonsalves', 'ministro de santa lucía philip joseph pierre', 'ministro de asuntos', 'ministro de relaciones exteriores de', 'suministro']"
vacuna,8.68,"['vacunación', 'vacunas→', 'vacuna→']"
méxico,8.4,"['ciudad de méxico', 'conferencia del secretario de relaciones exteriores de méxico', 'secretario de relaciones exteriores de méxico', 'xi', 'coahuila méxico', 'estado de méxico morelos', 'veracruz méxico', 'x']"
nación,8.01,"['autodeterminación', 'discriminación', 'presidencia de la nación', 'condonación', 'contaminación', 'abominación']"
unión,7.24,"['reunión', 'unión europea']"
secretaria ejecutiva de la cepal alicia bárcena,7.16,"['secretaria ejecutiva de la cepal', 'secretaria', 'secretario', 'alicia bárcena', 'cepal']"
persona,7.14,['on']
plan,7.059999999999999,"['planeta', 'plan de autosuficiencia sanitaria', 'plan de la cepal', 'plan sanitaria', 'plantel', 'plan marshall', 'planta']"
américa latina,6.57,"['américa', 'américa latina y el caribe', 'américa latina lo', 'latina']"
tema,6.460000000000001,"['sistema', 'guatemala']"
migrant,5.98,['inmigrante']
vida,5.66,"['colectividad', 'reproductividad', 'productividad']"
cambio,5.59,['intercambio']
región,5.55,['el crecimiento del pib para la región']
eeuu,5.470000000000001,"['bloqueo de eeuu', 'senado de eeuu', 'congreso de eeuu']"
forma,5.46,"['información', 'transformación', 'plataforma', 'reforma']"
desarrollo,5.2700000000000005,"['rol', 'rr', 'instituto de estudios para el desarrollo y la paz', 'subdesarrollo']"
integración,5.239999999999999,['interacción']
sur,4.85,"['carolina del sur', 'pacífico sur', 'republica de surinam', 'surfistas guías', 'insurrección']"
centroamérica,4.84,"['república federal de centroamérica', 'centro']"
ministra de relaciones exteriores de panamá erika mouynes,4.74,"['relaciones', 'panamá', 'ministra', 'exteriores', 'exterior']"
el caribe,4.6899999999999995,['caribe']
entrevista,4.63,"['visita', 'revista']"
el salvador,4.22,"['salvador', 'lv', 'el salvador línea']"
latinoamérica,4.21,"['secretaría general de latinoamérica y el caribe', 'latino', 'latinoamericana']"
mes,4.03,"['elizabeth holmes', 'theranos holmes']"
relación,4.0,['creación']
economía,3.88,['vicepresidencia sectorial de economía']
policía,3.87,['policía federal']
democracia,3.82,['rodrigo yáñez benítez democracia']
objetivo,3.75,['iv']
ciudadano,3.7399999999999998,['ciudad']
estados unidos,3.67,"['estados', 'senado de estados unidos', 'academia de la televisión de estados unidos', 'unidos']"
unidad,3.38,"['comunidad', 'oportunidad', 'unidad de investigaciones financieras']"
cuba,3.3799999999999994,"['cuba venezuela', 'cubano', 'venezuela cuba']"
general,3.35,"['secretario general de la', 'secretario general', 'asamblea general de naciones unidas']"
texas,3.34,['el alcalde de del río texas roberto de los santos']
canciller,3.28,['cancillería']
familia,3.15,['familiar']
fuerza,3.07,['fuerzas armadas']
china,2.97,['mar de la china']
ley,2.92,"['silicon valley', 'leyenda']"
"gabrielle ""gabby"" petito",2.8899999999999997,"['gabby petito', 'by', 'petito']"
la tierra,2.87,['tierra']
isla,2.8000000000000003,"['islas feroe', 'isla de margarita']"
covid-19,2.79,['covid']
jefes de estado,2.79,"['jefe', 'estadio']"
decisión,2.69,"['la decisión de mantener el secreto', 'indecisión']"
idea,2.6100000000000003,['ideal']
escuela,2.61,['escuelas']
presidencia de,2.5999999999999996,['presidencia']
deportación,2.58,['aportación']
factor,2.54,"['acto', 'facto']"
recurso,2.52,['curso']
error,2.5100000000000002,"['terrorismo', 'narcoterrorismo']"
submarino,2.5,['mar']
2019,2.49,['golpe de estado de 2019']
nicolás maduro,2.46,['maduro']
venezuela,2.4,['banco de venezuela sa']
cara,2.3299999999999996,"['caravana', 'caracas el comandante', 'nicaragua', 'en nicaragua']"
diferencia,2.31,['fe']
manifestación,2.25,['estación']
derecho,2.21,"['estado de derecho socialista', 'estado de derecho']"
agente,2.12,['gente']
red,2.11,"['in 2004 scientists discovered that', 'heredera', 'nuevo laredo']"
australia,2.1,['australia reino unido']
brian laundrie,2.07,['laundrie']
programa,2.05,['programación']
empresa,2.03,['prensa']
protesta,2.02,['protestas']
coronavirus,2.02,['virus']
enfermedad,1.95,['edad']
kamina johnson smith,1.84,"['smith', 'kamina jonhson smith']"
washington,1.8399999999999999,['washington dc']
misión,1.83,['emisión']
del río,1.8199999999999998,"['puente internacional del río', 'puente internacional de del río']"
españa,1.7999999999999998,['la nueva españa']
disposición,1.79,['posición']
seguro,1.74,['estoy seguro']
dean buonomano,1.73,['mano']
senado de república dominicana,1.7200000000000002,"['república dominicana', 'sena']"
aplicación,1.7200000000000002,"['implicación', 'complicación']"
ssa,1.7200000000000002,['larry nassar']
participación,1.72,['art']
biles,1.7000000000000002,['simone biles']
paz,1.67,['indepaz']
experto,1.6600000000000001,['el inexperto crew']
precio,1.6600000000000001,['desprecio']
medio,1.6400000000000001,['medios']
diversidad,1.61,"['adversidad', 'universidad']"
institucionalidad,1.6099999999999999,['institución']
independencia,1.59,['dependencia']
preocupación,1.5799999999999998,['reo']
abuso,1.56,['uso']
revolución,1.56,['evolución']
zona,1.53,['amazonas']
gracias,1.5299999999999998,['desgracia']
la abogada,1.5299999999999998,['abogada']
pobreza,1.52,['pobre']
matrimonio,1.5,['patrimonio']
paraguay,1.5,['agua']
migración,1.48,['inmigración']
philipp blom,1.47,['philipp bloom']
nangarha jalalabad,1.47,['jalalabad']
atención primaria,1.4,"['atención', 'primaria']"
la de la monja catalina de erauso,1.38,['catalina de erauso']
impacto,1.3699999999999999,['pacto']
intervención,1.3599999999999999,['intervencionismo']
misterio,1.35,['tercio']
reto,1.35,"['decreto', 'secreto']"
agricultura,1.34,"['agricultor', 'cultura']"
visión,1.3,['televisión']
movimiento al socialismo,1.29,['movimiento']
pareja,1.27,['reja']
presión,1.27,"['expresión', 'represión']"
plazo,1.24,['lazo']
miel,1.22,['mieloma']
calle,1.22,['luis lacalle']
manada,1.21,['demanda']
proyecto,1.2,['proyecto wagrinnova']
imperio,1.2,['imperio otomano']
trump,1.2,['donald trump']
fiscal,1.2,['la fiscalía']
derecha,1.19,['ultraderecha']
desigualdad,1.1800000000000002,['igualdad']
observatorio,1.18,['observatorio real de greenwich']
congestión,1.1600000000000001,['gestión']
libro,1.1600000000000001,['feria del libro de madrid']
brasil,1.1099999999999999,['brasileño']
sesión,1.1099999999999999,['posesión']
inventario,1.1,['venta']
golpe,1.1,['gol']
incendio,1.08,['incendio colony']
rodrigo yáñez benítez,1.07,['benítez']
reconocimiento,1.0699999999999998,['reconocimiento mutuo']
viaje,1.06,['viajero']
guerra,1.04,['posguerra']
riesgo,1.03,['griego']
"of objects in the kuiper belt was making ""strange"" movements could this be due to the existence of an additional planet beyond neptune's",1.01,['the']
administración,1.01,['administración de medicamentos']
nayib bukele,1.01,['bukele']
generación,1.0,['penetración']
justicia,1.0,['injusticia']
estado peruano,1.0,['peruano']
tecnología,0.98,['centro de ingeniería genética y biotecnología de']
día de la ciudadanía,0.95,['ciudadanía']
existencia,0.94,['resistencia']
socio,0.9199999999999999,['ocio']
golpistas,0.91,['pista']
martes,0.9099999999999999,['arte']
partido liberal progresista phillip davis,0.8900000000000001,['partido']
gas,0.8900000000000001,['gasto']
multinacionalismo,0.88,['nacionalismo']
murdaugh,0.88,['alex murdaugh']
persistencia,0.87,['asistencia']
virreinato,0.87,['reina']
gravedad,0.87,['verdad']
fernández de kirchner,0.8600000000000001,['cristina fernández de kirchner']
masa,0.85,['mas']
inspiration 4,0.8400000000000001,['inspiration4']
divisa,0.84,['visa']
contrato,0.8200000000000001,['trato']
disfruta,0.81,['ruta']
mamá,0.79,['mam']
clientela,0.79,['cliente']
milla,0.78,['humillación']
acción,0.77,['contracción']
muriel gardiner,0.77,['dinero']
represor,0.77,['preso']
los daños van,0.77,['daño']
alimento,0.77,['alimentos']
censo,0.76,['descenso']
acrónimo,0.76,['acr']
eutanasia,0.73,['asia']
finales,0.71,['final']
marylène patou-mathis,0.7,['this']
entidad,0.6799999999999999,['identidad']
jair bolsonaro,0.6599999999999999,['bolsonaro']
directo,0.6599999999999999,['director']
colon,0.6599999999999999,['colonia']
díaz-canel,0.64,['miguel díaz-canel']
precise medicine,0.64,['cine']
denver colorado,0.63,['orador']
barrio,0.62,['barrio de chueca']
