Word,PonderadoApilado,Similares
vi cumbre de jefas,13.82,"['cumbre', 'jefas', 'vi']"
gobierno de la celac,13.54,"['gobierno', 'celac']"
presidente,11.939999999999998,"['president', 'vicepresidente', 'presidentes', 'vicepresidenta', 'el presidente de la república']"
vacuna,7.38,"['vacunación', 'vacunafest', 'vacunatorio', 'vacunado']"
méxico,6.1899999999999995,"['ciudad de méxico', 'museo de antropología de méxico', 'museo nacional de antropología de méxico']"
perú,6.080000000000001,"['perú libre', 'ex miss perú', 'castillo perú', 'perú libre y fenate', 'el perú', 'perú perú libre renovación popular', 'somos perú']"
país,5.510000000000001,"['el país de españa', 'países', 'fuerza popular app avanza país juntos']"
pedro castillo,5.47,"['castillo', 'pedro castillo «perú', 'cas', 'ti']"
ministro,4.709999999999999,"['chelero ministro de salud', 'ministro de relaciones exteriores de antigua y barruda chet greene', 'el ministro de salud', 'ministro de salud', 'exministro']"
abimael guzmán,3.9899999999999998,"['abimael', 'guzmán']"
persona,3.5000000000000004,"['personajes del año', 'feria del libro  personas']"
nicolás maduro,3.01,"['maduro', 'gobierno de nicolás maduro']"
paraguay,2.79,"['par', 'el mandatario paraguayo', 'agua']"
autor,2.68,"['autoridad', 'autorización', 'auto']"
chile,2.57,"['independencia de chile', 'chilenos']"
salud,2.38,"['ministerio de salud', 'salud hernando cevallos', 'essalud']"
américa latina,2.33,"['asuntos de américa latina', 'américa latina y el caribe', 'américa']"
ley,2.33,"['sudamericano de vóley', 'parque de las leyendas', 'la ley']"
derechos,2.33,"['derecho', 'derechoslaborales']"
humanos,2.32,"['manos', 'mano']"
unidos,2.2699999999999996,"['estados unidos', 'bus unidos chama']"
vi cumbre de la comunidad de estados latinoamericanos y caribeños,2.2600000000000002,"['unidad', 'comunidad']"
sol,2.23,"['solidaridad', 'solicitud', 'alex gensollen', 'solo']"
relación,2.21,['creación']
fiscalía,2.21,"['fiscal', 'fiscalía suprema']"
lima,2.17,"['lima callao', 'la provincia de lima']"
constitución,2.16,"['institución', 'nueva constitución', 'constitución política']"
julio velarde,2.05,['banco central de reserva julio velarde']
empresa,2.0300000000000002,"['prensa', 'empresario']"
mes,2.01,"['remesa', 'mesa']"
vi cumbre de la celac,1.96,['cumbre de la celac']
terrorismo,1.94,['error']
acción,1.9100000000000001,"['infracción', 'reacción']"
discriminación,1.8900000000000001,['nación']
república,1.77,['la república']
venezuela,1.7399999999999998,['venezuela carvajal']
titular,1.71,['tu']
ee uu,1.7000000000000002,['atentado de ee uu']
igualdad,1.6700000000000002,['desigualdad']
misión,1.65,"['comisión', 'transmisión']"
policía,1.6099999999999999,['policía nacional']
canciller,1.5999999999999999,['cancillería']
encuentro,1.5,['vamos a tu encuentro']
vida,1.49,['patria y vida']
tomás gálvez,1.4500000000000002,"['gálvez', 'tomás gálvez  el pleno', 'vez']"
ministra,1.42,['contencioso administrativo']
seguridad,1.3900000000000001,['bioseguridad']
hombre,1.36,['el hombre']
contrato,1.35,['contra']
congreso,1.34,['ong']
estrategia,1.31,['ate']
congresista,1.3,['excongresista']
movistar tv c12 sd,1.29,['movistar']
televisión digital terrestre,1.29,['televisión digital terrestre 92 en best cable']
star globalcom c12,1.29,['star globalcom']
césar hildebrandt,1.25,['hildebrandt']
minsa,1.24,['el minsa']
callao,1.24,['morgue del callao']
estudio,1.23,['estudio arbizu &amp gamarra']
medio,1.23,['noticias mediodía']
norma,1.21,['domingo garcía belaúnde «norma']
detalle,1.21,['eta']
edad,1.21,['sociedad']
medida,1.17,['candelaria  medida']
desinformación,1.1600000000000001,"['información', 'forma']"
relaciones exteriores de panamá,1.1500000000000001,"['exterior', 'panamá']"
promulgación,1.13,['promulga']
subsecretario de relaciones económicas internacionales,1.13,['subsecretario']
libro,1.1,['audiolibro']
guido bellido,1.1,['bellido']
noticia,1.0999999999999999,['noticias tarde edición sabatina']
designación,1.09,['asignación']
tumbes tiktoker,1.08,"['tiktoker', 'tumbes']"
sistema,1.06,['tema']
exposición,1.05,['parque de la exposición']
región,1.03,['la reunión cumbre de la región']
canción,0.98,['aplicación']
guatemala,0.97,['ala']
dominica,0.94,['dominicana']
cámara,0.9299999999999999,['cámaras']
cola,0.9099999999999999,"['escolarización', 'ola']"
entidad,0.9099999999999999,['identidad']
robo,0.8999999999999999,['macrobotellón']
keiko fujimori,0.89,['ei']
plaza norte,0.8500000000000001,['norte']
labor,0.8500000000000001,['toda esa labor de gestión de']
indecopi,0.8200000000000001,['consejo consultivo de indecopi']
julián palacín,0.8200000000000001,['julián palacín  efecto']
vecino,0.8,['vecinos de san martín de porres']
surinam,0.79,['sur']
manuel díaz-canel,0.79,['díaz canel']
gabinete,0.78,['gabinete binacional']
departamento del tesoro,0.75,['parlamento']
guamán poma de ayala,0.73,['huamán poma de ayala']
intercambio,0.71,['cambio']
real plaza primavera,0.7,['rima']
familia,0.7,['familiar']
asamblea general de naciones unidas,0.69,['general']
billete,0.69,['billetera']
bala,0.68,['balacera']
paula manzanal,0.6799999999999999,['manzana']
cartilla,0.6799999999999999,['mascarilla']
plan de autosuficiencia sanitaria,0.6699999999999999,['ciencia']
vivienda,0.63,['al interior de su vivienda']
usuario,0.62,['usuarios']
fuerza popular,0.61,['fuerza']
reconocimiento,0.6000000000000001,['desconocimiento']
