,Name,KeywordsByWord
0,estadio,"['partido por la fecha 11 de la', 'final', 'estadio', 'frente', 'monumental', 'fase 2', 'equipo', 'lucas campana', 'estadio', 'marcador', 'vuelta', 'boys', 'sport', 'gl de', 'monumental', 'cuadro', 'monumental', 'estadio', 'joao villamarín', 'boys', 'sport', 'gl de', 'paridad', 'últimos 45 minutos', 'estadio', 'cotejo', 'parte', 'monumental', 'mario palomino', 'tanto', 'cierre', 'gol', 'tiempo', 'festejo', 'plantel', 'estadio', 'monumental', 'momentos', 'foto', 'estadio', 'tiempo', 'cotejo', 'monumental', 'fecha', 'final', 'primer tiempo', 'estadio', 'monumental', 'fase 2', 'mario palomino', 'equipo', 'monumental', 'estadio', 'binacional', 'gl de', 'fc', 'acción', 'estadio', 'respuesta marlon de jesús', 'incursión', 'remate', 'terreno', 'monumental', 'aproximación', 'partido', 'gol', 'estadio', 'precisión', 'peligro', 'monumental', 'área', 'fecha', 'duelo', 'triunfo', 'sábado', 'estadio', 'plantel', 'cotejo', 'cerrando', 'monumental', 'fase 2', 'fecha', 'estadio', 'breve', 'encuentro', 'monumental', 'fase 2', 'partido por la fecha 11 de la', 'final', 'el salvador', 'estadio', 'iván elías moreno de villa', 'fase 2', 'iván elías moreno', 'calidad', 'balón', 'gol', 'estadio', 'juego', 'fondo', 'renzo garcés', 'credencial', 'iván elías moreno', 'partido', 'estadio', 'gol', 'cotejo', 'complemento ya', 'parte', 'fecha', 'final', 'el salvador', 'primer tiempo', 'estadio', 'iván elías moreno de villa', 'fase 2', 'fecha', 'enfrentamiento', 'jornada', 'sábado', 'estadio', 'igualdad', 'punto', 'cotejo', 'monumental el', 'fase 2', 'iván elías moreno', 'fecha', 'empezó', 'estadio', 'cotejo', 'fase 2', 'iván elías moreno', 'fecha', 'partido ya', 'estadio', 'fase 2', 'iván elías moreno', 'equipo', 'jornada', 'estadio', 'listas', 'oncenas', 'fase 2', 'iván elías moreno', 'fecha', 'partido', 'estadio', 'breve', 'fase 2', 'partido por la fecha 11 de la', 'final', 'estadio', 'punto', 'monumental', 'fase 2', 'equipo', 'gl de alianza', 'universidad', 'paridad', 'estadio', 'carlos neumann', 'monumental', 'ventaja tricolor', 'fecha', 'postal', 'felipe rodríguez', 'gol', 'estadio', 'monumental mira', 'encuentro', 'fase 2', 'fecha', 'mitad', 'estadio', 'final de la primera', 'monumental', 'fase 2', 'felipe rodríguez', 'penal', 'equipo', 'carlos a mannucci de', 'estadio', 'gl de', 'monumental', 'iván elías moreno', 'jornada', 'estadio', '100 pm', 'partidazo', 'interés', 'fase 2', 'fecha', 'partido', 'estadio', 'breve', 'monumental', 'fase 2', 'candela', 'selección perú', 'banco guayaquil nicoles charcopa', 'minuto', 'selección peruana femenina', 'tanto', 'cara', 'martes', 'estadio', 'ecuador', 'selección', 'banco guayaquil', 'nicoles charcopa', 'pm', 'martes', 'estadio', 'ecuador', 'vamo', 'perú']"
1,fase 2,"['fecha', 'vivo', 'domingo', 'universitario vs municipal', 'fase 2', 'alianza lima', 'carlos bustos', 'rodillo', 'registro', 'fase 2', 'pm', 'jornada', 'ánimo', 'cotejo', 'concentración', 'domingo', 'familia demostrando', 'fase 2', 'jugador', 'trabajo', 'esfuerzo', 'objetivo', 'ytalo manzo dt', 'fase 2', 'fecha', 'torneo', 'objetivo', 'triunfo', 'tanto', 'cupo', 'reto', 'joao villamarín', 'fase 2', 'minuto', 'fecha', 'lucas campana', 'triunfo', 'gol', 'rosado', 'puesto', 'agónico', 'fase 2', 'fecha', 'sintoniza', 'hd', 'movistar', 'inicia una nueva edición de', 'fase 2', 'partido por la fecha 11 de la', 'final', 'estadio', 'frente', 'monumental', 'fase 2', 'minuto', 'fecha', 'arranca la segunda parte', 'coloso de ate', 'fase 2', 'fecha', 'final', 'primer tiempo', 'estadio', 'monumental', 'fase 2', 'duelo', 'fecha', 'estadio miguel grau', 'triunfo', 'cotejo', 'domingo', 'fase 2', 'fecha', 'duelo', 'triunfo', 'sábado', 'estadio', 'plantel', 'cotejo', 'cerrando', 'monumental', 'fase 2', 'iván elías moreno', 'jornada', 'partido', 'igualdad', 'fase 2', 'fecha', 'partido ya', 'estadio monumental', 'fase 2', 'fecha', 'estadio monumental', 'alineaciones', 'oncena', 'fase 2', 'voz', 'fecha', 'fase 2', 'partido', 'comentario', 'las voces', 'narración', 'fecha', 'estadio', 'breve', 'encuentro', 'monumental', 'fase 2', 'partido por la fecha 11 de la', 'final', 'el salvador', 'estadio', 'iván elías moreno de villa', 'fase 2', 'fecha', 'ventaja', 'coloso de villa', '45', 'gol', 'inicia el complemento', 'salvador', 'fase 2', 'fecha', 'final', 'el salvador', 'primer tiempo', 'estadio', 'iván elías moreno de villa', 'fase 2', 'fecha', 'enfrentamiento', 'jornada', 'sábado', 'estadio', 'igualdad', 'punto', 'cotejo', 'monumental el', 'fase 2', 'iván elías moreno', 'fecha', 'empezó', 'estadio', 'cotejo', 'fase 2', 'iván elías moreno', 'fecha', 'partido ya', 'estadio', 'fase 2', 'iván elías moreno', 'equipo', 'jornada', 'estadio', 'listas', 'oncenas', 'fase 2', 'voz', 'fecha', 'fase 2', 'partido', 'comentario', 'las voces', 'narración', 'iván elías moreno', 'fecha', 'partido', 'estadio', 'breve', 'fase 2', 'partido por la fecha 11 de la', 'final', 'estadio', 'punto', 'monumental', 'fase 2', 'ventaja tricolor', 'fecha', 'postal', 'felipe rodríguez', 'gol', 'estadio', 'monumental mira', 'encuentro', 'fase 2', 'minuto', 'fecha', 'arranca la segunda parte', 'coloso de ate', 'fase 2', 'fecha', 'mitad', 'estadio', 'final de la primera', 'monumental', 'fase 2', 'fecha', 'pm', 'partido', 'cerrarán el día', 'estadio monumental', 'fase 2', 'fecha', 'momento', 'ya se juega', 'choque', 'cara', 'fase 2', 'jornada', 'inicia el partido ya', 'estadio monumental', 'fase 2', 'fecha', 'equipo', 'estadio monumental', 'listos', 'oncena', 'fase 2', 'iván elías moreno', 'jornada', 'estadio', '100 pm', 'partidazo', 'interés', 'fase 2', 'voz', 'fecha', 'fase 2', 'partido', 'comentario', 'las voces', 'narración', 'fecha', 'partido', 'estadio', 'breve', 'monumental', 'fase 2', 'candela', 'duelo', 'equipo', 'la jornada de fútbol', 'am', 'abren', 'fase 2', 'fecha', 'horario', '*', 'golperu', 'vivo', 'canal', 'buenos días hoy', 'hd', 'movistar', 'partidazo', 'antesala', 'inicio', 'fase 2']"
2,gol,"['defensor', 'camino', 'año', 'marcos lópez', 'derecha', 'gol', 'ataque', 'va por buen', 'centro', 'cabeza', 'sadio mané', 'gol', 'video', 'crystal palace', 'cifra', 'liverpool', 'minuto', 'manchester city', 'pep guardiola', 'calendario', 'southampton', 'gol', 'día', 'premier league', 'empate', 'minuto', 'fecha', 'lucas campana', 'triunfo', 'gol', 'rosado', 'puesto', 'agónico', 'fase 2', 'la mejor manera de defendernos', 'gol', 'carlos desio dt', 'situación', 'torneo', 'estoy contento de volver', 'delantero', 'posibilidad', 'gol', 'joao villamarín', 'encuentro', 'nosotros', 'duelo', 'acción', 'gol', 'empate', 'joao villamarín', 'elaboración', 'mario palomino', 'tanto', 'cierre', 'gol', 'tiempo', 'festejo', 'plantel', 'estadio', 'monumental', 'aproximación', 'partido', 'gol', 'estadio', 'precisión', 'peligro', 'monumental', 'área', 'gol', 'centímetro', 'cotejo', 'ocasión', 'remate', 'clara orlando núñez', 'iván elías moreno', 'calidad', 'balón', 'gol', 'estadio', 'juego', 'fondo', 'renzo garcés', 'credencial', 'iván elías moreno', 'partido', 'estadio', 'gol', 'cotejo', 'complemento ya', 'parte', 'fecha', 'ventaja', 'coloso de villa', '45', 'gol', 'inicia el complemento', 'salvador', 'fase 2', 'arquímedes figuera', 'falta', 'orlando núñez', 'gol', 'tarjeta', 'cotejo', 'ventaja tricolor', 'fecha', 'postal', 'felipe rodríguez', 'gol', 'estadio', 'monumental mira', 'encuentro', 'fase 2', 'pelota', 'josé carlos fernández', 'gol', 'estadio monumental', 'arco', 'figura', 'momento', 'el extremo alemán', 'equipo', 'partido', 'bayern munich', 'leroy sané', 'gol', 'asistencia', 'bávaro', 'minuto', 'exequipo', 'tabla', 'jornada', 'solo', 'luis advíncula', 'getafe', 'gol', 'punto', 'rayo vallecano', 'tan', 'tigre', 'radamel falcao', 'laliga', 'minuto', 'torneo', 'pedro aquino', 'equipo', 'tabla', 'derrota', 'toluca', 'gol', 'punto', 'cantidad', 'titular', 'compatriota', 'américa', 'diferencia', 'liga mx nuestro']"
3,partido,"['fecha', 'transmisión', 'liga 1', 'vivo', 'partido', 'san martín', 'vs', 'sport huancayo', 'campo', 'aficionado', 'partido', 'juego', 'ligue 1 video', 'municipal', 'parejo', 'partido', 'universitario', 'historial', 'josepmir ballón', 'partido', 'hernán barcos edgar benítez oslimg mora aldair rodríguez jefferson portales', 'amarilla', 'capilla', 'defensor', 'partido', 'punto', 'trabajando', 'renzo garcés', 'seguir', 'regularidad', 'clasificación', 'estamos', 'partido', 'ytalo', 'manzo dt', 'puesto', 'mario palomino', 'partido', 'concentración', 'resultado', 'volante', 'encuentro', 'golazo', 'mls', 'bombazo', 'partido', 'confianza', 'orejas', 'edison flores', 'peruano', 'aproximación', 'partido', 'gol', 'estadio', 'precisión', 'peligro', 'monumental', 'área', 'iván elías moreno', 'jornada', 'partido', 'igualdad', 'fase 2', 'voz', 'fecha', 'fase 2', 'partido', 'comentario', 'las voces', 'narración', 'objetivo', 'equipo', 'orlando núñez', 'por lo menos no se perdió', 'partido', 'volante', 'encuentro', 'atlético de madrid', 'equipo', 'jornada', 'partido', 'igualdad', 'punto', 'diego simeone', 'athletic club', 'líder', 'laliga', 'iván elías moreno', 'partido', 'estadio', 'gol', 'cotejo', 'complemento ya', 'parte', 'carlos cabello', 'lesión', 'josé ramírez', 'partido', 'reemplazo', 'cambio lamentable', 'voz', 'fecha', 'fase 2', 'partido', 'comentario', 'las voces', 'narración', 'iván elías moreno', 'fecha', 'partido', 'estadio', 'breve', 'fase 2', 'fecha', 'pm', 'partido', 'cerrarán el día', 'estadio monumental', 'fase 2', 'figura', 'momento', 'el extremo alemán', 'equipo', 'partido', 'bayern munich', 'leroy sané', 'gol', 'asistencia', 'bávaro', 'voz', 'fecha', 'fase 2', 'partido', 'comentario', 'las voces', 'narración', 'fecha', 'partido', 'estadio', 'breve', 'monumental', 'fase 2', 'candela', 'otra vez', 'real madrid  el galés', 'medio', 'lesión', 'gareth bale', 'isquiotibial', 'pierna', 'partido', 'semana', 'baja', 'fecha', 'final', 'esfuerzo', 'quito nuestra', 'partido', 'martes', 'próximo', 'selección peruana  femenina', 'ecuador', 'encuentro', 'fifa', 'boca', 'partido', 'luis advíncula', 'cuando', 'racing', 'insulto', 'vs', 'encuentro', 'árbitro', 'minuto', 'jornada', 'doncaster rovers', 'partido', 'english league one rodrigo vilca', 'morecambe', 'no', 'obstante', '/difusión', 'selección', 'sudamericano femenino', 'fecha', 'pm', 'sigamos alentando', 'chile', 'partido', 'señal', 'hd', 'través', 'barrancabermeja', 'directv sports', 'vamo', 'sd/', 'perú', 'clave', 'minuto', 'tomislav brkic', 'equipo', 'partido', 'tropiezo', 'dupla', '0sergio galdos', 'día', 'jorge panta 5/2 2mirza basic', 'marcador', 'varillas', 'perú']"
4,perú,"['chorri palacios', 'chile', 'perú', 'perú', 'concurso', 'nasa', 'aquí', 'detalle', 'perú', 'tasa', 'inmunización', 'cevallos', 'país', 'vacunación', 'nerman fatic', 'perú', 'equipo', 'triunfo', 'serie', 'bosnia', 'nico álvarez', 'set', 'triunfo', 'dzumhur', 'bosnio', 'juan pablo varillas', 'serie', 'el tenista peruano', 'perú', 'estadio banco guayaquil de quito', 'selección peruana  femenina', 'ecuador', 'vamo', 'perú', 'gracias', 'final', 'chile', 'victoria', 'campeonato sudamericano de voleibol 2021 nuestras chicas', 'parcial', 'perú', 'participación', 'pm', 'blanquirroja el partido', 'partido amistoso  alineación', 'unidos', 'fútbol femenino', 'vamo', 'perú', 'perú', 'frente', 'bosnia &amp herzegovina', 'grupo mundial i', '0nerman fatic', 'copa davis  2nicolás álvarez', 'serie', 'primera ronda', 'ganamos', 'selección', 'vamos', 'campeonato sudamericano de voleibol 2021', '25-2025-1625-21', 'triunfo', 'barrancabermeja', 'perú', 'participación', 'selección', 'banco guayaquil', 'nicoles charcopa', 'pm', 'martes', 'estadio', 'ecuador', 'vamo', 'perú', 'selección', 'sudamericano femenino', 'fecha', 'pm', 'sigamos alentando', 'chile', 'partido', 'señal', 'hd', 'través', 'barrancabermeja', 'directv sports', 'vamo', 'sd/', 'perú', 'clave', 'minuto', 'tomislav brkic', 'equipo', 'partido', 'tropiezo', 'dupla', '0sergio galdos', 'día', 'jorge panta 5/2 2mirza basic', 'marcador', 'varillas', 'perú', 'ecuador', 'chica', 'perú', 'semifinal', 'campeonato panamericano u19 vamos', 'carlos fernandez', 'transmisión', 'alentemos', 'enlace', 'perú']"
5,jornada,"['jornada', 'vacunafest', 'segundo', 'callao', 'lima', 'minuto', 'golazo', 'mls', 'san jose earthquakes', 'marcos lópez', 'tanto', 'giro', 'jornada', 'lateral', 'cuello', 'austin fc', 'cabeza', 'visita', 'pm', 'jornada', 'ánimo', 'cotejo', 'concentración', 'domingo', 'familia demostrando', 'fase 2', 'puesto', 'minuto', 'unidad', 'ganado', 'pedro aquino', 'pm', 'jornada', 'toluca', 'titular', 'certamen', 'líder', ""liga mx  las 'águilas"", 'américa', 'atlanta united', 'dc united', 'golazo', 'mls', 'jornada', 'bombazo', 'choque', 'tremendo', 'edison flores', 'orejas', 'volante', 'mira', 'consideración', 'jornada', 'leyenda', 'certamen', 'renato tapia', 'fc barcelona', 'laliga fantasy', 'cuenta', 'resaltante', 'andrés iniesta', 'local', 'saint étienne', 'minutos', '67', 'jornada', 'miguel trauco', 'choque', 'bordeaux', 'ligue 1', 'condición', 'tuvo', 'iván elías moreno', 'jornada', 'partido', 'igualdad', 'fase 2', 'atlético de madrid', 'equipo', 'jornada', 'partido', 'igualdad', 'punto', 'diego simeone', 'athletic club', 'líder', 'laliga', 'fecha', 'enfrentamiento', 'jornada', 'sábado', 'estadio', 'igualdad', 'punto', 'cotejo', 'monumental el', 'fase 2', 'iván elías moreno', 'equipo', 'jornada', 'estadio', 'listas', 'oncenas', 'fase 2', 'doncaster', 'duelo', 'rodrigo vilca', 'buena victoria', 'jornada', 'morecambe', '79', 'english league one', 'jornada', 'inicia el partido ya', 'estadio monumental', 'fase 2', 'iván elías moreno', 'jornada', 'estadio', '100 pm', 'partidazo', 'interés', 'fase 2', 'volveremos', 'jornada', 'paliza', 'bávaros', 'bayern munich', 'choque', 'champions league', 'bochum', 'bundesliga', 'minuto', 'exequipo', 'tabla', 'jornada', 'solo', 'luis advíncula', 'getafe', 'gol', 'punto', 'rayo vallecano', 'tan', 'tigre', 'radamel falcao', 'laliga', 'jornada', 'cuadro', 'listos atlético de', 'partidazo', 'am', 'madrid', 'alineación', 'laliga', 'athletic club de bilbao', 'unidad', 'equipazo', 'estrella', 'torneo', 'jornada', 'cuadro', 'bochum', 'am', 'bayern múnich', 'bundesliga', 'duelo', 'sergio galdos', 'jorge panta', 'tomislav brkic', 'representante', 'jornada', 'dupla', 'copa davis', 'mirza basic', 'tenis', 'minuto', 'jornada', 'doncaster rovers', 'partido', 'english league one rodrigo vilca', 'morecambe', 'no', 'obstante', '/difusión']"
6,monumental,"['partido por la fecha 11 de la', 'final', 'estadio', 'frente', 'monumental', 'fase 2', 'equipo', 'lucas campana', 'estadio', 'marcador', 'vuelta', 'boys', 'sport', 'gl de', 'monumental', 'cuadro', 'monumental', 'estadio', 'joao villamarín', 'boys', 'sport', 'gl de', 'paridad', 'últimos 45 minutos', 'estadio', 'cotejo', 'parte', 'monumental', 'mario palomino', 'tanto', 'cierre', 'gol', 'tiempo', 'festejo', 'plantel', 'estadio', 'monumental', 'momentos', 'foto', 'estadio', 'tiempo', 'cotejo', 'monumental', 'fecha', 'final', 'primer tiempo', 'estadio', 'monumental', 'fase 2', 'mario palomino', 'equipo', 'monumental', 'estadio', 'binacional', 'gl de', 'fc', 'acción', 'estadio', 'respuesta marlon de jesús', 'incursión', 'remate', 'terreno', 'monumental', 'aproximación', 'partido', 'gol', 'estadio', 'precisión', 'peligro', 'monumental', 'área', 'fecha', 'duelo', 'triunfo', 'sábado', 'estadio', 'plantel', 'cotejo', 'cerrando', 'monumental', 'fase 2', 'fecha', 'estadio', 'breve', 'encuentro', 'monumental', 'fase 2', 'partido por la fecha 11 de la', 'final', 'estadio', 'punto', 'monumental', 'fase 2', 'equipo', 'gl de alianza', 'universidad', 'paridad', 'estadio', 'carlos neumann', 'monumental', 'fecha', 'mitad', 'estadio', 'final de la primera', 'monumental', 'fase 2', 'felipe rodríguez', 'penal', 'equipo', 'carlos a mannucci de', 'estadio', 'gl de', 'monumental', 'fecha', 'partido', 'estadio', 'breve', 'monumental', 'fase 2', 'candela']"
7,equipo,"['equipo', 'puma” carranza', 'hernán barcos', 'primera', 'pago', 'coordinación', 'equipo', 'covid-19', 'brigada', 'vacunación', 'cambio', 'carlos bustos', 'equipo', 'triunfo', 'blanquiazul', 'profesor', 'equipo', 'lucas campana', 'estadio', 'marcador', 'vuelta', 'boys', 'sport', 'gl de', 'monumental', 'mario palomino', 'equipo', 'monumental', 'estadio', 'binacional', 'gl de', 'fc', 'objetivo', 'equipo', 'orlando núñez', 'por lo menos no se perdió', 'partido', 'volante', 'encuentro', 'atlético de madrid', 'equipo', 'jornada', 'partido', 'igualdad', 'punto', 'diego simeone', 'athletic club', 'líder', 'laliga', 'jugador', 'minuto', 'rodrigo vilca', 'equipo', 'hinchada', 'doncaster rovers', 'triunfo', 'foto', 'morecambe', 'pedido', 'fila', 'fanático', 'peruano', 'iván elías moreno', 'equipo', 'jornada', 'estadio', 'listas', 'oncenas', 'fase 2', 'equipo', 'delantero', 'renato espinosa', 'cara', 'entrega', 'actitud', 'encuentro', 'defensor', 'brazo', 'equipo', 'rafael lutiger', 'semana', 'empate', 'encuentro', 'equipo', 'gl de alianza', 'universidad', 'paridad', 'estadio', 'carlos neumann', 'monumental', 'felipe rodríguez', 'penal', 'equipo', 'carlos a mannucci de', 'estadio', 'gl de', 'monumental', 'fecha', 'equipo', 'estadio monumental', 'listos', 'oncena', 'fase 2', 'vamos', 'fecha', '71', 'condición', 'visitante', 'equipo', 'delantero', 'choque', 'serie b', 'punto', 'ascoli', 'benevento', 'gianluca lapadula', 'figura', 'momento', 'el extremo alemán', 'equipo', 'partido', 'bayern munich', 'leroy sané', 'gol', 'asistencia', 'bávaro', 'duelo', 'equipo', 'la jornada de fútbol', 'am', 'abren', 'fase 2', 'nerman fatic', 'perú', 'equipo', 'triunfo', 'serie', 'bosnia', 'nico álvarez', 'minuto', 'torneo', 'pedro aquino', 'equipo', 'tabla', 'derrota', 'toluca', 'gol', 'punto', 'cantidad', 'titular', 'compatriota', 'américa', 'diferencia', 'liga mx nuestro', 'minuto', 'tomislav brkic', 'equipo', 'partido', 'tropiezo', 'dupla', '0sergio galdos', 'día', 'jorge panta 5/2 2mirza basic', 'marcador', 'varillas', 'perú']"
8,iván elías moreno,"['iván elías moreno', 'jornada', 'partido', 'igualdad', 'fase 2', 'iván elías moreno', 'calidad', 'balón', 'gol', 'estadio', 'juego', 'fondo', 'renzo garcés', 'credencial', 'iván elías moreno', 'partido', 'estadio', 'gol', 'cotejo', 'complemento ya', 'parte', 'iván elías moreno', 'fecha', 'empezó', 'estadio', 'cotejo', 'fase 2', 'iván elías moreno', 'fecha', 'partido ya', 'estadio', 'fase 2', 'iván elías moreno', 'equipo', 'jornada', 'estadio', 'listas', 'oncenas', 'fase 2', 'iván elías moreno', 'fecha', 'partido', 'estadio', 'breve', 'fase 2', 'iván elías moreno', 'jornada', 'estadio', '100 pm', 'partidazo', 'interés', 'fase 2']"
9,final,"['partido por la fecha 11 de la', 'final', 'estadio', 'frente', 'monumental', 'fase 2', 'fecha', 'final', 'primer tiempo', 'estadio', 'monumental', 'fase 2', 'defensor', 'final', 'encuentro', 'renzo garcés', 'cero', 'partido por la fecha 11 de la', 'final', 'el salvador', 'estadio', 'iván elías moreno de villa', 'fase 2', 'gracias', 'final', 'pelota', 'gabriel leyes', 'cabezazo', 'marcador', 'fecha', 'final', 'el salvador', 'primer tiempo', 'estadio', 'iván elías moreno de villa', 'fase 2', 'partido por la fecha 11 de la', 'final', 'estadio', 'punto', 'monumental', 'fase 2', 'fecha', 'final', 'esfuerzo', 'quito nuestra', 'partido', 'martes', 'próximo', 'selección peruana  femenina', 'ecuador', 'encuentro', 'fifa', 'gracias', 'final', 'chile', 'victoria', 'campeonato sudamericano de voleibol 2021 nuestras chicas', 'parcial', 'perú', 'participación']"
