,Name,KeywordsByWord
0,covid-19,"['año', 'hija', 'melissa paredes', 'covid-19', 'decrecimiento', 'caso', 'semana', 'oms', 'covid-19', 'bailarín', 'melissa paredes', 'molestia', 'covid-19', 'terminal', 'vacunación', 'covid-19', 'naranjal del metropolitano', 'día', 'emporio comercial de gamarra', 'covid-19', 'persona', 'melissa paredes', 'covid-19', 'prueba', 'centro', 'vacunación', 'año', 'callao', 'covid-19', 'empoderamiento', 'mensaje', 'gisela valcárcel', 'equipo', 'américa', 'covid-19', 'covid-19', 'sanamente', 'píldora', 'vacunación', 'minsa', 'año', 'covid-19', 'noviembre', 'coronavirus', 'millón', 'covid-19', 'peruano', 'muerte', 'minsa', 'el perú', 'ola', 'covid-19', 'covid-19', 'melissa paredes', 'reinas del show” bailarín', 'terminal', 'vacunación', 'covid-19', 'naranjal del metropolitano', 'día', 'emporio comercial de gamarra', 'covid-19', 'persona', 'mensaje', 'gisela valcárcel', 'equipo', 'américa', 'covid-19', 'centro', 'vacunación', 'año', 'callao', 'covid-19', 'melissa paredes', 'covid-19', 'actitud', 'fan', 'año', 'covid-19', 'vacunación', 'noviembre', 'pandemia', 'récord', 'muerte', 'rusia', 'covid-19', 'corazón', 'covid-19', 'secuela', 'melissa paredes', 'covid-19', 'prueba']"
1,hija,"['sebastián lizarzaburu', 'mensaje', 'juan víctor sánchez', 'hija', 'otra', 'pelea', 'video', 'lloramos de emoción beto da silva', 'semana', 'hija', 'ivana yturbe', 'nacimiento', 'año', 'hija', 'melissa paredes', 'covid-19', 'peluchín', 'red', 'hijo', 'andrea san martín', 'hija', 'exposición', 'explotan', 'andrea san martín', 'juan víctor', 'hija', 'aumento', 'pensión', 'lucy bacigalupo', 'hija', 'corriente', 'rodrigo gonzález', 'clase', 'sebastián lizarzaburu', 'andrea san martín', 'juan víctor', 'hija', 'dejen', 'emoción', 'andrea san martín', 'juan víctor', 'hija', 'sebastián', 'peluchín', 'red', 'hija', 'sebastián', 'andrea', 'cusco', 'actor', 'raúl araiza', 'hija', 'machu picchu', 'sebastián lizarzaburu', 'juan víctor sánchez', 'red', 'andrea san martín', 'sebaslizar', 'les declara', 'ig', 'hija', 'nota', 'guerra', 'foto', 'lee', 'andrea san martín', 'juan víctor', 'hija', 'sebastián', 'integridad', 'stella', 'madre', 'melanie griffith', 'apellido', 'antonio banderas', 'hija', 'melissa klug', 'seguidor', 'día', 'hija', 'instagram', 'instagram', 'actor', 'hija', 'valle sagrado de los incas', 'conductor', 'empresaria', 'jovencita', 'edad', 'paso', 'hija', 'farándula', 'evelyn vela', 'retoque', 'ex', 'hija', 'andrea san martín', 'red', 'hija', 'tutela', 'cantante', 'britney spears padre']"
2,perú,"['alejandro toledo', 'corpus', 'perú', 'recurso', 'extradición', 'hábea', 'xiaomi pad 5 precio', 'característica', 'tableta', 'perú', 'alejandro toledo', 'corpus', 'perú', 'recurso', 'extradición', 'hábea', 'prensa', 'ben brereton', 'lapadula', 'perú', 'habeas', 'corpus', 'perú', 'alejandro toledo', 'llegada', 'destino', 'historia', 'salida', 'perú', 'laura bozzo', 'interpol', 'méxico']"
3,pedro castillo,"['liderazgo', 'peruano', 'mayoría', 'ipsos', 'encuesta', 'pedro castillo', 'perú libre', 'pedro castillo', 'punto', 'partido', 'gabinete', 'reunión', 'presidente', 'verónika mendoza', 'pedro castillo', 'maúrtua', 'perú libre', 'canciller', 'agenda', 'renuncia', 'pedro castillo', 'pedro castillo', 'mario vargas llosa', 'primaria', 'profesor', 'renegociación', 'paso', 'pedro castillo', 'camisea', 'guido bellido', 'pedro castillo', 'historial', 's/', 'gobierno', 'bono yanapay', 'consulta', 'dni', 'tu', 'pedro castillo', 'beneficio', 'liderazgo', 'peruano', 'capacidad', 'ipsos', 'pedro castillo']"
4,andrea san martín,"['peluchín', 'red', 'hijo', 'andrea san martín', 'hija', 'exposición', 'explotan', 'carta', 'andrea san martín', 'juan víctor', 'andrea san martín', 'juan víctor', 'hija', 'aumento', 'pensión', 'publicación', 'crítica', 'andrea san martín', 'juan víctor', 'sebastián', 'sebastián lizarzaburu', 'andrea san martín', 'juan víctor', 'hija', 'dejen', 'andrea san martín', 'juan víctor', 'alimento', 'aumento', 'pensión', 'emoción', 'andrea san martín', 'juan víctor', 'hija', 'sebastián', 'sebastián lizarzaburu', 'andrea san martín', 'juan víctor', 'furia', 'el video de su hija', 'sebastián lizarzaburu', 'juan víctor sánchez', 'red', 'andrea san martín', 'sebaslizar', 'les declara', 'ig', 'hija', 'nota', 'guerra', 'foto', 'lee', 'andrea san martín', 'juan víctor', 'hija', 'sebastián', 'integridad', 'ex', 'hija', 'andrea san martín', 'red']"
5,persona,"['persona', 'viceministro', 'rosell', 'dosis', 'día', 'emporio comercial de gamarra', 'covid-19', 'persona', 'persona', 'viceministro', 'rosell', 'dosis', 'centro', 'iphone 13', 'persona', 'china', 'busca', 'día', 'emporio comercial de gamarra', 'covid-19', 'persona', 'personal', 'minsa', 'dosis', 'salud', 'persona', 'comorbilidad', 'personal', 'salud', 'prioridad', 'año', 'inmunosupresión', 'persona', 'gustavo rosell', 'comorbilidad', 'línea', 'esperanza', 'límite', 'vida', 'persona', 'estudio', 'cócteles', 'keiko fujimori fiscalía', 'caso', 'persona', 'herrera', 'nadie', 'edad', 'sánchez', 'contrario', 'persona', 'cassandra sánchez', 'critica', 'cosa', 'persona']"
6,álvaro paz de la barra,"['jamila dahabreh', 'sofía franco', 'reconciliación', 'álvaro paz de la barra', 'sofía franco', 'reconciliación', 'álvaro paz de la barra', 'bomba', 'tiempo', 'mariella zanetti', 'jamila dahabreh', 'chism', 'álvaro paz de la barra', 'sofía franco', 'problema', 'reconciliación', 'álvaro paz de la barra', 'sofía franco', 'magaly medina', 'álvaro paz de la barra']"
7,sofía franco,"['jamila dahabreh', 'sofía franco', 'reconciliación', 'álvaro paz de la barra', 'sofía franco', 'reconciliación', 'álvaro paz de la barra', 'bomba', 'tiempo', 'mariella zanetti', 'jamila dahabreh', 'sofía franco', 'insensatez', 'álvaro paz', 'sus', 'sofía franco', 'foto archivo gec', 'diferencias', 'dejaron', 'lee', 'alcalde', 'atrás', 'escándalo', 'violencia', 'nota', 'la molina', 'sofía franco', 'motivo', 'relación', 'mariella zanetti', 'hijo', 'sofía franco', 'conductora', 'pareja', 'alcalde', 'la molina álvaro paz de la barra', 'año', 'televisión', 'amor', 'desamor', 'sofía franco', 'motivo', 'relación', 'mariella zanetti', 'hijo', 'mariella zanetti', 'sofía franco', 'álvaro paz', 'arreglo', 'sofía franco', 'problema', 'reconciliación', 'álvaro paz de la barra', 'sofía franco', 'magaly medina', 'álvaro paz de la barra']"
8,juan víctor,"['carta', 'andrea san martín', 'juan víctor', 'andrea san martín', 'juan víctor', 'hija', 'aumento', 'pensión', 'publicación', 'crítica', 'andrea san martín', 'juan víctor', 'sebastián', 'sebastián lizarzaburu', 'andrea san martín', 'juan víctor', 'hija', 'dejen', 'andrea san martín', 'juan víctor', 'alimento', 'aumento', 'pensión', 'emoción', 'andrea san martín', 'juan víctor', 'hija', 'sebastián', 'sebastián lizarzaburu', 'andrea san martín', 'juan víctor', 'furia', 'el video de su hija', 'andrea san martín', 'juan víctor', 'hija', 'sebastián', 'integridad']"
9,gustavo dulanto,"['gustavo dulanto', 'convocatoria', 'diego rebagliati', 'gustavo dulanto', 'grupo', 'noviembre', 'gustavo dulanto', 'champions league', 'historia', 'peruano', 'pide', 'pedroelinternacional', 'le', 'gustavo dulanto', 'ig', 'humildad', 'periodista', 'nota', 'declaración', 'foto', 'victoria', 'real madrid', 'lee', 'gustavo dulanto', 'periodista', 'gareca dale', 'oportunidad', 'selección peruana', 'gustavo dulanto', 'respuesta', 'liverpool', 'dt de sheriff', 'equipo', 'gustavo dulanto', 'padre', 'gareca', 'experimento', 'llanta', 'sheriff de', 'gustavo dulanto', 'equipo', 'gonzalo núñez']"
