,Name,KeywordsByWord
0,presidente,"['estado mayor', 'kabul', 'presidente', 'soldado', 'mark milley', 'presión', 'afganistán', 'retirada', 'jefe', 'gobierno', '/ft', 'joe biden', 'general', 'talibán', 'intercambio', 'colaboración', 'presidente', 'presidenta', 'mauricio claver-carone', 'isabel díaz ayuso', 'montevideo miami', 'madrid', 'comunidad de madrid', 'decena', 'presidente', 'lópez obrador', 'mujer', 'día', 'aborto', 'género', 'violencia', 'derecho', 'fin', 'movimiento', 'ciudad de méxico', 'covid', 'presidente', 'autorización', 'cóctel', 'médico', 'asesor', 'paciente', 'empresa', 'comisión parlamentaria de investigación', 'prevent senior', 'manifestación', 'presidente', 'septiembre', 'noche', 'elementos del escuadrón móvil antidisturbios', 'jornada', 'covid', 'presidente', 'autorización', 'cóctel', 'médico', 'asesor', 'paciente', 'empresa', 'comisión parlamentaria de investigación', 'prevent senior', 'jovenel moïse', 'caos', 'país', 'presidente', 'banda', 'presencia', 'crisis', 'inestabilidad', 'cuestión', 'magnicidio', 'covid', 'presidente', 'autorización', 'médico', 'asesor', 'coctel', 'paciente', 'empresa', 'comisión parlamentaria de investigación', 'prevent senior', 'jovenel moïse', 'caos', 'país', 'presidente', 'banda', 'presencia', 'crisis', 'inestabilidad', 'cuestión', 'magnicidio', 'manifestación', 'presidente', 'septiembre', 'noche', 'elementos del escuadrón móvil antidisturbios', 'jornada', 'luis arce', 'gobernador', 'presidente', 'declaración', 'marco', 'acto', 'luis fernando camacho', 'efeméride', 'actitud', 'jovenel moïse', 'caos', 'país', 'presidente', 'banda', 'presencia', 'crisis', 'inestabilidad', 'cuestión', 'magnicidio', 'manifestación', 'presidente', 'septiembre', 'noche', 'elementos del escuadrón móvil antidisturbios', 'jornada', 'diálogo de alto nivel', 'arquitectura', 'presidente', 'parte', 'organización internacional del trabajo', 'adquisición', 'dosis', 'presidente', 'país', 'población', 'fármaco']"
1,país,"['continente', 'país', 'iglesia', 'áfrica', 'toledo', 'país', '2001', 'extradición', '2006', 'perú', '2018', 'toledo', 'país', '2001', 'extradición', '2006', 'perú', '2018', 'uruguay', '/es', 'lucha', 'américa latina  mujeres', 'país', 'aborto', 'región', 'argentina', 'martes', 'derecho', 'cuba', 'fecha', 'méxico', 'el problema', 'brexit', 'desabastecimiento', 'estación', 'país', 'falta', '/ft', 'cola', 'ciudadano', 'servicio', 'parte', 'conductor', 'guayaquil', 'manifiesto', 'país', 'enfrentamiento', 'año', 'crisis', 'muerto', 'la masacre', 'herido', 'reo', 'penitenciaria del litoral', 'pld', 'ee', 'país', 'ministro', '2020', 'elección', 'fumio', 'líder', 'partido liberal democrático', 'primaria', 'asesinato', 'medio', 'cuernavaca', 'fiscalía', 'país', 'intimidación', 'tiro', 'ama', 'año', 'portal', 'prensa', 'manuel gonzález reyes', 'méxico', 'número', 'penitenciaría', 'país', 'litoral', 'prisión', 'víctima', 'amotinamiento', 'fuerza', 'condición', 'autoridad', 'puerto príncipe', 'país', 'migrant', 'garantía', 'méxico', 'encuesta de condiciones de vida en venezuela', 'país', 'población', 'pobreza', 'retrato', 'republicano', 'peligro', 'tesoro de ee uu', 'país', 'demócrata', 'janet yellen', 'techo', 'el 18 de octubre', 'fondo', 'frente', 'deuda', 'trámite', 'refugio', 'permiso', 'país', 'albergue', 'migrant', 'acuña', 'preocupación', 'ambiente', 'méxico', 'llegada', 'autoridad', 'país', 'caso', 'migrant', 'mes', 'mayoría', 'refugio', 'destino', 'país', 'negativa', 'migrant', 'forma', 'niño', 'hábito', 'país', 'qué reciben los pequeños de las aldeas más remotas', 'te contamos', 'zona', 'apoyo', 'plan', 'empresa', 'joven', 'mayoría', 'refugio', 'destino', 'país', 'negativa', 'migrant', 'jovenel moïse', 'caos', 'país', 'presidente', 'banda', 'presencia', 'crisis', 'inestabilidad', 'cuestión', 'magnicidio', 'condición', 'país', 'movilización', 'paro', 'reclamo', 'hora', 'concentración', 'federación de funcionarios de salud pública', 'mayoría', 'refugio', 'destino', 'país', 'negativa', 'migrant', 'jovenel moïse', 'caos', 'país', 'presidente', 'banda', 'presencia', 'crisis', 'inestabilidad', 'cuestión', 'magnicidio', 'ministro de asuntos exteriores', 'país', 'elección', 'septiembre', 'gobernante', 'partido liberal democrático', 'fumio kishida', 'jovenel moïse', 'caos', 'país', 'presidente', 'banda', 'presencia', 'crisis', 'inestabilidad', 'cuestión', 'magnicidio', 'ministro de asuntos exteriores', 'país', 'elección', 'septiembre', 'gobernante', 'partido liberal democrático', 'fumio kishida', 'video→', 'iván duque', 'protesta', 'congreso', 'país', 'ciudad', 'demanda', 'calle', 'reforma', 'colombiano', 'ley', 'manifestante', 'jornada', 'arma', 'eliminación', 'creación', 'país', 'favor', 'organización', 'representante', 'zona', 'marco', 'geng shuangratificó', 'aniversario', 'posición', 'arma', 'eliminación', 'creación', 'país', 'favor', 'organización', 'representante', 'zona', 'marco', 'geng shuangratificó', 'aniversario', 'posición', 'adquisición', 'dosis', 'presidente', 'país', 'población', 'fármaco']"
2,méxico,"['consecuencia', 'méxico', 'yaqui', 'noreste', 'siglo', 'pueblo', 'territorio', 'ataque', 'méxico', 'uruguay', '/es', 'lucha', 'américa latina  mujeres', 'país', 'aborto', 'región', 'argentina', 'martes', 'derecho', 'cuba', 'fecha', 'méxico', 'asesinato', 'medio', 'cuernavaca', 'fiscalía', 'país', 'intimidación', 'tiro', 'ama', 'año', 'portal', 'prensa', 'manuel gonzález reyes', 'méxico', 'condición', 'autoridad', 'puerto príncipe', 'país', 'migrant', 'garantía', 'méxico', 'consejo', 'administración', 'méxico', 'siquiera', 'mujer', 'consejero', 'presencia', 'empresa', 'bolsa', 'continente', 'civilización', 'catolicismo', 'palabra', 'españa', 'presidenta', '“', 'francisco', 'legado', 'américa', 'papa', 'comunidad de madrid', 'méxico', 'albergue', 'ropa', 'lugar', 'acuña', 'zapato', 'pie', 'méxico', 'trámite', 'refugio', 'permiso', 'país', 'albergue', 'migrant', 'acuña', 'preocupación', 'ambiente', 'méxico', 'eeuu', 'migrant', 'cita', 'asilo', 'méxico']"
3,gobierno,"['gigante', 'evergrande group', 'desafío', 'gobierno', 'crisis', 'deuda', 'la tormenta perfecta de bajos salarios pandemia', 'gobierno', 'reino unido', 'crisis', 'asesinato', 'creación', 'favor', 'organización', 'periodista', 'gobierno', 'cuenta', 'tribunal', 'prensa', 'libertad', 'ee', 'encuentro', 'negociación', 'selfie', 'solas', 'alemania', 'coalición', 'día', 'gobierno', 'clave', 'fuerza', 'posición', 'cargo', 'comparación', 'angela', 'canciller', 'duración', 'merkel', 'gobierno', 'líder', 'estado mayor', 'kabul', 'presidente', 'soldado', 'mark milley', 'presión', 'afganistán', 'retirada', 'jefe', 'gobierno', '/ft', 'joe biden', 'general', 'talibán', 'crisis', 'ejército', 'gobierno', 'boris johnson', 'combustible', 'reparto', 'gasolinera', 'objetivo', 'industria', 'paro', 'gobierno', 'hora', 'federación sindical de la administración nacional de combustible', 'empresa', 'empresario', 'definición', 'falso', 'eeuu', '2004', 'gobierno', 'covid-19', 'autoridad', 'gobierno', 'fabricante', 'acuerdo', 'arma', 'contrarreloj', 'senado', 'asunto', 'gobierno', 'miércoles', 'plan', 'fondo', 'demócratas', 'deuda']"
4,florida,"['florida', 'fútbol', 'estudiante', 'familia', 'fe', 'violeta delville', 'detalle', 'abuela', 'florida', 'joven', 'viernes', 'florida', 'informa', 'miya marcano', 'hombre', 'basura', 'contenedor', 'florida', 'caimán', 'hazaña', 'causa', 'tengo', 'internet', 'hijo', 'sensación', 'maltrato', 'bebé', 'guardería', 'florida', 'empleada', 'víctima', 'pierna', 'fractura', 'policía', 'florida', 'mascarilla', 'trabajadora', 'florida', 'clave', 'política', 'gobernador', 'miya marcano', 'búsqueda', 'caso', 'florida', 'decenas', 'informa', 'sospechoso', 'voluntario']"
5,la palma,"['lava', 'la palma', 'volcán', 'océano atlántico', 'la palma', 'erupción', 'volcán', 'lava', 'agua', 'la palma', 'contacto', 'atlántico', 'riesgo', 'momento', 'contacto', 'volcán', 'islas canarias', 'mar', '/es', 'lava', 'agua', 'colada', 'noche', 'martes', 'población', 'océano', 'la palma', 'gas', 'gas', 'corrosión', 'volcán', 'mar', 'lava', 'agua', 'nube', 'sistema', 'efecto', 'la palma', 'contacto', 'minuto', 'tan', 'metro', 'colada', 'material', 'solo', 'la palma', 'altura', 'delta', 'llegada', 'condición', 'volcán', 'no', 'mar', 'lava', 'embargo', 'litoral', 'bomba', 'efecto', 'reacción', 'la palma', 'explosión', 'atlántico', 'residente', 'volcán', 'casa', 'toalla', 'lava', 'autoridad', 'cinta', 'ventana', 'la palma', 'isla', 'gas', 'puerta', 'calidad', 'aire', 'lava', 'autoridad', 'agua', 'nube', 'colada', 'canarias españa', 'la palma', 'isla', 'contacto', 'formación']"
6,familia,"['familia', 'fe', 'violeta delville', 'detalle', 'abuela', 'florida', 'joven', 'familia', 'crítica', 'situación', 'blindaje', 'persecución', 'exmandatario', 'vicepresidenta', 'familia', 'niño', 'rutina', 'sueño', 'infante', 'tiempo', 'profesional', 'niña', 'actividad', 'familia', 'crítica', 'situación', 'blindaje', 'persecución', 'exmandatario', 'vicepresidenta', 'familia', 'miya marcano', 'habitación', 'hallazgo', 'orlando florida', 'joven', 'familia', 'frontera', 'obama', 'del río', 'crisis', 'dificultad', 'familia', 'autoridad', 'conferencia', 'nueva york', 'esfuerzo', 'apoyo', 'prensa', 'joven', 'petito']"
7,joven,"['día', 'año', 'edad', 'joven', 'latina', 'madre', 'voz', 'chicago', 'joven', 'grupo', 'honduras', 'hispano', 'joven', 'familiar', 'miya marcano', 'casa', 'joven', 'vigilia', 'enn orlando florida', 'frente', 'familia', 'fe', 'violeta delville', 'detalle', 'abuela', 'florida', 'joven', 'forma', 'niño', 'hábito', 'país', 'qué reciben los pequeños de las aldeas más remotas', 'te contamos', 'zona', 'apoyo', 'plan', 'empresa', 'joven', 'familia', 'miya marcano', 'habitación', 'hallazgo', 'orlando florida', 'joven', 'collar', 'familiar', 'miya marcano', 'lucha', 'detalle', 'sangre', 'joven', 'desaparición', 'signo', 'habitación', 'georgia', 'pareja', 'casados', 'accidente', 'esposa', 'año', 'la tercera víctima', 'aniversario', 'joven', 'familia', 'autoridad', 'conferencia', 'nueva york', 'esfuerzo', 'apoyo', 'prensa', 'joven', 'petito']"
8,policía,"['amenaza', 'enero', 'ap', 'capitolio', 'jefe', 'edificio', 'policía', 'entrevista', 'la paz', 'mercado', 'vez', 'bolivia', 'conflicto', 'coca', 'semana', 'rvp', 'región', 'cocalero', 'martes', 'oficialismo', 'sector', 'los aliados', 'asamblea', 'policía', 'los yungas', 'fuerza', 'escena', 'madrugada', 'hermano', 'año', 'texas', 'víctima', 'policía', 'gemela', 'enfrentamiento', 'proaborto', 'marcha', 'ciudad de méxico', 'manifestante', 'policía', 'maltrato', 'bebé', 'guardería', 'florida', 'empleada', 'víctima', 'pierna', 'fractura', 'policía', 'hombre', 'punto', 'llama', 'auto', 'policía', 'california', 'cámara', 'hombre', 'seguridad', 'arresto', 'policía', 'minuto', 'tensión', 'puente', 'flecha', 'auto', 'arco', 'policía', 'sospechoso']"
9,vida,"['estados unidos', 'hombre', 'esperanza', 'lituania', 'vida', '2020', 'año', 'pérdida', 'esperanza', 'vida', 'caída', 'magnitud', 'vida', 'miércoles', 'año', 'fin', 'tutela', 'vida', 'baile', 'tiktok', 'vendedora', 'el salvador', 'peligro', 'vida', 'llamado', 'atención', 'regla', 'millón', 'organismo', 'año', 'persona', 'fin', 'enemigo', 'poema', 'vida', 'lucha', 'julia de burgos', 'sueño', 'puerto rico', 'albergue', 'vida', 'migrant']"
