Trend,Topico Dominante,Porcentaje de Contribución
gustavo dulanto,3.0,0.9943
fase 2,12.0,0.9939
sheriff tiraspol,3.0,0.9913
equipo,14.0,0.9944
barcelona,11.0,0.9901
partido,5.0,0.994
defensa,3.0,0.9917
real madrid,9.0,0.9903
grupo,1.0,0.9899
perú,12.0,0.9899
cristiano,2.0,0.9797
benfica video,11.0,0.9725
selección,12.0,0.9861
balón de oro,13.0,0.9741
fútbol,8.0,0.9741
koeman,11.0,0.9451
lionel messi,14.0,0.9627
villarreal video,2.0,0.9451
jornada,8.0,0.9833
leyenda,5.0,0.9533
atlético grau,12.0,0.9378
city,1.0,0.9222
problema,10.0,0.9641
kylian mbappé,9.0,0.9378
presencia,3.0,0.9678
karim benzema,3.0,0.9333
bayern,10.0,0.9451
malmö,0.0,0.9741
palabra,9.0,0.9481
dinamo de kiev,4.0,0.9611
11:45,0.0,0.9282
hockey.,12.0,0.9282
