Trend,Topico Dominante,Porcentaje de Contribución
covid-19,2.0,0.9898
hija,9.0,0.9908
perú,17.0,0.9712
pedro castillo,15.0,0.9793
andrea san martín,10.0,0.9847
persona,14.0,0.983
álvaro paz de la barra,3.0,0.9548
sofía franco,6.0,0.9833
juan víctor,10.0,0.9756
gustavo dulanto,3.0,0.9779
conductora,5.0,0.9806
crítica,14.0,0.9635
corazón,8.0,0.905
sebastián,7.0,0.9672
padre,19.0,0.9683
mujer,16.0,0.9774
américa,17.0,0.9729
cantante,19.0,0.9729
magaly medina,17.0,0.9406
fiscalía vladimir cerrón,8.0,0.8944
gisela valcárcel,17.0,0.95
eeg,16.0,0.95
equipo,5.0,0.8728
setiembre,7.0,0.9729
alejandro toledo,10.0,0.9648
madre,8.0,0.9367
miércoles,7.0,0.975
historia,18.0,0.9441
evelyn vela,14.0,0.95
lima,14.0,0.95
champions league,2.0,0.9694
guerreros puerto rico,14.0,0.8944
gobierno,19.0,0.9321
reinas,13.0,0.9441
profesor,7.0,0.9136
guerra,9.0,0.9672
camisea,13.0,0.9406
diana sánchez,14.0,0.905
techo propio,5.0,0.8417
milett figueroa,2.0,0.9269
salud,14.0,0.9568
rodrigo gonzález,16.0,0.9367
imagen,5.0,0.95
respuesta,16.0,0.8944
lapadula,12.0,0.8944
christian domínguez,11.0,0.8944
alejandra baigorria,4.0,0.8944
dinámicos del centro,8.0,0.8944
venezolano,18.0,0.8944
rosell,12.0,0.8944
selección,17.0,0.8944
keiko fujimori,10.0,0.9208
real madrid,11.0,0.9472
barcelona,2.0,0.9321
victoria,11.0,0.95
juego,2.0,0.9136
mi primera mejor amiga,2.0,0.81
cassandra sánchez de lamadrid esta,14.0,0.81
habeas,10.0,0.81
sagrado,1.0,0.81
hospital rebagliati acusan,16.0,0.81
s/,19.0,0.81
britney spears,19.0,0.81
yoshimar yotún video,18.0,0.81
gareca,19.0,0.81
mario vargas llosa,13.0,0.81
sheriff de dulanto,11.0,0.81
brazo,10.0,0.81
mendoza,19.0,0.81
president,0.0,0.81
encuentro,9.0,0.95
cuto guadalupe,13.0,0.8417
bono yanapay beneficiarios,9.0,0.8417
horario,1.0,0.8417
youtuber,7.0,0.8417
felicidades,1.0,0.8643
hae soo de squid game,19.0,0.81
oliverio,1.0,0.8643
espn,2.0,0.8812
plata,11.0,0.8643
