Trend,Topico Dominante,Porcentaje de Contribución
presidente,2.0,0.605
perú,0.0,0.6243
celac,2.0,0.8532
vacunación,6.0,0.9097
cumbre,2.0,0.999
país,0.0,0.9997
covid-19,6.0,0.9994
fotos,0.0,0.9933
méxico,2.0,0.6518
pedro castillo,0.0,0.7287
persona,6.0,0.4443
lima,3.0,0.7852
gobierno,2.0,0.9351
mes,7.0,0.9986
salud,3.0,0.9266
partido,1.0,0.9578
sol,4.0,0.9954
ministro,2.0,0.9986
→,2.0,0.5549
gol,1.0,0.7574
jefe,2.0,0.999
estadio,1.0,0.7992
sábado,3.0,0.9993
ley,0.0,0.9985
red,0.0,0.8974
abimael guzmán,0.0,0.9985
forma,3.0,0.9968
setiembre,3.0,0.6962
fase 2,1.0,0.9986
vida,6.0,0.9984
américa latina,0.0,0.9978
relación,0.0,0.9502
serie,6.0,0.9983
plan,7.0,0.4166
cambio,7.0,0.9989
entrevista,7.0,0.9966
joven,7.0,0.9449
resto,0.0,0.9986
eeuu,6.0,0.5787
pandemia,6.0,0.6899
tema,5.0,0.9981
terrorismo,0.0,0.9971
mundo,0.0,0.9989
monumental,1.0,0.7265
maduro,2.0,0.9975
pueblo,5.0,0.9061
equipo,6.0,0.7255
jornada,1.0,0.8949
vacunafest,3.0,0.9981
“,5.0,0.7892
coronavirus,6.0,0.5534
intervención,2.0,0.9989
grupo,6.0,0.998
unidad,2.0,0.5295
sur,7.0,0.9979
peruano,7.0,0.9966
región,0.0,0.9987
república,0.0,0.7613
chile,5.0,0.9975
selección,5.0,0.6184
edad,5.0,0.9424
mujer,5.0,0.9983
derecho,6.0,0.5781
premier league,7.0,0.9289
bus,7.0,0.9942
retorno,3.0,0.9914
lista,3.0,0.9941
policía,6.0,0.9978
humanos,5.0,0.9963
domingo,1.0,0.9219
voz,1.0,0.8002
plaza norte,6.0,0.5342
secretaria ejecutiva de la cepal alicia bárcena,2.0,0.9903
mensaje,6.0,0.9978
ciudadano,3.0,0.4879
estados unidos,2.0,0.9972
medida,6.0,0.5128
mandatario,2.0,0.885
zona,0.0,0.897
empresa,5.0,0.9978
migrant,1.0,0.9981
encuentro,1.0,0.8584
contrato,2.0,0.9957
familia,3.0,0.9976
detalle,3.0,0.5389
representante,2.0,0.6529
luciana fuster,5.0,0.9931
andrés lópez obrador,0.0,0.9271
acuerdo,2.0,0.7172
paraguay,2.0,0.9974
igualdad,5.0,0.8335
aldo corzo,6.0,0.9952
inmunización,6.0,0.6881
