Trend,Topico Dominante,Porcentaje de Contribución
presidente,5.0,0.8561
→,5.0,0.8082
celac,5.0,0.62
país,1.0,0.4603
cumbre,5.0,0.4994
gobierno,0.0,0.629
ministro,3.0,0.9963
vacuna,2.0,0.9984
méxico,3.0,0.9966
nación,5.0,0.9975
unión,5.0,0.9948
secretaria ejecutiva de la cepal alicia bárcena,2.0,0.9897
persona,1.0,0.9981
plan,2.0,0.4879
américa latina,2.0,0.996
tema,5.0,0.9947
migrant,0.0,0.9978
vida,7.0,0.9958
cambio,3.0,0.9976
región,3.0,0.9979
eeuu,1.0,0.5614
forma,7.0,0.993
desarrollo,1.0,0.871
integración,5.0,0.8376
sur,0.0,0.9954
centroamérica,0.0,0.9879
ministra de relaciones exteriores de panamá erika mouynes,5.0,0.6604
el caribe,5.0,0.765
entrevista,6.0,0.9926
el salvador,1.0,0.9926
latinoamérica,5.0,0.9944
mes,1.0,0.9929
relación,3.0,0.7724
economía,5.0,0.9941
policía,2.0,0.9958
democracia,5.0,0.6323
objetivo,3.0,0.9519
ciudadano,4.0,0.989
estados unidos,4.0,0.7739
unidad,6.0,0.9424
cuba,4.0,0.9917
general,2.0,0.9891
texas,0.0,0.8759
canciller,7.0,0.514
familia,1.0,0.9945
fuerza,5.0,0.9834
china,1.0,0.4497
ley,3.0,0.9869
"gabrielle ""gabby"" petito",1.0,0.9585
la tierra,0.0,0.9925
isla,0.0,0.9902
covid-19,7.0,0.9949
jefes de estado,4.0,0.9762
decisión,4.0,0.9843
idea,0.0,0.9806
escuela,1.0,0.534
presidencia de,2.0,0.9891
deportación,0.0,0.7548
factor,1.0,0.5838
recurso,5.0,0.9937
error,1.0,0.98
submarino,1.0,0.9928
2019,2.0,0.977
nicolás maduro,3.0,0.9935
venezuela,1.0,0.9691
cara,3.0,0.9781
diferencia,5.0,0.4193
manifestación,1.0,0.9916
derecho,5.0,0.9826
agente,6.0,0.9882
red,2.0,0.7616
australia,1.0,0.7643
brian laundrie,1.0,0.6766
programa,6.0,0.9922
empresa,4.0,0.9913
protesta,2.0,0.9866
coronavirus,4.0,0.5253
enfermedad,1.0,0.6295
kamina johnson smith,5.0,0.9817
washington,1.0,0.7748
misión,0.0,0.9905
del río,0.0,0.8759
españa,0.0,0.9926
disposición,2.0,0.9714
seguro,7.0,0.6331
dean buonomano,4.0,0.9704
senado de república dominicana,4.0,0.9726
aplicación,4.0,0.9647
ssa,6.0,0.9908
participación,5.0,0.9918
biles,0.0,0.9687
paz,1.0,0.9844
experto,3.0,0.741
