Trend,Topico Dominante,Porcentaje de Contribución
covid-19,14.0,0.9926
persona,14.0,0.993
iber maraví,11.0,0.981
alejandro toledo,6.0,0.9847
país,15.0,0.9421
gobierno,12.0,0.9926
guido bellido,10.0,0.9594
lima,13.0,0.9862
vladimir cerrón,13.0,0.8246
entrevista,8.0,0.9784
pedro castillo,19.0,0.9839
nota,13.0,0.9806
miércoles,17.0,0.8544
proceso,8.0,0.9836
edición matinal,5.0,0.81
s/,3.0,0.9635
tema,10.0,0.9259
renegociación,0.0,0.9802
congresista,18.0,0.8938
red,16.0,0.9762
empresa,15.0,0.9155
audiencia,13.0,0.9824
canciller,19.0,0.9806
bermejo,12.0,0.9208
libro,18.0,0.9821
control,4.0,0.962
mediodía,3.0,0.9635
mundo,7.0,0.9525
ley,2.0,0.9793
amenaza,10.0,0.9661
corpus,18.0,0.9694
pueblo,0.0,0.9694
comisión,19.0,0.9568
consejo de ministros,3.0,0.9472
maela,11.0,0.9802
minería,8.0,0.905
mercado,18.0,0.9743
peruano,5.0,0.9743
regla,12.0,0.9136
precio,18.0,0.9525
desarrollo,15.0,0.9568
ministerio,8.0,0.8417
poder judicial,5.0,0.9635
dinámicos,0.0,0.9406
viceministro,3.0,0.9367
territorio,19.0,0.9672
laura grados,3.0,0.8944
óscar maúrtua,19.0,0.9774
exmandatario,13.0,0.9635
nación,18.0,0.9568
joven,4.0,0.962
conocimiento,7.0,0.8195
ciudadano,2.0,0.9472
habeas,18.0,0.9568
ariana lira delcore   suscríbete,8.0,0.8417
abogado,6.0,0.9472
factor,1.0,0.9672
fiscal,16.0,0.9441
defensa,0.0,0.95
política,7.0,0.9568
debate,7.0,0.9568
televisión digital terrestre,8.0,0.9721
comunidad,5.0,0.9736
independencia   conoce,3.0,0.8643
parlamentaria,6.0,0.95
universidad,11.0,0.8643
economía,11.0,0.9472
metro,6.0,0.9587
ejecutivo,15.0,0.9587
sur,5.0,0.9635
silva,5.0,0.8417
muñoz,13.0,0.9661
harold forsyth,0.0,0.9648
denuncia,1.0,0.81
energía  no,3.0,0.81
diccionario,7.0,0.8812
