Keyword,Words Topico
estadio,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
fase 2,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
gol,"['gol', 'encuentro', 'joao villamarín', 'empate', 'torneo', 'orlando núñez', 'fútbol', 'falta', 'la mejor manera de defendernos', 'carlos desio dt', 'primera ronda', 'nerman fatic', 'inter de milán']"
partido,"['partido', 'perú', 'selección', 'vamo', 'premier league', 'hernán barcos', 'jugador', 'victoria', 'aldo corzo', 'ytalo manzo dt', 'directv sports', 'serie a', 'chica', 'josé carvallo']"
perú,"['partido', 'perú', 'selección', 'vamo', 'premier league', 'hernán barcos', 'jugador', 'victoria', 'aldo corzo', 'ytalo manzo dt', 'directv sports', 'serie a', 'chica', 'josé carvallo']"
jornada,"['jornada', 'marcos lópez', 'horario', 'arranca la segunda parte', 'movistar', 'comentario', 'bayern munich', 'copa davis', 'liga profesional', 'cabeza', 'tomislav brkic', 'global tv']"
monumental,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
equipo,"['equipo', 'sport boys', 'laliga', 'lima', 'city', 'binacional video', 'radamel falcao', 'rayo vallecano', 'hincha', 'carlos fernandez', 'bosnia', 'le cag**** el cacharro mira', 'detalles']"
iván elías moreno,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
final,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
encuentro,"['gol', 'encuentro', 'joao villamarín', 'empate', 'torneo', 'orlando núñez', 'fútbol', 'falta', 'la mejor manera de defendernos', 'carlos desio dt', 'primera ronda', 'nerman fatic', 'inter de milán']"
marcos lópez,"['jornada', 'marcos lópez', 'horario', 'arranca la segunda parte', 'movistar', 'comentario', 'bayern munich', 'copa davis', 'liga profesional', 'cabeza', 'tomislav brkic', 'global tv']"
selección,"['partido', 'perú', 'selección', 'vamo', 'premier league', 'hernán barcos', 'jugador', 'victoria', 'aldo corzo', 'ytalo manzo dt', 'directv sports', 'serie a', 'chica', 'josé carvallo']"
joao villamarín,"['gol', 'encuentro', 'joao villamarín', 'empate', 'torneo', 'orlando núñez', 'fútbol', 'falta', 'la mejor manera de defendernos', 'carlos desio dt', 'primera ronda', 'nerman fatic', 'inter de milán']"
vamo,"['partido', 'perú', 'selección', 'vamo', 'premier league', 'hernán barcos', 'jugador', 'victoria', 'aldo corzo', 'ytalo manzo dt', 'directv sports', 'serie a', 'chica', 'josé carvallo']"
real madrid,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
fotos,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
fc barcelona,"['fc barcelona', 'universitario', 'liga 1', 'peruano', 'bus', 'club', 'deportivo municipal', 'doncaster', 'rodrigo vilca', 'juan pablo varillas', 'liga mx', 'representante de dos santos']"
universitario,"['fc barcelona', 'universitario', 'liga 1', 'peruano', 'bus', 'club', 'deportivo municipal', 'doncaster', 'rodrigo vilca', 'juan pablo varillas', 'liga mx', 'representante de dos santos']"
sport boys,"['equipo', 'sport boys', 'laliga', 'lima', 'city', 'binacional video', 'radamel falcao', 'rayo vallecano', 'hincha', 'carlos fernandez', 'bosnia', 'le cag**** el cacharro mira', 'detalles']"
boca juniors,"['boca juniors', 'serie b', 'ligue 1', 'campana', 'luis advíncula', 'messi', 'juego', 'tucumán video', 'gianluca lapadula', 'miguel trauco', 'cambio', 'atlético tucumán']"
empate,"['gol', 'encuentro', 'joao villamarín', 'empate', 'torneo', 'orlando núñez', 'fútbol', 'falta', 'la mejor manera de defendernos', 'carlos desio dt', 'primera ronda', 'nerman fatic', 'inter de milán']"
laliga,"['equipo', 'sport boys', 'laliga', 'lima', 'city', 'binacional video', 'radamel falcao', 'rayo vallecano', 'hincha', 'carlos fernandez', 'bosnia', 'le cag**** el cacharro mira', 'detalles']"
mario palomino,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
serie b,"['boca juniors', 'serie b', 'ligue 1', 'campana', 'luis advíncula', 'messi', 'juego', 'tucumán video', 'gianluca lapadula', 'miguel trauco', 'cambio', 'atlético tucumán']"
horario,"['jornada', 'marcos lópez', 'horario', 'arranca la segunda parte', 'movistar', 'comentario', 'bayern munich', 'copa davis', 'liga profesional', 'cabeza', 'tomislav brkic', 'global tv']"
lima,"['equipo', 'sport boys', 'laliga', 'lima', 'city', 'binacional video', 'radamel falcao', 'rayo vallecano', 'hincha', 'carlos fernandez', 'bosnia', 'le cag**** el cacharro mira', 'detalles']"
liga 1,"['fc barcelona', 'universitario', 'liga 1', 'peruano', 'bus', 'club', 'deportivo municipal', 'doncaster', 'rodrigo vilca', 'juan pablo varillas', 'liga mx', 'representante de dos santos']"
ligue 1,"['boca juniors', 'serie b', 'ligue 1', 'campana', 'luis advíncula', 'messi', 'juego', 'tucumán video', 'gianluca lapadula', 'miguel trauco', 'cambio', 'atlético tucumán']"
campana,"['boca juniors', 'serie b', 'ligue 1', 'campana', 'luis advíncula', 'messi', 'juego', 'tucumán video', 'gianluca lapadula', 'miguel trauco', 'cambio', 'atlético tucumán']"
luis advíncula,"['boca juniors', 'serie b', 'ligue 1', 'campana', 'luis advíncula', 'messi', 'juego', 'tucumán video', 'gianluca lapadula', 'miguel trauco', 'cambio', 'atlético tucumán']"
premier league,"['partido', 'perú', 'selección', 'vamo', 'premier league', 'hernán barcos', 'jugador', 'victoria', 'aldo corzo', 'ytalo manzo dt', 'directv sports', 'serie a', 'chica', 'josé carvallo']"
hernán barcos,"['partido', 'perú', 'selección', 'vamo', 'premier league', 'hernán barcos', 'jugador', 'victoria', 'aldo corzo', 'ytalo manzo dt', 'directv sports', 'serie a', 'chica', 'josé carvallo']"
torneo,"['gol', 'encuentro', 'joao villamarín', 'empate', 'torneo', 'orlando núñez', 'fútbol', 'falta', 'la mejor manera de defendernos', 'carlos desio dt', 'primera ronda', 'nerman fatic', 'inter de milán']"
messi,"['boca juniors', 'serie b', 'ligue 1', 'campana', 'luis advíncula', 'messi', 'juego', 'tucumán video', 'gianluca lapadula', 'miguel trauco', 'cambio', 'atlético tucumán']"
jugador,"['partido', 'perú', 'selección', 'vamo', 'premier league', 'hernán barcos', 'jugador', 'victoria', 'aldo corzo', 'ytalo manzo dt', 'directv sports', 'serie a', 'chica', 'josé carvallo']"
arranca la segunda parte,"['jornada', 'marcos lópez', 'horario', 'arranca la segunda parte', 'movistar', 'comentario', 'bayern munich', 'copa davis', 'liga profesional', 'cabeza', 'tomislav brkic', 'global tv']"
peruano,"['fc barcelona', 'universitario', 'liga 1', 'peruano', 'bus', 'club', 'deportivo municipal', 'doncaster', 'rodrigo vilca', 'juan pablo varillas', 'liga mx', 'representante de dos santos']"
city,"['equipo', 'sport boys', 'laliga', 'lima', 'city', 'binacional video', 'radamel falcao', 'rayo vallecano', 'hincha', 'carlos fernandez', 'bosnia', 'le cag**** el cacharro mira', 'detalles']"
juego,"['boca juniors', 'serie b', 'ligue 1', 'campana', 'luis advíncula', 'messi', 'juego', 'tucumán video', 'gianluca lapadula', 'miguel trauco', 'cambio', 'atlético tucumán']"
bus,"['fc barcelona', 'universitario', 'liga 1', 'peruano', 'bus', 'club', 'deportivo municipal', 'doncaster', 'rodrigo vilca', 'juan pablo varillas', 'liga mx', 'representante de dos santos']"
gl de,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
