Keyword,Words Topico
perú,"['perú', 'persona', 'gobierno', 'historia', 'salud', 'encuentro']"
andrea san martín,"['andrea san martín', 'juan víctor', 'setiembre', 'rodrigo gonzález']"
persona,"['perú', 'persona', 'gobierno', 'historia', 'salud', 'encuentro']"
sofía franco,"['sofía franco', 'cantante', 'madre']"
juan víctor,"['andrea san martín', 'juan víctor', 'setiembre', 'rodrigo gonzález']"
gustavo dulanto,['gustavo dulanto']
conductora,"['conductora', 'lima']"
américa,"['américa', 'magaly medina', 'show', 'reinas']"
mujer,"['mujer', 'miércoles']"
cantante,"['sofía franco', 'cantante', 'madre']"
magaly medina,"['américa', 'magaly medina', 'show', 'reinas']"
gisela valcárcel,['gisela valcárcel']
setiembre,"['andrea san martín', 'juan víctor', 'setiembre', 'rodrigo gonzález']"
show,"['américa', 'magaly medina', 'show', 'reinas']"
gobierno,"['perú', 'persona', 'gobierno', 'historia', 'salud', 'encuentro']"
vladimir cerrón,"['vladimir cerrón', 'champions league', 'barcelona']"
miércoles,"['mujer', 'miércoles']"
historia,"['perú', 'persona', 'gobierno', 'historia', 'salud', 'encuentro']"
evelyn vela,"['evelyn vela', 'vargas llosa']"
lima,"['conductora', 'lima']"
madre,"['sofía franco', 'cantante', 'madre']"
champions league,"['vladimir cerrón', 'champions league', 'barcelona']"
reinas,"['américa', 'magaly medina', 'show', 'reinas']"
camisea,['camisea']
vargas llosa,"['evelyn vela', 'vargas llosa']"
milett figueroa,"['milett figueroa', 'imagen']"
rodrigo gonzález,"['andrea san martín', 'juan víctor', 'setiembre', 'rodrigo gonzález']"
salud,"['perú', 'persona', 'gobierno', 'historia', 'salud', 'encuentro']"
imagen,"['milett figueroa', 'imagen']"
barcelona,"['vladimir cerrón', 'champions league', 'barcelona']"
encuentro,"['perú', 'persona', 'gobierno', 'historia', 'salud', 'encuentro']"
