Keyword,Words Topico
presidente,"['presidente', 'policía', 'elementos del escuadrón móvil antidisturbios']"
país,"['país', 'elección', 'medio', 'ministro', 'víctima']"
méxico,"['méxico', 'derecho', 'colegio de abogados de áfrica']"
gobierno,"['gobierno', 'vida', 'partido liberal democrático', 'fumio kishida']"
familia,"['familia', 'exmandatario', 'koeman']"
joven,"['joven', 'fiscalía', 'nivel', 'edad', 'adolescente', 'profesora', 'inglaterra']"
la palma,"['la palma', 'volcán', 'océano atlántico', 'cámara', 'músico', 'isla', 'sistema', 'cumbre vieja', 'canarias']"
policía,"['presidente', 'policía', 'elementos del escuadrón móvil antidisturbios']"
vida,"['gobierno', 'vida', 'partido liberal democrático', 'fumio kishida']"
volcán,"['la palma', 'volcán', 'océano atlántico', 'cámara', 'músico', 'isla', 'sistema', 'cumbre vieja', 'canarias']"
ee,"['ee', 'los ángeles', 'organización', 'español']"
covid,"['covid', 'asesor', 'trabajador', 'cóctel']"
estados unidos,"['estados unidos', 'marco']"
fiscalía,"['joven', 'fiscalía', 'nivel', 'edad', 'adolescente', 'profesora', 'inglaterra']"
elección,"['país', 'elección', 'medio', 'ministro', 'víctima']"
medio,"['país', 'elección', 'medio', 'ministro', 'víctima']"
mundo,"['mundo', 'salud', 'senado', 'crimen']"
los ángeles,"['ee', 'los ángeles', 'organización', 'español']"
ministro,"['país', 'elección', 'medio', 'ministro', 'víctima']"
salud,"['mundo', 'salud', 'senado', 'crimen']"
derecho,"['méxico', 'derecho', 'colegio de abogados de áfrica']"
investigación,"['investigación', 'ciudad', 'enfrentamiento']"
océano atlántico,"['la palma', 'volcán', 'océano atlántico', 'cámara', 'músico', 'isla', 'sistema', 'cumbre vieja', 'canarias']"
más→,['más→']
senado,"['mundo', 'salud', 'senado', 'crimen']"
organización,"['ee', 'los ángeles', 'organización', 'español']"
ciudad,"['investigación', 'ciudad', 'enfrentamiento']"
elementos del escuadrón móvil antidisturbios,"['presidente', 'policía', 'elementos del escuadrón móvil antidisturbios']"
cámara,"['la palma', 'volcán', 'océano atlántico', 'cámara', 'músico', 'isla', 'sistema', 'cumbre vieja', 'canarias']"
enfrentamiento,"['investigación', 'ciudad', 'enfrentamiento']"
partido liberal democrático,"['gobierno', 'vida', 'partido liberal democrático', 'fumio kishida']"
español,"['ee', 'los ángeles', 'organización', 'español']"
víctima,"['país', 'elección', 'medio', 'ministro', 'víctima']"
colegio de abogados de áfrica,"['méxico', 'derecho', 'colegio de abogados de áfrica']"
grupo,"['grupo', 'memoria']"
marco,"['estados unidos', 'marco']"
fumio kishida,"['gobierno', 'vida', 'partido liberal democrático', 'fumio kishida']"
crimen,"['mundo', 'salud', 'senado', 'crimen']"
asesor,"['covid', 'asesor', 'trabajador', 'cóctel']"
nivel,"['joven', 'fiscalía', 'nivel', 'edad', 'adolescente', 'profesora', 'inglaterra']"
edad,"['joven', 'fiscalía', 'nivel', 'edad', 'adolescente', 'profesora', 'inglaterra']"
trabajador,"['covid', 'asesor', 'trabajador', 'cóctel']"
adolescente,"['joven', 'fiscalía', 'nivel', 'edad', 'adolescente', 'profesora', 'inglaterra']"
músico,"['la palma', 'volcán', 'océano atlántico', 'cámara', 'músico', 'isla', 'sistema', 'cumbre vieja', 'canarias']"
referéndum,"['referéndum', 'televisión']"
isla,"['la palma', 'volcán', 'océano atlántico', 'cámara', 'músico', 'isla', 'sistema', 'cumbre vieja', 'canarias']"
sistema,"['la palma', 'volcán', 'océano atlántico', 'cámara', 'músico', 'isla', 'sistema', 'cumbre vieja', 'canarias']"
exmandatario,"['familia', 'exmandatario', 'koeman']"
koeman,"['familia', 'exmandatario', 'koeman']"
profesora,"['joven', 'fiscalía', 'nivel', 'edad', 'adolescente', 'profesora', 'inglaterra']"
cóctel,"['covid', 'asesor', 'trabajador', 'cóctel']"
cumbre vieja,"['la palma', 'volcán', 'océano atlántico', 'cámara', 'músico', 'isla', 'sistema', 'cumbre vieja', 'canarias']"
televisión,"['referéndum', 'televisión']"
memoria,"['grupo', 'memoria']"
canarias,"['la palma', 'volcán', 'océano atlántico', 'cámara', 'músico', 'isla', 'sistema', 'cumbre vieja', 'canarias']"
inglaterra,"['joven', 'fiscalía', 'nivel', 'edad', 'adolescente', 'profesora', 'inglaterra']"
