,Word,Ponderado
0,setiembre,2.76
1,región,2.75
2,país,2.38
3,año,2.32
4,vacunación,2.29
5,galería,2.27
6,sesión,2.18
7,programa,2.17
8,miércoles,2.03
9,pandemia,1.83
10,caso,1.74
11,centro,1.73
12,empresa,1.67
13,liga de campeones,1.63
14,sol,1.63
15,millón,1.62
16,persona,1.6
17,conduce césar chaman,1.53
18,presidente,1.53
19,foto,1.52
20,acuerdo,1.51
21,campaña,1.47
22,bono,1.41
23,pedro castillo,1.39
24,punto,1.39
25,europa,1.37
26,niño,1.31
27,semana,1.31
28,champions league  mira,1.27
29,cusco,1.27
30,afp,1.25
31,barcelona,1.24
32,política,1.22
33,cumbre,1.2
34,octubre,1.19
35,oea,1.18
36,agenda,1.15
37,grupo,1.15
38,tema,1.13
39,acción,1.11
40,comunidad,1.1
41,lima,1.1
42,mundo,1.08
43,evento,1.05
44,consejo de ministros,1.04
45,manchester united,1.04
46,sector,1.03
47,benfica,1.01
48,control,1.01
49,peru no covid-19-related deaths in metropolitan lima on sep,1.0
50,peru president leads coordination meeting with deputy ministers,1.0
51,estrategia,0.99
52,bono yanapay perú,0.98
53,fin,0.98
54,interés,0.98
55,casa,0.97
56,síndrome,0.96
57,chelsea,0.95
58,conversamos,0.95
59,juventus,0.95
60,respecto,0.94
61,venta,0.94
62,implementación,0.93
63,subsidio,0.93
64,cristiano ronaldo,0.92
65,enfermedad,0.92
66,gobernador,0.92
67,población,0.92
68,objetivo,0.91
69,perú,0.91
70,callao,0.9
71,estudio,0.9
72,peruano,0.9
73,protocolo,0.9
74,equipo,0.89
75,jefe de estado,0.89
76,jornada,0.89
77,lucha,0.89
78,normas legales,0.89
79,pga seguro rápido,0.89
80,plataforma,0.89
81,sencillo,0.89
82,webinar,0.89
83,campeón,0.88
84,selección,0.88
85,favor,0.87
86,inversión,0.87
87,dosis,0.86
88,peatón,0.86
89,propuesta,0.86
90,oxígeno,0.85
91,número,0.84
92,congreso de la república,0.83
93,familia,0.82
94,partir,0.81
95,obra,0.8
96,reto,0.8
97,villarreal,0.8
98,mediodía,0.79
99,periodista,0.79
100,serie,0.79
101,junín,0.78
102,cajamarca,0.75
103,ciclovía,0.75
104,ciudadano,0.75
105,condición,0.75
106,autoridad,0.74
107,inmunización,0.74
108,participación,0.74
109,piloto,0.74
110,vacuna,0.74
111,cadena,0.73
112,cronograma,0.73
113,consumo,0.72
114,información,0.72
115,mira,0.72
116,balón,0.71
117,balón de oro,0.71
118,bancada de perú libre,0.71
119,beneficio,0.71
120,canciller,0.71
121,gas,0.71
122,noviembre,0.71
123,oas permanent council to analyze covid-19 evolution,0.71
124,peru's president will join,0.71
125,altura,0.7
126,atención,0.7
127,hospital,0.7
128,ola,0.7
129,ciudad,0.69
130,gobierno,0.69
131,integrante,0.69
132,necesidad,0.69
133,producto,0.69
134,titular,0.69
135,burnout,0.68
136,categoría,0.68
137,cooperación,0.68
138,delia molinari,0.68
139,manejo,0.68
140,provincia,0.68
141,psicoterapeuta,0.68
142,trabajo,0.68
143,video,0.68
144,alimento,0.67
145,escena,0.67
146,forma,0.67
147,gustavo dulanto,0.67
148,impacto,0.67
149,inicio,0.67
150,luis pastor franco,0.67
151,negocio,0.67
152,poblador,0.67
153,prueba,0.67
154,sensación,0.67
155,unidad de banca individual de financiera confianza,0.67
156,cardióloga,0.66
157,dra luisa talledo,0.66
158,día,0.66
159,edición,0.66
160,incor,0.66
161,killa cuba,0.66
162,la orquestita,0.66
163,lenguaje,0.66
164,melodía,0.66
165,modo,0.66
166,teoría,0.66
167,videojuego,0.66
168,distrito,0.65
169,dni,0.65
170,organización,0.65
171,origen,0.65
172,reactivación,0.65
173,eliminatoria,0.64
174,especialista,0.64
175,imagen,0.64
176,mundial de catar,0.64
177,salud,0.64
178,vraem,0.64
179,vía,0.64
180,delta,0.63
181,documento,0.63
182,nivel,0.63
183,récord,0.63
184,transferencia,0.63
185,carrera,0.62
186,causa,0.62
187,crisis,0.62
188,defensa,0.62
189,entrega,0.62
190,honor,0.62
191,partido,0.62
192,resolución,0.62
193,servicio,0.62
194,áncash,0.62
195,historia,0.61
196,operativo,0.61
197,premio nacional a la calidad 2021 conversamos,0.61
198,producción,0.61
199,roxana del águila superintendente nacional de migraciones del perú,0.61
200,valor,0.61
201,cambio,0.6
202,resultado,0.6
203,us$,0.6
204,banco,0.59
205,colegio,0.59
206,bayern múnich,0.58
207,dinamo de kiev,0.58
208,expelled,0.58
209,foreigners,0.58
210,from peru in almost two years,0.58
211,proyecto,0.58
212,rodillo,0.58
213,seguro,0.58
214,talento,0.58
215,violencia,0.58
216,calle,0.57
217,aplicación,0.54
218,espectador,0.53
219,juegos olímpicos de invierno de pekín 2022,0.53
220,público,0.53
221,aerolínea,0.52
222,agua,0.52
223,balneario,0.52
224,cloración,0.52
225,concurso nacional de buenas prácticas docentes conversamos,0.52
226,enero,0.52
227,ingrid romero manco,0.52
228,junta administradora de servicios de saneamiento de porvenir supe,0.52
229,lenin lobatón,0.52
230,paracas,0.52
231,promoción del bienestar y reconocimiento docente,0.52
232,puerta,0.52
233,rabia,0.52
234,septiembre,0.52
235,trabajador,0.52
236,united airlines,0.52
237,actividad,0.51
238,conectividad,0.51
239,dinero,0.51
240,día mundial de los mares,0.51
241,fecha,0.51
242,fitoplancton,0.51
243,globo,0.51
244,instalan,0.51
245,mall aventura de santa anita,0.51
246,municipalidad provincial de chupaca,0.51
247,transformación,0.51
248,arequipa,0.5
249,clase,0.5
250,comuna,0.5
251,consejo directivo del parlamento,0.5
252,consortium,0.5
253,council of ministers session,0.5
254,escolar,0.5
255,foto afp,0.5
256,hectárea,0.5
257,incendio,0.5
258,leads,0.5
259,meeting with camisea,0.5
260,october,0.5
261,pastizal,0.5
262,peru,0.5
263,peru's pm,0.5
264,president,0.5
265,ugel chiclayo,0.5
266,algodón,0.48
267,consejo,0.48
268,industria,0.48
269,informe,0.48
270,oms,0.48
271,organización mundial de la salud,0.48
272,presidencia del consejo de ministros,0.48
273,trazabilidad,0.48
274,contraloría,0.47
275,lima metropolitana,0.47
276,lunes,0.47
277,ministerio de salud,0.47
278,noticia,0.47
279,veedor,0.47
280,accusations,0.45
281,filed,0.45
282,final,0.45
283,group,0.45
284,luis miguel,0.45
285,mega,0.45
286,peru's prosecutor lava jato special prosecution,0.45
287,temporada,0.45
288,tráiler,0.45
289,afiliado,0.44
290,ayuda,0.44
291,dinamarca,0.44
292,noruega,0.44
293,promoción,0.44
294,suecia,0.44
295,anticovid,0.43
296,comunicado,0.43
297,consumidor,0.43
298,farmacia,0.43
299,ministro del interior,0.43
300,unidad,0.43
301,youtube,0.43
302,alpes,0.42
303,bicentenario institucional la marina de guerra del perú,0.42
304,centímetro,0.42
305,día mundial del corazón sabes,0.42
306,ejercicio multinacional unitas,0.42
307,foto marina de guerra del perú,0.42
308,lxii mira,0.42
309,marco,0.42
310,mont blanc,0.42
311,administered,0.41
312,ancashina del santa,0.41
313,atención mercado móvil,0.41
314,bolsa de valores de lima,0.41
315,cabo,0.41
316,cambio de estación,0.41
317,chimbote,0.41
318,citadel,0.41
319,colon,0.41
320,comicio,0.41
321,communities,0.41
322,congreso,0.41
323,corresponsal,0.41
324,dato,0.41
325,descenso,0.41
326,dictamen,0.41
327,doses,0.41
328,edson arantes do nascimento 'pelé,0.41
329,emporio comercial de gamarra,0.41
330,exfutbolista,0.41
331,extracción,0.41
332,health,0.41
333,indicador,0.41
334,indigenous,0.41
335,infección,0.41
336,influenza,0.41
337,interior,0.41
338,jueves,0.41
339,metros,0.41
