,Word,Ponderado
0,eeg,0.89
1,fueeerteeee,0.71
2,hija,0.71
3,queeé,0.71
4,atención,0.58
5,bravo,0.58
6,pedro,0.58
7,competencia,0.52
8,guerreros puerto rico,0.52
9,kori  korina rivadeneira,0.52
10,patricio parodi,0.52
11,revancha,0.52
12,susto,0.52
13,caso,0.5
14,comentario,0.5
15,elías montalvo,0.5
16,estrella torres,0.5
17,gran momento,0.5
18,jamila dahabreh,0.5
19,madre,0.5
20,palabra,0.5
21,reconciliación,0.5
22,sofía franco,0.5
23,tommy portugal,0.5
24,álvaro paz de la barra,0.5
25,britney spears tribunal,0.45
26,cantante,0.45
27,hizo,0.45
28,padre,0.45
29,quéeee se,0.45
30,revuelo,0.45
31,ricky martin,0.45
32,rostro,0.45
33,tutela,0.45
34,ángeles,0.45
35,ivana yturbe,0.42
36,juan víctor sánchez,0.42
37,lloramos de emoción beto da silva,0.42
38,mensaje,0.42
39,nacimiento,0.42
40,otra,0.42
41,pelea,0.42
42,sebastián lizarzaburu,0.42
43,semana,0.42
44,video,0.42
