,Word,Ponderado
0,vivo,2.36
1,covid-19,1.23
2,real madrid,0.99
3,venezolano,0.97
4,taxista,0.94
5,cercado,0.93
6,acuerdo,0.87
7,robo,0.86
8,país,0.84
9,médico,0.83
10,tocamiento,0.83
11,anticovid,0.71
12,comunicaciones,0.71
13,gato,0.71
14,píldora,0.71
15,trujillo intervienen la gerencia regional de transportes,0.71
16,ventanilla pareja,0.71
17,expresidente,0.7
18,proceso,0.7
19,pnp,0.62
20,callao hace,0.61
21,día,0.61
22,laliga,0.6
23,mbappé,0.6
24,conductor,0.58
25,ecuador,0.58
26,lava,0.58
27,mar,0.58
28,motín,0.58
29,muerto,0.58
30,san juan de lurigancho,0.58
31,sujeto,0.58
32,volcán cumbre vieja,0.58
33,lima vecinos,0.53
34,seguridad,0.53
35,consejo de ministros,0.51
36,fábrica,0.51
37,guido bellido,0.51
38,imagen,0.51
39,lima falsos,0.51
40,reciclador,0.51
41,red,0.51
42,sheriff,0.51
43,tarde,0.51
44,aguja,0.5
45,cabecilla,0.5
46,canciller,0.5
47,centro vladimir cerrón,0.5
48,dimisión,0.5
49,dinámicos,0.5
50,ee uu científicos,0.5
51,fraccionamiento,0.5
52,frente,0.5
53,independencia asaltan,0.5
54,ministerio público,0.5
55,niño,0.5
56,paracas clausuran,0.5
57,parche,0.5
58,perú libre,0.5
59,planta,0.5
60,pluspetrol,0.5
61,trabajador,0.5
62,vacunación,0.5
63,óscar maúrtua,0.5
64,alejandro toledo,0.48
65,justicia de ee uu,0.48
66,año,0.47
67,dinero,0.47
68,ejecutivo,0.47
69,hospital edgardo rebagliati,0.47
70,jesús maría mujer,0.47
71,mujer,0.47
72,parte,0.47
73,residente,0.47
74,traslado,0.47
75,bellido,0.46
76,camisea,0.46
77,comisión,0.46
78,congreso,0.46
79,eduardo castillo fuerza popular,0.46
80,facultad,0.46
81,hecho,0.46
82,renegociación,0.46
83,cabo,0.45
84,cita,0.45
85,cobro,0.45
86,conductora,0.45
87,consejo,0.45
88,cupo,0.45
89,disputa,0.45
90,ficha,0.45
91,huachipa,0.45
92,laura bozzo interpol,0.45
93,localización,0.45
94,lunes,0.45
95,mediodía,0.45
96,ministro,0.45
97,octubre,0.45
98,partir,0.45
99,pcm sesión,0.45
100,reniec,0.45
101,televisión,0.45
102,transportista,0.45
103,asalto,0.44
104,enlace,0.44
105,vecinos del rímac,0.44
106,inicio,0.42
107,lima,0.42
108,muerte,0.42
109,pandemia,0.42
110,vez,0.42
111,balón de oro,0.41
112,conocer,0.41
113,fecha,0.41
114,france football,0.41
115,premiación,0.41
116,sede,0.41
117,alejandro toledo conéctate,0.31
118,entrevista,0.31
119,extradición,0.31
120,hoy,0.31
121,instagram,0.31
122,owan lay,0.31
123,pm,0.31
124,pregunta,0.31
125,stephanie medina gino tassara,0.31
