,Word,Ponderado
0,límite,1.06
1,migrantes,1.06
2,rescate,1.06
3,eeuu,1.02
4,covid,0.93
5,ecuador,0.8
6,migrant,0.71
7,oms,0.71
8,sicilia,0.71
9,semana,0.69
10,norafricanos,0.55
11,encuesta,0.54
12,vacunado,0.54
13,eslovenia,0.52
14,pase,0.52
15,protesta,0.52
16,acceso,0.5
17,biden,0.5
18,bielorrusia,0.5
19,dilema,0.5
20,internet,0.5
21,la palma,0.5
22,lava,0.5
23,liberales,0.5
24,océano atlántico,0.5
25,sitio,0.5
26,tema,0.5
27,volcán,0.5
28,amotinamiento,0.46
29,crimen,0.46
30,guayaquil,0.46
31,masacre,0.46
32,momento,0.46
33,prisión,0.46
34,saldo,0.46
35,sistema,0.46
36,abuso,0.42
37,empleado,0.42
38,explotación,0.42
39,francia,0.42
40,promesa,0.42
41,costa,0.4
42,este,0.4
43,fin,0.4
44,huracán,0.4
45,sam,0.4
46,caso,0.39
47,coronavirus,0.39
48,descenso,0.39
49,muerte,0.39
50,número,0.39
51,causa,0.36
52,derecha,0.36
53,empresa,0.36
54,enseñanza,0.36
55,koch,0.36
56,racismo,0.36
57,republicano,0.36
58,amenaza,0.35
59,ap,0.35
60,capitolio,0.35
61,edificio,0.35
62,enero,0.35
63,entrevista,0.35
64,jefe,0.35
65,policía,0.35
66,año,0.33
67,bloqueo,0.33
68,conciencia,0.33
69,derechos,0.33
70,escuela,0.33
71,etiopía,0.33
72,hambruna,0.33
73,ingeniería,0.33
74,jefa,0.33
75,mancha,0.33
76,ministra,0.33
77,mujer,0.33
78,najla bouden ramadhane,0.33
79,onu,0.33
80,profesora,0.33
81,tigray,0.33
82,túnez,0.33
83,vez,0.33
