,Word,Ponderado
0,programa,2.04
1,uefa champions league,1.99
2,autoridad,1.63
3,tema,1.56
4,red,1.55
5,medio,1.42
6,situación,1.34
7,victoria,1.34
8,marco,1.29
9,entrega,1.18
10,acuerdo,1.16
11,emergencia,1.01
12,parlamentario,0.98
13,responsable,0.96
14,caso,0.93
15,real madrid,0.93
16,sujeto,0.91
17,informe,0.84
18,report,0.84
19,estudio,0.8
20,justicia,0.79
21,fémina,0.77
22,momento,0.77
23,mauricio medinaceli,0.7
24,marcador,0.63
25,partido,0.63
26,comisión de ética del congreso,0.62
27,afectado,0.61
28,comunicación,0.61
29,congresista,0.61
30,conversación,0.61
31,gente,0.61
32,información,0.61
33,pandemia,0.61
34,propósito,0.61
35,dólares,0.6
36,máquina,0.6
37,persona,0.6
38,policía,0.6
39,sheriff sobre real madrid,0.59
40,solicitud,0.58
41,covid-19,0.56
42,estrago,0.56
43,duelo,0.53
44,manchester city,0.53
45,psg,0.53
46,coronavirus,0.52
47,coyuntura,0.52
48,misa,0.52
49,usuario,0.51
50,vehículo,0.51
51,audiencia,0.5
52,decisión,0.5
53,delito,0.5
54,difamación,0.5
55,infante,0.5
56,colegio de enfermeros edda cayotopa,0.49
57,respecto,0.49
58,vicedecana,0.49
59,agresividad,0.47
60,artículo,0.47
61,canino,0.47
62,constitución política,0.47
63,ministro,0.47
64,',0.46
65,embarazo,0.46
66,equipo,0.46
67,hecho,0.46
68,interrupción,0.46
69,iquitos,0.46
70,país,0.46
71,sheriff tiraspol,0.46
72,testigo,0.46
73,declaración,0.45
74,premier,0.45
75,puno,0.45
76,región,0.45
77,simpatizante,0.45
78,inmunización,0.44
79,jornada,0.44
80,tarde,0.44
81,antecedente,0.42
82,año,0.42
83,corrupción,0.42
84,expresidente,0.42
85,extradición,0.42
86,familiar,0.42
87,niña,0.42
88,república,0.42
89,violación,0.42
90,consejo,0.41
91,doctor,0.41
92,josé luis pérez albela,0.41
93,recomendación,0.41
94,conferencia,0.35
95,consejo de ministros,0.35
96,día,0.35
97,pantalla,0.35
98,pregunta,0.35
99,prensa,0.35
100,respuesta,0.35
101,sesión,0.35
