,Word,Ponderado
0,país,4.56
1,año,4.11
2,persona,2.76
3,fuerza,2.28
4,linfoma,2.23
5,sudamérica,2.05
6,niña,1.99
7,vida,1.85
8,familia,1.83
9,ejercicio,1.77
10,gobierno,1.72
11,idea,1.72
12,mujer,1.72
13,contagio,1.68
14,infraestructura,1.57
15,crisis,1.52
16,mundo,1.5
17,república federal de centroamérica,1.46
18,territorio,1.45
19,futuro,1.43
20,china,1.42
21,caída,1.4
22,propulsión,1.39
23,submarino,1.39
24,centroamérica,1.37
25,momento,1.37
26,nación,1.37
27,cambio,1.34
28,sangre,1.3
29,mes,1.25
30,escuela,1.24
31,precio,1.23
32,región,1.23
33,acuerdo,1.16
34,autor,1.15
35,enfermedad,1.11
36,coronavirus,1.06
37,diferencia,1.06
38,domingo,1.06
39,robert durst,1.06
40,abuso,1.05
41,agosto,1.04
42,"gabrielle ""gabby"" petito",1.04
43,alianza,1.03
44,contrario,1.03
45,flota,1.03
46,miedo,1.03
47,philipp blom,1.03
48,bbc extra,1.0
49,elizabeth holmes,1.0
50,error,1.0
51,silicon valley,1.0
52,siglo,0.99
53,naturaleza,0.98
54,realidad,0.96
55,cargo,0.95
56,adulto,0.94
57,esmirna,0.94
58,hombre,0.94
59,calendario,0.93
60,hazaña,0.93
61,heroína,0.93
62,héroe,0.93
63,la de la monja catalina de erauso,0.93
64,abogado,0.92
65,asesinato,0.92
66,hijo,0.92
67,millón,0.92
68,seguro,0.92
69,delfín,0.91
70,argentina,0.89
71,biles,0.88
72,caso,0.88
73,australia,0.87
74,cáncer,0.87
75,diciembre,0.87
76,emperador,0.87
77,grupo,0.87
78,majestad,0.87
79,puyi,0.87
80,impacto,0.86
81,islas feroe,0.86
82,menudo,0.84
83,dean buonomano,0.83
84,máquina,0.83
85,tiempo,0.83
86,tu cerebro,0.83
87,factor,0.81
88,flet,0.81
89,incremento,0.81
90,multiplicidad,0.81
91,dinastía,0.8
92,medida,0.8
93,manada,0.79
94,equipo,0.78
95,manos,0.78
96,médico,0.78
97,simone biles,0.78
98,contenedor,0.76
99,decisión,0.76
100,presidente,0.76
101,vicepresidenta,0.76
102,lugar,0.73
103,panamá,0.73
104,aumento,0.71
105,forma,0.71
106,gimnasta,0.71
107,pandemia,0.7
108,turco,0.7
109,cifra,0.68
110,desaparición,0.68
111,junio,0.68
112,nivel,0.67
113,aukus,0.66
114,mayoría,0.66
115,qanon me arrebató,0.66
116,sueño,0.66
117,manifestación,0.63
118,origen,0.62
119,amistad,0.61
120,ministro,0.61
121,teoría,0.61
122,total,0.61
123,la nueva españa,0.6
124,quema,0.6
125,época,0.6
126,atleta,0.59
127,fiscal,0.59
128,psicópata,0.59
129,serie,0.59
130,smith,0.59
131,testimonio,0.59
132,aliado,0.58
133,comportamiento,0.58
134,francia,0.58
135,independencia,0.57
136,miércoles,0.57
137,amiga,0.56
138,millonario,0.56
139,habitante,0.55
140,la tierra,0.55
141,enfado,0.54
142,importación,0.54
143,producto,0.54
144,ruptura,0.54
