,Word,Ponderado
0,informándote,1.92
1,spacex,1.29
2,celac,1.27
3,méxico,1.23
4,país,1.14
5,paraguay,1.09
6,presidente,1.09
7,prisión,1.09
8,abimael guzmán,1.06
9,barcos,1.06
10,comentario,1.06
11,corzo,1.06
12,pedro castillo,1.06
13,resto,1.06
14,respuesta,1.01
15,distanciamiento,1.0
16,tierra,1.0
17,tripulación,1.0
18,pelé,0.99
19,perú,0.92
20,cumbre de la celac,0.86
21,nicolás maduro,0.86
22,chofer,0.85
23,mes,0.85
24,agresión,0.83
25,pnp,0.83
26,cumbre,0.79
27,apoyo,0.7
28,creación,0.7
29,desastre,0.7
30,emergencia,0.7
31,fondo,0.7
32,año,0.63
33,vacunación,0.63
34,crematorio piedrangel,0.62
35,conversación,0.61
36,presidente castillo,0.61
37,representante,0.61
38,vi cumbre de la comunidad de estados latinoamericanos y caribeños,0.61
39,recaída,0.6
40,salud,0.6
41,andré carrillo,0.58
42,designación,0.58
43,fiscalía suprema,0.58
44,lesión,0.58
45,selección,0.58
46,tomás gálvez dan,0.58
47,morgue,0.57
48,miraflores dictan,0.55
49,carvallo,0.54
50,alocución,0.52
51,bolivia,0.51
52,bosnia &amp herzegovina,0.51
53,copa davis 2021,0.51
54,fisioterapia,0.51
55,gabinete binacional,0.51
56,grupo mundial i,0.51
57,hospital,0.51
58,president,0.51
59,retorno,0.51
60,sesión,0.51
61,alcalde muñoz,0.5
62,costa verde,0.5
63,deslizamiento,0.5
64,destitución,0.5
65,edgar alarcón,0.5
66,excontralor,0.5
67,gobierno,0.5
68,servir,0.5
69,trabajo,0.5
70,agresor,0.47
71,avelino guillén,0.47
72,avelino guillén aún,0.47
73,exfiscal,0.47
74,identidad,0.47
75,san borja,0.47
76,campaña,0.46
77,cuba,0.46
78,debate,0.46
79,democracia,0.46
80,desprestigio,0.46
81,día,0.46
82,espacio,0.46
83,estados unidos,0.46
84,la tierra,0.46
85,pasajero,0.46
86,contrato,0.45
87,millón,0.45
88,minsa,0.45
89,sinopharm,0.45
90,vacuna,0.45
91,ascoli,0.41
92,benevento,0.41
93,gianluca lapadula,0.41
94,minuto,0.41
95,serie b,0.41
96,victoria,0.41
97,bus,0.4
98,corte superior de justicia,0.4
99,joven,0.4
100,scooter,0.4
101,atenas,0.38
102,diego forlán,0.38
103,división,0.38
104,segunda,0.38
105,uruguay,0.38
106,vía,0.38
107,zoom,0.38
108,alex vera tudela,0.37
109,audiencia,0.37
110,maduro,0.37
111,mandatario,0.37
112,mario abdo benítez,0.37
113,muerte,0.37
114,oechsle,0.37
115,tienda,0.37
116,venezuela,0.37
117,vivo,0.37
