,Word,Ponderado
0,opinas,0.75
1,caso,0.7
2,alberto fujimori,0.6
3,exministro,0.57
4,persona,0.57
5,situación,0.52
6,edad,0.51
7,cumplido,0.41
8,ddhh,0.41
9,estado aún no ha,0.41
10,las víctimas del terrorismo,0.41
11,percy castillo,0.41
12,reparación,0.41
13,afirmación,0.36
14,aquí los detalles,0.36
15,bono,0.36
16,campamento,0.36
17,chequeo,0.36
18,congresista,0.36
19,cronograma actualizado del,0.36
20,delito,0.36
21,derecho,0.36
22,jorge suárez,0.36
23,minería,0.36
24,programa,0.36
25,prueba,0.36
26,qué,0.36
27,responsable,0.36
28,rosangella barbarán,0.36
29,secretario,0.36
30,setiembre,0.36
31,subsidio,0.36
32,tercerización,0.36
33,yanapay,0.36
34,acción popular,0.33
35,busca interrumpir proceso de reforma universitaria,0.33
36,conoce el testimonio de dos víctimas,0.33
37,educación ricardo cuenca,0.33
38,esterilización,0.33
39,iniciativa,0.33
40,juez,0.33
41,ley,0.33
42,maría elena carbajal,0.33
43,oportunidad,0.33
44,proceso,0.33
45,proyecto,0.33
46,sandalina valencia,0.33
47,semana,0.33
48,universidad,0.33
49,alberto,0.32
50,armas,0.32
51,coalición por la educación,0.32
52,colegio,0.32
53,controla,0.32
54,cope,0.32
55,declaraciones se,0.32
56,declaración,0.32
57,estos 5 delitos,0.32
58,extradición,0.32
59,fujimori por venta de,0.32
60,informe,0.32
61,los protocolos para el retorno a clases presenciales,0.32
62,miriam ramírez,0.32
63,organización,0.32
64,padre,0.32
65,preocupación,0.32
66,procuraduría,0.32
67,quién,0.32
68,salubrista,0.32
69,a clases presenciales,0.31
70,educación,0.31
71,educativo,0.31
72,escuela,0.31
73,estudiante,0.31
74,pandemia,0.31
75,preparado para el retorno,0.31
76,recurso,0.31
77,sector,0.31
78,sistema,0.31
79,adolescentes,0.3
80,alerta,0.3
81,año,0.3
82,cifra,0.3
83,covid-19,0.3
84,el perú,0.3
85,enfermedad,0.3
86,explotación,0.3
87,lima regiones madre de dios puno,0.3
88,mujer,0.3
89,niños,0.3
90,país,0.3
91,signos,0.3
92,tacna,0.3
93,trata,0.3
94,uci,0.3
95,un 81% de las víctimas,0.3
96,ventilación,0.3
97,vez,0.3
98,abimael,0.29
99,cabecilla,0.29
100,cosentenciado,0.29
101,deuda,0.29
102,forma,0.29
103,guzmán,0.29
104,millones,0.29
105,millón,0.29
106,muerte,0.29
107,reparación civil,0.29
108,sendero luminoso,0.29
109,convoca radio,0.28
110,crimen,0.28
111,crímenes impunes,0.28
112,década,0.28
113,familiar,0.28
114,justicia,0.28
115,melissa alfaro jaime ayala,0.28
116,mártir,0.28
117,periodistas,0.28
118,peruanos,0.28
119,uchuraccay,0.28
120,verdad,0.28
