,Word,Ponderado
0,video,2.62
1,vivo,2.5
2,vs,2.25
3,real madrid,1.97
4,fecha,1.76
5,psg,1.55
6,minuto,1.44
7,espn,1.42
8,vía,1.39
9,fichaje,1.25
10,boca juniors,1.24
11,barcelona,1.19
12,ligue 1,1.18
13,city,1.15
14,partido,1.12
15,canal,1.07
16,horario,1.07
17,tv,1.07
18,mbappé,1.03
19,binacional video,0.95
20,sport boys,0.95
21,salida,0.9
22,bombazo,0.89
23,universitario,0.89
24,fase 2,0.88
25,verano,0.88
26,crystal palace,0.86
27,jugador,0.86
28,liverpool,0.86
29,mls,0.86
30,tucumán video,0.86
31,premier league,0.84
32,valencia,0.84
33,messi,0.82
34,mercado,0.81
35,bale,0.8
36,arsenal,0.77
37,liga profesional,0.77
38,river plate,0.77
39,juventus,0.76
40,boca,0.74
41,marcos lópez,0.74
42,tucumán,0.74
43,gol,0.7
44,directiva,0.64
45,atenas,0.58
46,cuadro,0.58
47,diego forlán,0.58
48,fc barcelona,0.58
49,lisandro martínez,0.58
50,videoconferencia,0.58
51,frank kessié ac milan,0.54
52,fútbol,0.53
53,la relación de radamel falcao,0.53
54,septiembre,0.53
55,cachito villamarín,0.52
56,campana,0.52
57,clase,0.52
58,purga,0.52
59,resultado,0.52
60,vista,0.52
61,vuelta,0.52
62,delantero,0.51
63,domingo,0.51
64,olympique lyon,0.51
65,regreso,0.51
66,representante de dos santos,0.51
67,universitario vs municipal,0.51
68,cara,0.5
69,copa perú 2021,0.5
70,decisión,0.5
71,entrenador,0.5
72,fotos,0.5
73,francés,0.5
74,gustavo dulanto,0.5
75,insólito el curioso sorteo,0.5
76,keita,0.5
77,krylia,0.5
78,lópez,0.5
79,marca perú golazo de,0.5
80,media vuelta,0.5
81,opinión,0.5
82,preferido,0.5
83,premier league de rusia,0.5
84,prensa,0.5
85,rostov video,0.5
86,salah,0.5
87,san josé earthquakes,0.5
88,sterling,0.5
89,euros,0.49
90,millón,0.49
91,precio,0.49
92,debut,0.48
93,directv real madrid,0.48
94,doncaster,0.48
95,día,0.48
96,esperanza,0.48
97,hija,0.48
98,hincha,0.48
99,invierno,0.48
100,justo,0.48
101,koeman,0.48
102,laliga,0.48
103,manera,0.48
104,mes,0.48
105,ovación,0.48
106,pelé,0.48
107,próximo,0.48
108,radamel falcao,0.48
109,rayo vallecano,0.48
110,refuerzo,0.48
111,rodrigo vilca,0.48
112,sonriente,0.48
113,trauco,0.48
114,triunfo,0.48
115,declan rice,0.47
116,derby de manchester,0.47
117,historial,0.47
118,municipal,0.47
119,parejo,0.47
120,united,0.47
121,aficionado,0.46
122,alianza lima,0.46
123,benevento,0.46
124,borussia dortmund,0.46
125,campo,0.46
126,carlos bustos,0.46
127,championship video,0.46
128,dan,0.46
129,goleada,0.46
130,haaland,0.46
131,juego,0.46
132,lapadula,0.46
133,ligue 1 video,0.46
134,luton,0.46
135,número,0.46
136,opción,0.46
137,patada,0.46
138,registro,0.46
139,rodillo,0.46
140,serie b,0.46
141,solo,0.46
142,sporting cristal,0.46
143,utc,0.46
144,victoria,0.46
145,acreedor,0.45
146,atalanta vs salernitana,0.45
147,atlético,0.45
148,carvallo,0.45
149,cifra,0.45
150,clave,0.45
151,club,0.45
152,concurso,0.45
153,contraataque letal,0.45
154,corzo,0.45
155,dc united,0.45
156,derby county,0.45
157,duván zapata,0.45
158,edison flores,0.45
159,golazo,0.45
160,hombre,0.45
161,laliga santander,0.45
162,montes,0.45
163,muni,0.45
164,previa,0.45
165,respaldo,0.45
166,sadio mané,0.45
167,serie a video,0.45
168,wayne rooney,0.45
169,champions,0.44
170,favorito,0.44
171,jornada 12 de la,0.44
172,lucha,0.44
173,matthaus,0.44
174,autogol,0.43
175,de ligt,0.43
176,dinamita,0.43
177,héroe,0.43
178,lisandro lópez,0.43
179,manchester united,0.43
180,mino raiola,0.43
181,west ham,0.43
182,descanso,0.42
183,duelo,0.42
184,pep guardiola,0.42
185,southampton,0.42
186,tiempo,0.42
187,ac milan,0.41
188,boxeo,0.41
189,cancha,0.41
190,ecuador,0.41
191,escenario,0.41
192,francia,0.41
193,frente,0.41
194,guía,0.41
195,jeffry quintero,0.41
196,jonathan maicelo,0.41
197,jornada 4,0.41
198,lyon,0.41
199,medio,0.41
200,pelea,0.41
201,punta hermosa,0.41
202,selección,0.41
203,serie a,0.41
204,ancelotti,0.4
205,enfermería,0.4
206,hazard,0.4
207,lesión,0.4
208,liga 1,0.4
209,molestia,0.4
210,san martín,0.4
211,sport huancayo,0.4
212,transmisión,0.4
213,cláusula,0.39
214,confidencialidad,0.39
215,falta,0.39
216,leonardo,0.39
217,luis advíncula,0.39
218,planchazo,0.39
219,rostro,0.39
220,salario,0.39
221,xl,0.39
222,ataque,0.32
223,año,0.32
224,cabeza,0.32
225,camino,0.32
226,centro,0.32
227,defensor,0.32
228,derecha,0.32
229,va por buen,0.32
