,Word,Ponderado
0,fecha,10.94
1,fase 2,10.46
2,video,9.6
3,estadio,8.17
4,partido,6.95
5,monumental,5.45
6,minuto,5.41
7,equipo,5.3
8,gol,5.0
9,jornada,5.0
10,perú,4.38
11,encuentro,3.84
12,triunfo,3.58
13,cotejo,3.55
14,pm,3.38
15,final,3.37
16,iván elías moreno,3.36
17,punto,3.28
18,vivo,3.14
19,estadio monumental,3.05
20,duelo,2.99
21,vs,2.81
22,tanto,2.64
23,momento,2.62
24,delantero,2.59
25,mls,2.58
26,ecuador,2.56
27,fotos,2.48
28,septiembre,2.42
29,golazo,2.41
30,año,2.35
31,volante,2.25
32,semana,2.19
33,frente,2.16
34,real madrid,2.16
35,edison flores,2.14
36,covid-19,2.09
37,marcos lópez,2.01
38,chile,1.99
39,empate,1.94
40,tiempo,1.92
41,domingo,1.91
42,fichaje,1.91
43,jugador,1.9
44,joao villamarín,1.88
45,bombazo,1.87
46,ligue 1,1.84
47,selección,1.84
48,universitario,1.83
49,premier league,1.81
50,boca juniors,1.79
51,choque,1.79
52,defensor,1.78
53,resultado,1.78
54,cuadro,1.75
55,liga 1,1.75
56,horario,1.74
57,puesto,1.7
58,igualdad,1.69
59,mario palomino,1.69
60,martes,1.66
61,objetivo,1.66
62,cara,1.65
63,breve,1.64
64,psg,1.62
65,día,1.61
66,sábado,1.61
67,renzo garcés,1.58
68,canal,1.56
69,hd,1.54
70,titular,1.54
71,laliga,1.53
72,partido por la fecha 11 de la,1.53
73,gl de,1.52
74,espn,1.49
75,vía,1.49
76,luis advíncula,1.48
77,juego,1.42
78,victoria,1.42
79,vamo,1.4
80,vamos,1.4
81,peruano,1.39
82,am,1.38
83,fc barcelona,1.38
84,concentración,1.37
85,posibilidad,1.37
86,comentario,1.35
87,las voces,1.35
88,movistar,1.35
89,narración,1.35
90,voz,1.35
91,benevento,1.33
92,serie b,1.33
93,sport boys,1.33
94,partidazo,1.32
95,serie,1.32
96,partido ya,1.31
97,orlando núñez,1.3
98,“,1.29
99,torneo,1.27
100,barcelona,1.25
101,city,1.23
102,felipe rodríguez,1.23
103,falta,1.22
104,crystal palace,1.21
105,liverpool,1.21
106,southampton,1.21
107,regularidad,1.2
108,acción,1.19
109,hernán barcos,1.19
110,arranca la segunda parte,1.17
111,coloso de ate,1.17
112,copa davis,1.17
113,rostro,1.17
114,dc united,1.16
115,campana,1.14
116,campo,1.14
117,hombre,1.14
118,golperu,1.12
119,radamel falcao,1.11
120,rayo vallecano,1.11
121,rodrigo vilca,1.11
122,tv,1.11
123,bus,1.1
124,boca,1.08
125,forma,1.08
126,marcador,1.06
127,oncena,1.06
128,primer tiempo,1.06
129,lesión,1.05
130,transmisión,1.05
131,mantenimiento,1.04
132,mbappé,1.04
133,binacional video,1.01
134,parte,1.0
135,síguelo,1.0
136,clase,0.99
137,morecambe,0.98
138,yoshimar yotún,0.98
139,el salvador,0.97
140,iván elías moreno de villa,0.97
141,lópez,0.97
142,millón,0.97
143,bayern munich,0.95
144,tarjeta,0.95
145,cancha,0.94
146,salida,0.93
147,gianluca lapadula,0.92
148,cierre,0.91
149,hincha,0.91
150,seguir,0.91
151,carlos bustos,0.9
152,carlos neumann,0.9
153,entrenador,0.9
154,vacunafest,0.9
155,verano,0.9
156,pelota,0.89
157,penal,0.89
158,trabajo,0.89
159,vuelta,0.89
160,brazo,0.88
161,doncaster,0.88
162,rafael lutiger,0.88
163,tucumán video,0.88
164,valencia,0.88
165,actitud,0.87
166,aldo corzo,0.87
167,concurso,0.87
168,fútbol,0.87
169,renato espinosa,0.87
170,lima,0.86
171,advíncula,0.85
172,defensa,0.85
173,patada,0.85
174,binacional,0.84
175,manchester city,0.84
176,situación,0.84
177,bale,0.83
178,enfrentamiento,0.83
179,mercado,0.83
180,messi,0.83
181,paridad,0.83
182,remate,0.83
183,selección peruana  femenina,0.83
184,vacunación,0.83
185,fase,0.82
186,juan pablo varillas,0.81
187,mes,0.81
188,pep guardiola,0.81
189,sadio mané,0.81
190,gracias,0.8
191,hora,0.8
192,nosotros,0.8
193,oslimg mora,0.8
194,plantel,0.8
195,próximo,0.8
196,esfuerzo,0.79
197,lucas campana,0.79
198,selección peruana femenina,0.79
199,boys,0.78
200,foto,0.78
201,sport,0.78
202,tucumán,0.78
203,arsenal,0.77
204,bordeaux,0.77
205,cambio,0.77
206,juventus,0.77
207,liga profesional,0.77
208,miguel trauco,0.77
209,river plate,0.77
210,participación,0.76
211,red,0.76
212,medio,0.75
213,nerman fatic,0.75
214,atlanta united,0.74
215,goleada,0.74
