,Word,Ponderado
0,pedro castillo,1.75
1,caso,1.73
2,setiembre,1.52
3,video,1.52
4,abimael guzmán,1.48
5,vacunafest,1.37
6,directo,1.35
7,vivo online,1.35
8,dosis,1.33
9,resto,1.28
10,lima,1.25
11,covid-19,1.15
12,perú,1.13
13,agente,1.1
14,alex gensollen videos,1.1
15,país,1.06
16,editorial en la mira de la historia,1.0
17,presidente,0.97
18,callao,0.96
19,opinión,0.94
20,victoria,0.91
21,día,0.9
22,información,0.89
23,año,0.88
24,fotos,0.85
25,cuerpo,0.83
26,ley,0.83
27,cremación,0.82
28,psg,0.82
29,retorno,0.8
30,vacunación,0.78
31,chiquitas,0.77
32,cieneguilla,0.61
33,roger chuquín,0.61
34,vacunatón,0.61
35,zona,0.61
36,aldo corzo,0.58
37,comisión de ética,0.58
38,denuncia,0.58
39,educación,0.58
40,elena conterno,0.58
41,guido bellido,0.58
42,josé carvallo,0.58
43,opinión activando,0.58
44,respaldo,0.58
45,melissa flores,0.55
46,andrés lópez obrador,0.54
47,reunión,0.54
48,aglomeración,0.53
49,bcr,0.53
50,bosnia y herzegovina,0.53
51,clorinda flores,0.53
52,copa davis,0.53
53,feria metropolitana del libro lima lee,0.53
54,julio velarde,0.53
55,migraña,0.53
56,nathalie salazar,0.53
57,persona,0.53
58,teletrabajo,0.53
59,buenos,0.52
60,congreso,0.52
61,eugenio d'medina lora,0.52
62,habemus,0.52
63,lunes,0.52
64,mantenimiento,0.52
65,portada,0.52
66,semana de representación,0.52
67,trabajo,0.52
68,vacunatorio de plaza norte,0.52
69,confianza,0.51
70,democracia,0.51
71,maría del pilar tello,0.51
72,alex vera tudela,0.5
73,contencioso administrativo,0.5
74,designación,0.5
75,detalle,0.5
76,fiscalía suprema,0.5
77,imagen,0.5
78,jonathan dos santos,0.5
79,jornada,0.5
80,momento,0.5
81,muerte,0.5
82,tomás gálvez dan,0.5
83,universitario de deportes “le gustaría,0.5
84,vuelta,0.5
85,deudos,0.48
86,fuera,0.48
87,mar,0.48
88,milla,0.48
89,millón,0.48
90,peruano,0.48
91,terrorismo,0.48
92,vacuna,0.48
93,bolivia,0.47
94,cañete,0.47
95,distrito,0.47
96,doncaster,0.47
97,espacio,0.47
98,gabinete binacional,0.47
99,gestión,0.47
100,hincha,0.47
101,homólogo,0.47
102,karina valencia,0.47
103,marco,0.47
104,rodrigo vilca,0.47
105,sofía lópez,0.47
106,spacex,0.47
107,turista,0.47
108,vacunan,0.47
109,campaña,0.46
110,efecto,0.46
111,establecimiento,0.46
112,estela de chavín,0.46
113,fin,0.46
114,jne,0.46
115,mincul,0.46
116,neymar lionel messi,0.46
117,región,0.46
118,salario,0.46
119,salud,0.46
120,semana,0.46
121,sensibilización,0.46
122,sueldo,0.46
123,temporada,0.46
124,áncash,0.46
125,agenda,0.45
126,bala,0.45
127,banda,0.45
128,canguro,0.45
129,delincuente,0.45
130,delta,0.45
131,destitución,0.45
132,edgar alarcón,0.45
133,enfrentamiento,0.45
134,escrito,0.45
135,geopolítica,0.45
136,gira,0.45
137,miguel ángel rodriguez mackay,0.45
138,minsa,0.45
139,méxico,0.45
140,norma,0.45
141,opinión biden,0.45
142,pedro castillo esta,0.45
143,servir,0.45
144,smp,0.45
145,sábado,0.45
146,transgresión,0.45
147,variante,0.45
148,cabecilla,0.44
149,cevallos,0.44
150,deportivo municipal,0.44
151,directv sports partidos,0.44
152,espn partidos,0.44
153,gol perú partidos,0.44
154,inmunización,0.44
155,laliga santander,0.44
156,liga 1,0.44
157,ligue 1,0.44
158,morgue del callao,0.44
159,olympique lyon,0.44
160,panorama,0.44
161,real madrid,0.44
162,tasa,0.44
163,universitario de deportes,0.44
164,valencia,0.44
165,agua,0.43
166,brigada,0.43
167,clase,0.43
168,coordinación,0.43
169,dina boluarte,0.43
170,equipo,0.43
171,higiene,0.43
172,pago,0.43
173,saneamiento,0.43
174,terrorista,0.43
175,tranquilidad,0.43
176,derechos,0.42
177,género,0.42
178,humanos,0.42
179,igualdad,0.42
180,protección,0.42
181,bus,0.41
182,chofer,0.41
183,joven,0.41
184,mes,0.41
185,prisión,0.41
186,scooter,0.41
187,espn 2 partidos,0.4
188,juventus,0.4
189,milan,0.4
190,serie a,0.4
191,vs,0.4
192,bono,0.39
193,erik rivera,0.39
194,glademir anaya,0.39
195,instalación,0.39
196,legislador,0.39
197,américa latina,0.38
198,discriminación,0.38
199,mundo,0.38
200,relación,0.38
201,“,0.38
202,barranco,0.35
203,cambio,0.35
204,costa verde,0.35
205,geomalla,0.35
206,norte,0.35
207,sentido,0.35
208,sur,0.35
209,tramo,0.35
