,Word,Ponderado
0,video,14.0
1,fotos,2.0
2,covid-19,1.98
3,minsa,1.68
4,año,1.65
5,gustavo dulanto,1.43
6,barcelona,1.4
7,foto,1.38
8,vacunación,1.35
9,país,1.33
10,sol,1.16
11,ricardo gareca,1.07
12,periodista,1.04
13,hora,1.0
14,persona,0.97
15,callao,0.96
16,dosis,0.91
17,beca,0.88
18,champions league,0.87
19,argentina,0.86
20,estadio,0.85
21,fecha,0.84
22,minuto,0.8
23,congreso,0.79
24,organización,0.79
25,subsidio,0.78
26,dni,0.77
27,ronald koeman,0.76
28,sheriff,0.76
29,hombre,0.71
30,mundo,0.71
31,diego rebagliati,0.63
32,jefferson farfán “a,0.59
33,paco bazán,0.59
34,naranjal del metropolitano,0.55
35,terminal,0.55
36,balazo,0.54
37,día,0.54
38,emporio comercial de gamarra,0.54
39,losa,0.54
40,oportunidad,0.54
41,capitán,0.53
42,noviembre,0.53
43,resultado,0.53
44,centro,0.52
45,cómo saber si soy beneficiario,0.52
46,link bono,0.52
47,parte,0.52
48,pedro garcía,0.52
49,real madrid,0.52
50,rosell,0.52
51,tragedia,0.52
52,viceministro,0.52
53,yanapay,0.52
54,“,0.52
55,balón de oro,0.51
56,brevet,0.51
57,daniel alarcón,0.51
58,entrega,0.51
59,fundación macarthur,0.51
60,guardiola,0.51
61,los tramitadores intocables,0.51
62,lugar,0.51
63,peruano,0.51
64,psg,0.51
65,tridente,0.51
66,trujillo,0.51
67,android,0.5
68,efootball,0.5
69,gratis,0.5
70,mario vargas llosa,0.5
71,pedro castillo,0.5
72,primaria,0.5
73,profesor,0.5
74,ps5 ps4 pc xbox ios,0.5
75,extranjero,0.49
76,migraciones,0.49
77,pandemia,0.49
78,aplicación,0.47
79,conocer,0.47
80,semana,0.47
81,dinero,0.46
82,director,0.46
83,docente,0.46
84,doctorado,0.46
85,educación,0.46
86,ministerio de defensa,0.46
87,perú,0.46
88,requisito,0.46
89,suiza,0.46
90,transferencia,0.46
91,universidad de berna,0.46
92,venezolanos,0.46
93,acuerdo,0.45
94,afición,0.45
95,atlético de madrid,0.45
96,av grau,0.45
97,ayuda,0.45
98,barcos,0.45
99,carlos bilardo,0.45
100,conferencia,0.45
101,consejo de ministros,0.45
102,corzo,0.45
103,diego maradona,0.45
104,disculpa,0.45
105,exjugador,0.45
106,gente,0.45
107,griezmann,0.45
108,mafia,0.45
109,meretriz,0.45
110,muerte,0.45
111,noche,0.45
112,payaso,0.45
113,pcm,0.45
114,prensa,0.45
115,transeúnte,0.45
116,victoria las muñecas,0.45
117,yotún,0.45
118,beneficiario,0.43
119,bono yanapay,0.43
120,caso,0.43
121,cuenta,0.43
122,enero,0.43
123,rabia,0.43
124,setiembre,0.43
125,bono,0.42
126,camarógrafo,0.42
127,copa américa,0.42
128,cómo,0.42
129,dibu martínez,0.42
130,directv,0.42
131,equipo,0.42
132,final,0.42
133,modalidad,0.42
134,motivo,0.42
135,nombre,0.42
136,pago,0.42
137,programa,0.42
138,solo,0.42
139,sorpresa,0.42
140,sostén,0.42
141,actividad,0.41
142,agrado,0.41
143,anuncio,0.41
144,asistencia,0.41
145,auto,0.41
146,autoridad,0.41
147,bus,0.41
148,corazón,0.41
149,cr7,0.41
150,cristiano,0.41
151,dania calderón,0.41
152,georgina rodríguez,0.41
153,guillermo bermejo,0.41
154,hecho,0.41
155,herido,0.41
156,horarios,0.41
157,huancayo,0.41
158,insn,0.41
159,kilo,0.41
160,laliga santander,0.41
161,los chinos,0.41
162,madre,0.41
163,misa,0.41
164,mitin,0.41
165,mujer,0.41
166,partido,0.41
167,pese,0.41
168,peso,0.41
169,reasignación,0.41
170,rímac,0.41
171,san borja,0.41
172,sanidad,0.41
173,sexo,0.41
174,señor de los milagros,0.41
175,trans,0.41
176,visita,0.41
177,vía evitamiento,0.41
178,éxito,0.41
179,ancón,0.36
180,celular,0.36
181,copa libertadores,0.36
182,droga,0.36
183,flamengo,0.36
184,hoy,0.36
185,incautan,0.36
186,interno,0.36
187,marca,0.36
188,penal,0.36
189,star+,0.36
190,tráfico,0.36
191,vía,0.36
