,Word,Ponderado
0,presidente,2.25
1,pedro castillo,2.06
2,medida,1.63
3,país,1.44
4,república,1.17
5,setiembre,1.06
6,año,0.99
7,economía,0.96
8,atención,0.95
9,proceso,0.95
10,millón,0.94
11,vacunación,0.94
12,sol,0.91
13,persona,0.9
14,celac,0.87
15,proyecto,0.87
16,vi cumbre de la celac,0.82
17,cumplimiento,0.81
18,igualdad,0.79
19,sábado,0.78
20,perú,0.76
21,diagnóstico,0.75
22,coronavirus,0.74
23,brigada,0.72
24,gobierno,0.72
25,reglamento normativo,0.71
26,tribunal constitucional,0.71
27,vicepresidenta,0.71
28,covid-19,0.67
29,destino,0.67
30,manera,0.67
31,resto,0.67
32,salud,0.66
33,avance,0.65
34,ley,0.65
35,tema,0.63
36,entrega,0.62
37,ciudad,0.6
38,municipalidad de lima,0.6
39,vi cumbre de la comunidad de estados latinoamericanos y caribeños,0.6
40,nivel,0.57
41,trabajo,0.56
42,población,0.55
43,servicio,0.55
44,agenda,0.53
45,méxico,0.53
46,américa latina y el caribe,0.52
47,unidad,0.52
48,carga,0.51
49,colocación,0.51
50,consejo ejecutivo del poder judicial,0.51
51,octógono,0.51
52,parámetro,0.51
53,altiplano,0.5
54,caribeños,0.5
55,cumbre de la celac,0.5
56,patrimonio inmaterial de la nación,0.5
57,paul herrera guerra,0.5
58,pauta,0.5
59,procedimiento,0.5
60,puneña,0.5
61,sexta cumbre de la comunidad de estados latinoamericanos,0.5
62,tradición,0.5
63,tribunal de fiscalización laboral,0.5
64,brecha,0.49
65,sueldo,0.49
66,discriminación,0.45
67,relación,0.45
68,119%,0.43
69,autoridad,0.43
70,banco central de reserva,0.43
71,beneficio,0.43
72,buenos,0.43
73,centro,0.43
74,comité olímpico peruano,0.43
75,congresista,0.43
76,crecimiento,0.43
77,decreto de urgencia,0.43
78,deportista,0.43
79,desnutrición,0.43
80,diario oficial el peruano,0.43
81,dina boluarte,0.43
82,domingo,0.43
83,día,0.43
84,emergencia sanitaria,0.43
85,portada,0.43
86,proyección,0.43
87,recurso,0.43
88,renzo manyari,0.43
89,respuesta,0.43
90,vacunafest,0.43
91,apoyarán,0.42
92,apoyo,0.42
93,beneficiario,0.42
94,bono yanapay perú,0.42
95,consulta,0.42
96,contrato,0.42
97,desarrollo,0.42
98,dosis,0.42
99,estado,0.42
100,fortalecimiento,0.42
101,hernando cevallos,0.42
102,ministro,0.42
103,motor,0.42
104,potencial,0.42
105,vacuna,0.42
106,cifra,0.41
107,meta,0.41
108,ministerio de salud,0.41
109,abimael guzmán,0.39
110,bolivia,0.39
111,disposición,0.39
112,gabinete binacional,0.39
113,josé antonio vadillo vila,0.39
114,mandatario,0.39
115,manuel jesús orbegozo,0.39
116,ministerio público,0.39
117,muerte,0.39
118,oficio,0.39
119,president,0.39
120,promulgan ley,0.39
121,reportero,0.39
122,siglo,0.39
123,terrorista,0.39
124,alimento,0.38
125,ate el agustino,0.38
126,comuna,0.38
127,conversión,0.38
128,directiva,0.38
129,entidad,0.38
130,fiscalización,0.38
131,gnv,0.38
132,género,0.38
133,lenguaje,0.38
134,luis luján cárdenas,0.38
135,lurigancho chosica,0.38
136,normativa,0.38
137,programa,0.38
138,riqueza,0.38
139,sociólogo,0.38
140,tonelada,0.38
141,uso,0.38
142,afganistán,0.37
143,bancada,0.37
144,cambio,0.37
145,consejo de seguridad,0.37
146,funcionario,0.37
147,misión,0.37
148,onu,0.37
149,perú libre,0.37
150,reducción,0.37
151,remuneración,0.37
152,régimen,0.37
153,corrupción,0.36
154,embajador,0.36
155,india,0.36
156,inversión,0.36
157,lucha,0.36
158,mandarapu subbarayudu,0.36
159,oportunidad,0.36
160,pandemia,0.36
161,participación,0.36
162,potencia,0.36
163,terrorismo,0.36
164,tierra,0.36
165,vi cumbre,0.36
166,cabecilla,0.35
167,cremación,0.35
168,desarrollo e inclusión social dina boluarte,0.35
169,ministra,0.35
170,tranquilidad,0.35
171,el ministerio de salud,0.34
172,prueba,0.34
173,puntos covid,0.34
174,síntoma,0.34
175,virus,0.34
176,adquisición,0.33
177,autorizan transferencia financiera,0.33
178,clima,0.33
179,compra,0.33
