,Word,Ponderado
0,columna,2.9
1,lea,2.2
2,gobierno,2.16
3,ministro,1.6
4,prensa,1.56
5,país,1.53
6,youtube,1.3
7,control,1.26
8,nota,1.16
9,martín vizcarra,1.15
10,mercedes aráoz,1.15
11,traidor,1.15
12,iber maraví,1.14
13,muerte,1.1
14,íber maraví,1.1
15,verónika mendoza «sendero,1.0
16,verónika mendoza «sendero luminoso,1.0
17,aeropuerto,0.99
18,minería,0.96
19,renuncia,0.96
20,guido bellido,0.95
21,organización,0.94
22,vladimir cerrón,0.94
23,apra,0.93
24,covid-19,0.91
25,presidente,0.91
26,regla,0.91
27,rt,0.91
28,rusia,0.91
29,suspensión,0.91
30,camisea,0.9
31,contumaz,0.89
32,katy ugarte,0.89
33,reo,0.89
34,avión,0.86
35,pasajero,0.86
36,retorno,0.86
37,venezolano,0.86
38,«,0.85
39,alejandro toledo,0.83
40,maraví,0.83
41,acusación,0.82
42,cambio,0.74
43,octubre,0.74
44,video,0.74
45,captura,0.73
46,congresista,0.73
47,contagio,0.71
48,gisela valcárcel,0.71
49,muestra,0.71
50,último combate,0.71
51,aarón salomón,0.64
52,alejandro tudela chopitea,0.64
53,carlos ánderson,0.64
54,constitución lea,0.64
55,referéndum inconstitucional lea,0.64
56,agenda,0.63
57,cit,0.63
58,ministro carrasco,0.63
59,censura,0.61
60,susel paredes,0.61
61,bancada de perú libre,0.59
62,canciller maúrtua,0.59
63,conare-sute,0.59
64,estado,0.59
65,fundador,0.59
66,masificación,0.59
67,bombardeo,0.58
68,caso,0.58
69,cobardía,0.58
70,colombia,0.58
71,derrota,0.58
72,devotos,0.58
73,dólar,0.58
74,guevarista «fabián»,0.58
75,hombre,0.58
76,imagen,0.58
77,karem roca,0.58
78,lima,0.58
79,luis garcía miró elguera,0.58
80,mario vargas llosa «castillo,0.58
81,mario vargas llosa «el comunismo,0.58
82,mes,0.58
83,midagri «pollo,0.58
84,necesidad,0.58
85,precio,0.58
86,primaria,0.58
87,profesor,0.58
88,pueblo,0.58
89,racha,0.58
90,richard swing,0.58
91,salida,0.58
92,san juan de lurigancho,0.58
93,sergio peña,0.58
94,señor de los milagros,0.58
95,sicarios,0.58
96,somos perú-partido morado,0.58
97,uefa champions league,0.58
98,íber maraví acción popular,0.58
99,guillermo bermejo,0.54
100,mario vargas llosa,0.54
101,mensaje,0.54
102,pedro castillo,0.54
103,contenido,0.53
104,fiscal,0.53
105,mi abogado no me notificó,0.53
106,vacuna,0.53
107,basura,0.52
108,bermejo,0.52
109,reportero,0.52
110,atestado,0.51
111,carlos prado vigil,0.51
112,comisión política,0.51
113,corpus,0.51
114,estudiante,0.51
115,extradición,0.51
116,ganador,0.51
117,habea,0.51
118,mauricio mulder,0.51
119,nombre,0.51
120,partido,0.51
121,presidencia,0.51
122,proceso,0.51
123,reinscripción,0.51
124,bombero,0.5
125,britney spears,0.5
126,clausura,0.5
127,denuncia,0.5
128,dosis,0.5
129,estación,0.5
130,frente único de defensa de los intereses de chumbivilcas,0.5
131,función,0.5
132,gerente,0.5
133,isaac humala núñez,0.5
134,jaime chincha,0.5
135,jorge alania vera,0.5
136,millón,0.5
137,minsa,0.5
138,municipalidad de paracas,0.5
139,otorgarán,0.5
140,padre,0.5
141,patrimonio,0.5
142,perro,0.5
143,persona,0.5
144,plan,0.5
145,planta,0.5
146,pluspetrol,0.5
147,premio,0.5
148,problema,0.5
149,red almenara «no fui,0.5
150,santiago vinces rentería,0.5
151,surco,0.5
152,tráfico,0.5
153,tutor,0.5
154,vicaria,0.5
155,violencia,0.5
156,ética,0.5
157,órgano,0.5
158,rospigliosi,0.48
159,régimen,0.48
160,silva,0.48
161,carrasco,0.46
162,comitiva,0.46
163,lima metropolitana,0.46
164,pandemia,0.46
165,vez,0.46
166,año,0.45
167,box,0.45
168,carrera,0.45
169,centro,0.45
170,ciudadanía,0.45
171,control de drogas,0.45
172,conveniencia,0.45
173,corvetto,0.45
174,designación,0.45
175,día,0.45
176,ecuador,0.45
177,elección,0.45
178,estreno,0.45
179,falacia,0.45
180,herido,0.45
181,james bond,0.45
182,jefe,0.45
183,juan guaidó,0.45
184,kurt,0.45
185,líder,0.45
186,majestad,0.45
187,manny pacquiao,0.45
188,miedo,0.45
189,motín,0.45
190,muerto,0.45
191,narrativas,0.45
192,no time to die,0.45
193,organismo,0.45
194,reconciliación,0.45
195,retiro,0.45
196,servicio,0.45
197,sofía franco,0.45
198,venezuela,0.45
199,álvaro paz de la barra,0.45
200,perú libre,0.44
201,avanza,0.43
202,bachillerato,0.43
203,camino,0.43
204,desastre,0.43
205,información,0.43
206,madeleine osterling,0.43
207,sos,0.43
208,universidad,0.43
209,expresión,0.42
210,irtp,0.42
211,juan silva,0.42
212,presidenta,0.42
213,tv perú,0.42
214,beneficiado,0.41
215,boluarte,0.41
216,bono yanapay,0.41
217,cerrón,0.41
218,chirinos,0.41
219,contra,0.41
220,dina,0.41
221,grupo,0.41
222,lado,0.41
223,mujeres,0.41
224,parte,0.41
225,patria,0.41
226,patty,0.41
227,rico,0.41
228,sepa,0.41
229,superpoderosas,0.41
230,vargas llosa,0.41
231,chabelita,0.4
232,exmandatario,0.4
233,judicial,0.4
234,mentira,0.4
235,mtc,0.4
236,permanencia,0.4
237,poder,0.4
238,autoridad,0.39
239,bellido,0.39
240,castillo,0.39
241,público,0.39
242,renegociación,0.39
243,asistencia,0.36
244,firma,0.36
245,huancayo,0.36
246,orden,0.36
247,perú,0.36
248,pese,0.36
