,Word,Ponderado
0,video,2.23
1,medicina natural,1.0
2,pensión,1.0
3,sacarronchas,1.0
4,sol,0.86
5,enfermedad,0.71
6,señor de los milagros,0.71
7,susy díaz,0.71
8,visita,0.71
9,walter obregón,0.71
10,alexandra grande,0.58
11,cerrón,0.58
12,extra,0.58
13,formato,0.58
14,guillermo bermejo,0.58
15,instrumento,0.58
16,mensaje,0.58
17,noviembre,0.58
18,panamericana,0.58
19,porción,0.58
20,prensa,0.58
21,receta,0.58
22,teletón,0.58
23,tricampeona,0.58
24,vargas llosa sobre castillo,0.58
25,alma bella,0.51
26,estafa,0.51
27,periodontitis,0.51
28,persona,0.51
29,probabilidad,0.51
30,verónica privat,0.51
31,andrea san martín,0.5
32,buscado,0.5
33,hija,0.5
34,juan víctor,0.5
35,ministerio del interior,0.5
36,sebastián lizarzaburu,0.5
37,sujeto,0.5
38,trujillo,0.5
39,destinan,0.46
40,país,0.46
41,traslado,0.46
42,venezolano,0.46
43,error,0.45
44,espera,0.45
45,familia,0.45
46,guerreros méxico,0.45
47,modelo,0.45
48,pareja,0.45
49,participación,0.45
50,sofía franco,0.45
51,temporada,0.45
52,álvaro paz de la barra,0.45
53,ancho,0.41
54,delta,0.41
55,españa,0.41
56,la palma,0.41
57,mar,0.41
58,metro,0.41
59,alejandro toledo,0.29
60,canchis  lea,0.29
61,caso,0.29
62,causa,0.29
63,ciudad,0.29
64,congresista,0.29
65,corpus,0.29
66,corrupción,0.29
67,covid-19,0.29
68,defensa,0.29
69,difamación,0.29
70,efe,0.29
71,entrevista,0.29
72,expresidente,0.29
73,extradición,0.29
74,habea,0.29
75,inicio,0.29
76,justicia,0.29
77,katy ugarte mamani,0.29
78,lima metropolitana,0.29
79,lunes,0.29
80,martes,0.29
81,ministerio de salud,0.29
82,minsa,0.29
83,nota,0.29
84,pandemia,0.29
85,perú,0.29
86,perú libre jhakeline,0.29
87,poder judicial,0.29
88,provincia,0.29
89,reo,0.29
90,reporte,0.29
91,setiembre,0.29
92,sicuani,0.29
93,vez,0.29
94,bloqueo,0.28
95,censura,0.28
96,comunidad,0.28
97,de acuerdo al país,0.28
98,der fehlende part,0.28
99,empresa,0.28
100,norma,0.28
101,reproducción,0.28
102,rusia,0.28
103,russia,0.28
104,today,0.28
105,youtube,0.28
106,alofoke,0.27
107,cantante,0.27
108,emisora,0.27
109,fm,0.27
110,lanzamiento,0.27
111,miércoles,0.27
112,música,0.27
113,ozuna,0.27
114,productor,0.27
115,programa,0.27
116,radio,0.27
117,república dominicana,0.27
118,santiago matías,0.27
119,youtuber,0.27
