,Word,Ponderado
0,video,9.0
1,covid-19,2.54
2,fotos,2.0
3,perú,1.52
4,magaly,1.21
5,ojo,1.16
6,“,1.16
7,sábado,1.13
8,persona,1.09
9,año,1.06
10,sheyla rojas,1.03
11,plaza norte,1.01
12,zona,1.01
13,méxico,0.96
14,mensaje,0.89
15,luciana fuster,0.87
16,patricio parodi,0.87
17,joven,0.85
18,hijo,0.84
19,pasión de gavilanes,0.84
20,samuel suárez,0.84
21,vacunafest,0.84
22,lima,0.81
23,agresión,0.8
24,setiembre,0.79
25,vacunación,0.79
26,sofía franco,0.78
27,hombre,0.77
28,restricción,0.74
29,dinero,0.71
30,gente,0.71
31,padre,0.71
32,pareja,0.71
33,relación,0.71
34,xoana gonzales “me,0.71
35,alejandra baigorria,0.61
36,bebé,0.61
37,vacunatón,0.61
38,anillo,0.59
39,caída,0.59
40,cieneguilla,0.59
41,oro,0.59
42,resto,0.59
43,skate,0.59
44,abuelo,0.58
45,amor,0.58
46,andrés lópez obrador,0.58
47,chavo,0.58
48,cuto guadalupe,0.58
49,dalia durán,0.58
50,godínez,0.58
51,juan chiquito flores,0.58
52,nieta,0.58
53,nombre,0.58
54,oportunidad,0.58
55,pedro castillo,0.58
56,presidente,0.58
57,tula rodríguez,0.58
58,vicente fernández,0.58
59,cañete,0.55
60,distrito,0.55
61,huella,0.55
62,licor,0.55
63,clase,0.54
64,coronavirus,0.54
65,eeuu,0.54
66,gira,0.54
67,hermanos yaipén walter yaipén,0.54
68,horóscopo,0.54
69,la verdad yo,0.54
70,lima metropolitana,0.54
71,millón,0.54
72,nuestra tarotista te cuenta lo que te depara el destino,0.54
73,peruano,0.54
74,retorno,0.54
75,”,0.54
76,avance,0.52
77,la academia de eeg,0.52
78,capital,0.51
79,daniela darcourt,0.51
80,emoción,0.51
81,eva,0.51
82,gloria gómez,0.51
83,jerry rivera,0.51
84,malditos del rolex,0.51
85,papel,0.51
86,víctima,0.51
87,ayuda,0.5
88,bloqueo,0.5
89,bono,0.5
90,daniel arenas,0.5
91,daniella álvarez,0.5
92,diego chávarri,0.5
93,estados unidos,0.5
94,etapa,0.5
95,foto,0.5
96,fraude,0.5
97,jesús barco,0.5
98,kabul,0.5
99,mayoría,0.5
100,melissa klug,0.5
101,melissa paredes,0.5
102,milena zárate,0.5
103,niño,0.5
104,paso,0.5
105,red,0.5
106,reinas,0.5
107,romance,0.5
108,rusia oposición rusa,0.5
109,show,0.5
110,subsidio,0.5
111,mantenimiento,0.49
112,trabajo,0.49
113,aldo corzo,0.47
114,apoyo,0.47
115,josé carvallo,0.47
116,luciana,0.47
117,patricio,0.47
118,peter,0.47
119,adriano,0.46
120,aquí,0.46
121,buenos,0.46
122,callao,0.46
123,chile,0.46
124,clásico del pacífico,0.46
125,concurso,0.46
126,detalle,0.46
127,día,0.46
128,expareja,0.46
129,jornada,0.46
130,nasa,0.46
131,nicola porcella,0.46
132,portada,0.46
133,segundo,0.46
134,selección,0.46
135,vs,0.46
136,web,0.46
137,abimael guzmán,0.45
138,actor,0.45
139,avelino guillén,0.45
140,bala,0.45
141,banda,0.45
142,california,0.45
143,contrato,0.45
144,cuerpo,0.45
145,cumpleaños,0.45
146,dardo,0.45
147,delincuente,0.45
148,enfrentamiento,0.45
149,ernesto pimentel,0.45
150,escena,0.45
151,establecimiento,0.45
152,familia,0.45
153,fin,0.45
154,funcionamiento,0.45
155,gael,0.45
156,ganará,0.45
157,huancavelica,0.45
158,hugo garcía,0.45
159,incendio,0.45
160,incursión,0.45
161,ingalls,0.45
162,la academia igualita a,0.45
163,lanza,0.45
164,leao butrón,0.45
165,ley,0.45
166,mafer neyra,0.45
167,mbappé lionel messi,0.45
168,melissa gilbert,0.45
169,momento,0.45
170,mundo,0.45
171,oxígeno,0.45
172,peligro,0.45
173,planta,0.45
174,política,0.45
175,psg,0.45
176,repudio,0.45
177,reventonazo de la chola,0.45
178,salud,0.45
179,semana,0.45
180,smp,0.45
181,tatuaje,0.45
182,temporada,0.45
183,terrorismo,0.45
184,víctimas,0.45
185,árbol,0.45
186,élite,0.45
187,academia,0.43
188,alcohólica,0.43
189,beso,0.43
190,brigada,0.43
191,cevallos,0.43
192,coordinación,0.43
193,drogadicta,0.43
194,equipo,0.43
195,forcejeo,0.43
196,inmunización,0.43
197,pago,0.43
198,palo,0.43
199,país,0.43
200,tasa,0.43
201,abogado,0.42
202,aglomeración,0.42
203,autora,0.42
204,conductora,0.42
205,escándalo,0.42
206,flor salvador quién,0.42
207,revuelo,0.42
208,álvaro paz,0.42
209,chullo,0.41
210,congreso,0.41
211,conozca,0.41
212,cr7,0.41
213,georgina rodríguez,0.41
214,habilidad,0.41
215,hecho,0.41
216,hija,0.41
217,iber maraví,0.41
218,interpelación,0.41
219,isla,0.41
220,ministerio de trabajo,0.41
221,novia,0.41
222,puno,0.41
223,salida,0.41
224,tranquilizarlas,0.41
225,agua,0.39
226,botellita,0.39
227,camión,0.39
228,evian,0.39
229,richard swing,0.39
230,sjl “compra,0.39
231,bus,0.38
232,chofer,0.38
233,mes,0.38
234,miraflores,0.38
235,prisión,0.38
236,scooter,0.38
237,amatista,0.37
238,el horóscopo,0.37
239,gratis,0.37
240,hoy,0.37
241,tarot,0.37
242,barranco,0.35
243,cambio,0.35
244,costa verde,0.35
245,geomalla,0.35
246,norte,0.35
247,sentido,0.35
248,sur,0.35
249,tramo,0.35
