,Word,Ponderado
0,video,9.28
1,covid-19,3.2
2,fotos,3.0
3,foto,2.91
4,año,2.54
5,gustavo dulanto,2.41
6,peruano,2.31
7,vivo,1.91
8,persona,1.9
9,champions league,1.88
10,andrea san martín,1.86
11,hija,1.86
12,“,1.82
13,juan víctor,1.67
14,vacunación,1.47
15,nicola porcella,1.41
16,país,1.41
17,hijo,1.39
18,restaurante,1.37
19,sebastián,1.35
20,vía,1.3
21,joven,1.25
22,centro,1.24
23,hora,1.24
24,américa,1.21
25,fecha,1.21
26,familia,1.18
27,noviembre,1.17
28,red,1.17
29,muerte,1.16
30,final,1.12
31,foto archivo gec,1.1
32,melissa paredes,1.1
33,mujer,1.1
34,salud,1.08
35,lee,1.07
36,nota,1.07
37,historia,1.03
38,vs,1.03
39,argentina,1.02
40,emprendedor,1.02
41,grupo,1.02
42,minsa,1.02
43,catherine civiero,1.01
44,emprende trome,1.0
45,víctima,1.0
46,respuesta,0.99
47,emoción,0.97
48,hombre,0.97
49,pandemia,0.96
50,selección,0.95
51,capítulo,0.94
52,cristiano ronaldo,0.92
53,dosis,0.92
54,méxico,0.92
55,beca,0.91
56,equipo,0.91
57,alejandro toledo,0.88
58,mensaje,0.88
59,peluchín,0.88
60,vez,0.88
61,autoridad,0.87
62,laura bozzo,0.87
63,problema,0.87
64,crítica,0.86
65,estadio,0.86
66,perú,0.86
67,tocamiento,0.86
68,verdad,0.86
69,dulanto,0.85
70,star+,0.84
71,actor,0.83
72,dólares,0.82
73,manchester united,0.82
74,villarreal,0.82
75,barcelona,0.81
76,benfica,0.81
77,decisión,0.81
78,dni,0.81
79,miércoles,0.81
80,gol,0.8
81,partido,0.79
82,gas de camisea,0.78
83,estrella torres,0.77
84,comorbilidad,0.76
85,personal,0.76
86,sebastián lizarzaburu,0.75
87,mano,0.72
88,periodista,0.72
89,atractivo,0.71
90,bono familiar habitacional,0.71
91,buenos días esta,0.71
92,consejo,0.71
93,cuerpo,0.71
94,diana sánchez,0.71
95,día mundial del corazón consejos,0.71
96,día mundial del corazón tres,0.71
97,ejercicio,0.71
98,enfermedad,0.71
99,gabriela herrera “estar,0.71
100,lima,0.71
101,magnesio,0.71
102,portada,0.71
103,semipresencialidad,0.71
104,sofía franco,0.71
105,techo propio,0.71
106,victoria,0.7
107,reinas del show” bailarín,0.65
108,convocatoria,0.62
109,coronavirus,0.62
110,diego rebagliati,0.62
111,millón,0.62
112,modelo,0.62
113,',0.61
114,apuesta,0.61
115,chile bolivia,0.61
116,encuentro,0.61
117,enlace,0.61
118,gana,0.61
119,juega acierta,0.61
120,participa,0.61
121,polla,0.61
122,sorteo  ingresa,0.61
123,alimentación,0.6
124,ataque,0.6
125,día mundial del corazón,0.6
126,empleo,0.6
127,pregunta del día   los,0.6
128,quiebra,0.6
129,sobrino,0.6
130,trastorno,0.6
131,emprendimiento,0.59
132,evelyn vela,0.59
133,melissa klug,0.59
134,milett figueroa,0.59
135,razón,0.59
136,soltería,0.59
137,android cómo,0.58
138,aplicación,0.58
139,aspecto,0.58
140,cerco,0.58
141,chiclayo,0.58
142,cholo,0.58
143,copia,0.58
144,emojis,0.58
145,empatía,0.58
146,gato,0.58
147,información,0.58
148,iphone,0.58
149,llamada,0.58
150,luz,0.58
151,observador,0.58
152,onu,0.58
153,orejas,0.58
154,primaria,0.58
155,profesor,0.58
156,salud personas,0.58
157,seguridad,0.58
158,sheyla rojas,0.58
159,smartphone,0.58
160,smartphones expertos,0.58
161,taxi,0.58
162,traerán,0.58
163,usuario,0.58
164,vargas llosa pedro castillo,0.58
165,ventanilla,0.58
166,violación,0.58
167,época,0.58
168,özge,0.58
169,özpirinçci,0.58
170,ig,0.57
171,día,0.56
172,emporio comercial de gamarra,0.56
173,naranjal del metropolitano,0.55
174,terminal,0.55
175,actitud,0.54
176,cholo sano,0.54
177,extranjero,0.54
178,fan,0.54
179,migraciones,0.54
180,rosell,0.54
181,sagrado,0.54
182,viceministro,0.54
183,auto,0.53
184,callao,0.53
185,cantante,0.53
186,cassandra sánchez de lamadrid esta,0.53
187,departamento,0.53
188,georgina rodríguez,0.53
189,isabel pantoja,0.53
190,madre,0.53
191,mama,0.53
192,reflexión,0.53
193,abogado,0.52
194,balón de oro,0.52
195,chef,0.52
196,danna paola,0.52
197,delito,0.52
198,depresión,0.52
199,entrega,0.52
200,florida,0.52
201,gobierno,0.52
202,integridad,0.52
203,latin grammy,0.52
204,lima norte,0.52
205,luis la fuente,0.52
206,luis miguel,0.52
207,magnitud,0.52
208,melissa lobatón,0.52
209,mendoza,0.52
210,messi conoce,0.52
211,novio,0.52
212,rendimiento,0.52
213,rodrigo ruiz,0.52
214,serie,0.52
215,sismo,0.52
216,tráiler,0.52
217,venezolano,0.52
218,aldo corzo,0.51
219,buenos aires,0.51
220,característica,0.51
221,comedia,0.51
222,consejos,0.51
223,continuación,0.51
224,derrumbe,0.51
225,doctor milagro,0.51
226,eliminatoria,0.51
227,emitidio,0.51
228,episodio,0.51
229,ferro carril oeste,0.51
230,hernán barcos,0.51
231,hospital rebagliati,0.51
232,infiel,0.51
233,isabel acevedo,0.51
234,milena zárate,0.51
235,navidad,0.51
236,negocio,0.51
237,paciente,0.51
238,ranking,0.51
239,repuesta,0.51
240,requisito,0.51
241,residente,0.51
242,solar opposites,0.51
243,suiza,0.51
244,tableta,0.51
245,telefe,0.51
246,telenovela,0.51
247,temporada,0.51
248,tilín,0.51
249,universidad de berna,0.51
250,vania bludau,0.51
251,viejos zorros perú,0.51
252,xiaomi pad 5 precio,0.51
253,yoshimar yotún video,0.51
254,andrea,0.5
255,bernabéu,0.5
256,café con aroma de mujer,0.5
257,carmen villalobos,0.5
258,enseñanza,0.5
259,envidioso,0.5
260,escolar,0.5
261,fundación pachacútec,0.5
262,gisela valcárcel,0.5
263,herramienta,0.5
264,jo,0.5
265,personaje,0.5
266,pocho dulanto,0.5
267,uso,0.5
268,chelsea,0.49
269,el video de su hija,0.49
270,furia,0.49
271,juventus,0.49
272,minuto,0.49
273,rusia,0.49
274,récord,0.49
275,alimento,0.48
276,aumento,0.48
277,busca,0.48
278,china,0.48
279,criptomoneda,0.48
280,dt de sheriff,0.48
281,hermano,0.48
282,iphone 13,0.48
283,liverpool,0.48
284,mes,0.48
285,pensión,0.48
286,carlos bilardo,0.47
287,champions video,0.47
288,cusco,0.47
289,cuto guadalupe,0.47
290,daniel alarcón,0.47
291,diego maradona,0.47
292,escritor,0.47
293,fundación macarthur,0.47
294,gareca dale,0.47
295,golazo,0.47
296,kevin salas,0.47
297,machu picchu,0.47
298,mariella zanetti,0.47
299,motivo,0.47
300,novia,0.47
301,oportunidad,0.47
302,plan,0.47
303,quién,0.47
304,raúl araiza,0.47
305,relación,0.47
306,selección peruana,0.47
307,tommy portugal,0.47
308,acuerdo,0.46
309,carolina ramírez,0.46
310,cerveza,0.46
311,corriente,0.46
312,delincuente,0.46
313,disney+,0.46
314,fin,0.46
315,flow,0.46
316,helado,0.46
317,karin idol,0.46
318,la voz perú,0.46
319,lanzamiento,0.46
320,locación,0.46
321,ops,0.46
322,paso,0.46
323,protagonista,0.46
324,póster,0.46
325,reina,0.46
326,salamanca,0.46
327,semana,0.46
328,sinovac,0.46
329,the book of boba fett,0.46
330,tu,0.46
331,vacuna,0.46
332,acusación,0.45
333,aladdin,0.45
334,amigo,0.45
335,aquí,0.45
336,audiencia,0.45
337,bolívar,0.45
338,bono yanapay beneficiarios,0.45
339,carrera,0.45
340,cero,0.45
341,clic,0.45
342,colección,0.45
343,comas,0.45
344,comida,0.45
345,contender series,0.45
346,control,0.45
347,crisis,0.45
348,cuenta,0.45
349,dale,0.45
350,daniel zellhuber,0.45
351,disney,0.45
352,europa,0.45
353,exagent,0.45
354,extenista,0.45
355,ficha,0.45
356,filipinas,0.45
357,género,0.45
358,juego,0.45
359,keiko fujimori,0.45
360,kitty y,0.45
361,mamá,0.45
362,manny pacquiao,0.45
363,mark philippoussis,0.45
364,mundo,0.45
365,nicolás maduro,0.45
366,nombre,0.45
367,noticia,0.45
368,octubre,0.45
369,origen,0.45
370,papá,0.45
371,pepe aguilar,0.45
372,pepiachi,0.45
373,presidencia,0.45
374,primavera,0.45
375,reconversión,0.45
376,rey león,0.45
377,reyes,0.45
378,sheriff el equipo sensación de,0.45
379,siddhartha,0.45
380,subsidio,0.45
381,ufc,0.45
382,venezuela,0.45
383,yuya,0.45
384,ángela aguilar,0.45
385,belén estévez,0.44
386,canción,0.44
387,dj,0.44
388,resumen,0.44
389,waldir felipa,0.44
390,alcohol,0.43
391,boda,0.43
392,camisea,0.43
393,desconcentración,0.43
394,espn,0.43
395,gas,0.43
396,guido bellido,0.43
397,ingalls,0.43
398,kerem bürsin,0.43
399,love is in the air,0.43
400,melissa gilbert,0.43
401,no estoy contento,0.43
402,pachuca,0.43
403,reunión,0.43
404,santiago solari,0.43
405,vida,0.43
406,actividad,0.42
407,amor,0.42
408,anuncio,0.42
409,ayuda,0.42
410,brasil,0.42
411,call of duty,0.42
412,carta,0.42
413,cerrón,0.42
414,champions,0.42
415,copa américa,0.42
416,corpus,0.42
417,cristiano video,0.42
418,dania calderón,0.42
419,de humo,0.42
420,dibu martínez,0.42
421,dinero,0.42
422,dinámico,0.42
423,el hospital edgardo rebagliati,0.42
424,encuesta,0.42
425,españa,0.42
426,extradición,0.42
427,fiscalía,0.42
428,gobierno de junín,0.42
429,horarios,0.42
430,horóscopo,0.42
431,hábea,0.42
432,ingreso,0.42
433,ipsos,0.42
434,jesús maría,0.42
435,laliga santander,0.42
436,ley,0.42
437,liderazgo,0.42
438,mayoría,0.42
439,misa,0.42
440,médico,0.42
441,no da ni,0.42
442,parte,0.42
443,pedro castillo,0.42
444,predicciones,0.42
445,reasignación,0.42
446,recurso,0.42
447,setiembre,0.42
448,sexo,0.42
449,señales,0.42
450,señor de los milagros,0.42
451,tierra,0.42
452,trans,0.42
453,visita,0.42
454,vuelta,0.42
455,yılmaz,0.42
456,züleyha,0.42
457,agua,0.41
458,ahmet tansu taşanlar,0.41
459,akyürek,0.41
460,ameba,0.41
461,bozal,0.41
462,camarógrafo,0.41
463,cerebro,0.41
464,columna,0.41
465,denuncia,0.41
466,dueño,0.41
467,engin,0.41
468,imagen,0.41
469,imágenes,0.41
470,jaime chincha,0.41
471,josé llaja,0.41
472,laura león,0.41
473,luna,0.41
474,miel,0.41
475,niño,0.41
476,oya unustası,0.41
477,parque,0.41
478,peso,0.41
479,pitbull,0.41
480,prensa,0.41
481,rebaja,0.41
482,ropa,0.41
483,suma,0.41
484,texas,0.41
485,bayern múnich,0.4
486,dinamo kiev,0.4
487,felicidad,0.4
488,madrid,0.4
489,pedro garcía,0.4
490,tú no le ganaste,0.4
491,barcelona sc,0.38
492,copa libertadores 2021,0.38
493,espn a,0.38
494,flamengo,0.38
495,semifinal,0.38
496,humorista,0.37
497,mafalda,0.37
498,obra,0.37
499,quino,0.37
500,septiembre,0.37
501,tira,0.37
502,ayer,0.36
503,campeones cup 2021,0.36
504,columbus crew,0.36
505,cruz azul,0.36
506,directo,0.36
507,es página,0.36
508,gustavo rosell,0.36
509,inmunosupresión,0.36
510,línea,0.36
511,prioridad,0.36
512,tudn,0.36
513,videoclip,0.36
514,guerra,0.32
515,juan víctor sánchez,0.32
516,les declara,0.32
517,sebaslizar,0.32
518,alcalde,0.3
519,atrás,0.3
520,declaración,0.3
521,dejaron,0.3
522,diferencias,0.3
523,escándalo,0.3
524,humildad,0.3
525,la molina,0.3
526,le,0.3
527,pedroelinternacional,0.3
528,pide,0.3
529,real madrid,0.3
530,sus,0.3
531,violencia,0.3
