,Word,Ponderado
0,mn,2.12
1,año,1.54
2,jov,1.38
3,gobierno,1.35
4,ee,1.31
5,alemania,1.25
6,/ju,1.2
7,líder,1.17
8,país,1.15
9,investigación,1.04
10,justicia,0.99
11,mg,0.97
12,elección,0.88
13,muerte,0.85
14,martes,0.84
15,violencia,0.84
16,muerto,0.83
17,ola,0.81
18,cuenta,0.8
19,crisis,0.79
20,rt,0.78
21,youtube,0.78
22,número,0.72
23,éxito,0.71
24,/es,0.7
25,agua,0.7
26,tribunal,0.7
27,canciller,0.68
28,fecha,0.67
29,cargo,0.66
30,frente,0.66
31,acuerdo,0.65
32,vacunación,0.65
33,animal,0.63
34,especie,0.63
35,ministro,0.63
36,partido liberal democrático,0.63
37,dato,0.62
38,medio,0.62
39,berlín,0.61
40,historia,0.61
41,parlamento alemán,0.61
42,información,0.6
43,lengua,0.6
44,favor,0.59
45,mujer,0.58
46,asesinato,0.57
47,decisión,0.57
48,prensa,0.57
49,retirada,0.57
50,rusia,0.57
51,enfrentamiento,0.56
52,semana,0.56
53,la tormenta perfecta de bajos salarios pandemia,0.55
54,parte,0.55
55,reino unido,0.55
56,2021,0.54
57,méxico,0.54
58,autoridad,0.53
59,censura,0.53
60,dinero,0.53
61,kelly,0.53
62,suspensión,0.53
63,/ft,0.52
64,frontera,0.5
65,fuerza,0.5
66,miércoles,0.5
67,mundo,0.5
68,proyecto,0.5
69,colada,0.49
70,lava,0.49
71,mar,0.49
72,noche,0.49
73,región,0.49
74,alianza,0.46
75,anuncio,0.46
76,aukus,0.46
77,humano,0.46
78,persona,0.46
79,ronda,0.46
80,teoría,0.46
81,expresidente,0.45
82,proceso,0.45
83,cumbre,0.42
84,esperanza,0.42
85,greta thunberg,0.42
86,género,0.42
87,hombre,0.42
88,invento,0.42
89,la joven activista,0.42
90,"promesas""/ju",0.42
91,corea del norte,0.41
92,ensayo,0.41
93,escalada,0.41
94,misil,0.41
95,tensión,0.41
96,ambiente,0.39
97,defensor,0.39
98,derechos,0.39
99,humanos,0.39
100,premio nobel alternativo,0.39
101,angela,0.38
102,civilización,0.38
103,comparación,0.38
104,disminución,0.38
105,duración,0.38
106,edad de hierro,0.38
107,etrusco,0.38
108,informe,0.38
109,itálico,0.38
110,junio,0.38
111,merkel,0.38
112,oms,0.38
113,pueblo,0.38
114,comunicado,0.37
115,gobierno steffen seibert,0.37
116,lunes,0.37
117,portavoz,0.37
118,través,0.37
119,la plataforma de videos,0.36
120,russia today,0.36
121,2020,0.35
122,aspiración,0.35
123,boxeo,0.35
124,el pugilista,0.35
125,fumio,0.35
126,fumio kishida,0.35
127,mandatario,0.35
128,octubre,0.35
129,pld,0.35
130,primaria,0.35
131,rodrigo duterte,0.35
132,senador,0.35
133,votación,0.35
134,yoshihide,0.35
135,cantautora,0.34
136,español,0.34
137,forma,0.34
138,guatemala,0.34
139,kaqchikel,0.34
140,letra,0.34
141,música,0.34
142,realidad,0.34
143,creación,0.33
144,guayaquil,0.33
145,herido,0.33
146,la masacre,0.33
147,libertad,0.33
148,manifiesto,0.33
149,organización,0.33
150,penitenciaria del litoral,0.33
151,periodista,0.33
152,reo,0.33
153,clave,0.32
154,coalición,0.32
155,día,0.32
156,encuentro,0.32
157,este domingo,0.32
158,inmobiliaria,0.32
159,los promotores del referéndum,0.32
160,mayoría,0.32
161,motivo,0.32
162,negociación,0.32
163,porqué,0.32
164,posición,0.32
165,resultado,0.32
166,selfie,0.32
167,solas,0.32
168,sí a la expropiación,0.32
169,borde,0.31
170,cadena,0.31
171,canal,0.31
172,coronavirus,0.31
173,delito,0.31
174,depredador,0.31
175,desaparición,0.31
176,idioma,0.31
177,inglaterra,0.31
178,isla de wight,0.31
179,kremlin,0.31
180,millón,0.31
181,muchas,0.31
182,niña,0.31
183,normativa,0.31
184,parentesco,0.31
185,perú,0.31
186,presa,0.31
187,respecto,0.31
188,resto,0.31
189,trata,0.31
190,víctima,0.31
191,zona,0.31
192,aborto,0.3
193,ama,0.3
194,américa latina  mujeres,0.3
195,argentina,0.3
196,brexit,0.3
197,ciudadano,0.3
198,cola,0.3
199,conductor,0.3
200,cuba,0.3
201,cuernavaca,0.3
202,derecho,0.3
203,desabastecimiento,0.3
204,el problema,0.3
205,estación,0.3
206,falta,0.3
207,fiscalía,0.3
208,intimidación,0.3
209,lucha,0.3
210,manuel gonzález reyes,0.3
211,portal,0.3
212,servicio,0.3
213,tiro,0.3
214,uruguay,0.3
215,banda,0.29
216,centro,0.29
217,cifra,0.29
218,cumbre vieja,0.29
219,cárcel,0.29
220,episodio,0.29
221,experto,0.29
222,explosión,0.29
223,isla,0.29
224,llegada,0.29
225,motín,0.29
226,nube,0.29
227,recluso,0.29
228,afganistán,0.28
229,alemania berlín,0.28
230,empresa,0.28
231,estado mayor,0.28
232,general,0.28
233,jefe,0.28
234,joe biden,0.28
235,kabul,0.28
236,mark milley,0.28
237,moscú,0.28
238,plataforma,0.28
239,presidente,0.28
240,presión,0.28
241,represalia,0.28
242,soldado,0.28
243,talibán,0.28
244,televisión,0.28
245,video,0.28
246,atlántico,0.26
247,contacto,0.26
248,gas,0.26
249,islas canarias,0.26
250,la palma,0.26
251,momento,0.26
252,océano,0.26
253,población,0.26
254,riesgo,0.26
255,volcán,0.26
256,asamblea,0.24
257,bolivia,0.24
258,coca,0.24
259,cocalero,0.24
260,conflicto,0.24
261,la paz,0.24
262,los aliados,0.24
263,los yungas,0.24
264,mercado,0.24
265,oficialismo,0.24
266,policía,0.24
267,rvp,0.24
268,sector,0.24
269,vez,0.24
