,Word,Ponderado
0,contenido,3.33
1,el comercio suscríbete,3.33
2,informe,3.33
3,suscriptor,3.33
4,covid-19,3.25
5,fotos,3.0
6,año,2.72
7,setiembre,2.63
8,dosis,2.51
9,minsa,2.41
10,miércoles,2.34
11,país,2.1
12,precio,2.09
13,coronavirus,2.0
14,video,2.0
15,amenaza,1.92
16,millón,1.9
17,dólar,1.61
18,gas de camisea,1.57
19,congreso,1.55
20,crisis,1.53
21,us$,1.49
22,perú,1.47
23,vacuna,1.41
24,persona,1.39
25,ciudadano,1.38
26,méxico,1.36
27,combustible,1.3
28,día,1.26
29,policía,1.26
30,vacunación,1.26
31,centro,1.25
32,inversión,1.25
33,guido bellido,1.24
34,mujer,1.24
35,chile,1.23
36,venezuela,1.22
37,rusia,1.18
38,gobierno,1.17
39,migrant,1.17
40,entrevista,1.16
41,china,1.15
42,medida,1.14
43,ecuador,1.13
44,escasez,1.13
45,alemania,1.12
46,clave,1.04
47,editorial intenciones,1.0
48,callao,0.96
49,diferencia,0.95
50,gabinete,0.95
51,caso,0.93
52,pandemia,0.93
53,francia,0.92
54,avance,0.91
55,semana,0.91
56,colombia,0.89
57,corea del norte,0.89
58,inmunización,0.89
59,dni,0.87
60,energía,0.85
61,la palma,0.85
62,lava,0.85
63,volcán,0.85
64,aeropuerto,0.84
65,noviembre,0.84
66,éxito,0.84
67,octubre,0.83
68,niño,0.82
69,bellido,0.81
70,pregunta,0.81
71,rt,0.81
72,youtube,0.81
73,alejandro toledo,0.8
74,boris johnson,0.8
75,camionero,0.8
76,extradición,0.8
77,riesgo,0.8
78,operación,0.79
79,pese,0.78
80,organización,0.77
81,choque,0.76
82,herido,0.76
83,eeuu,0.75
84,bolivia,0.74
85,arequipa,0.73
86,av,0.73
87,coasters,0.73
88,multa,0.73
89,petit thouars,0.73
90,casco,0.71
91,latinoamérica,0.71
92,política,0.71
93,república centroafricana,0.71
94,hora,0.67
95,peruano,0.61
96,animal,0.6
97,confinamiento,0.6
98,protesta,0.6
99,sarah everard,0.6
100,gustavo rosell,0.59
101,beca,0.58
102,carlos basombrío iglesias,0.58
103,casa blanca,0.58
104,coyuntura,0.58
105,deriva,0.58
