,Word,Ponderado
0,país,2.07
1,año,1.75
2,presidente,1.65
3,ee uu,1.55
4,domingo,1.49
5,migrant,1.42
6,texas,1.42
7,crisis,1.29
8,persona,1.28
9,gobierno,1.15
10,el salvador,1.14
11,fin,1.14
12,medio,1.13
13,serie,0.95
14,nicolás maduro,0.92
15,cambio,0.88
16,millón,0.88
17,hombre,0.87
18,haitiano,0.84
19,sur,0.84
20,australia,0.82
21,escritor,0.82
22,méxico,0.82
23,plan,0.81
24,campamento,0.8
25,washington,0.79
26,españa,0.77
27,calle,0.76
28,tiempo,0.74
29,parte,0.71
30,américa latina,0.7
31,mujer,0.7
32,representante,0.7
33,década,0.69
34,visión,0.68
35,estados unidos,0.67
36,régimen,0.67
37,clave,0.66
38,hora,0.66
39,luna,0.66
40,manifestación,0.66
41,miel,0.66
42,miércoles,0.66
43,nayib bukele,0.66
44,aborto,0.65
45,viernes,0.65
46,defensa,0.64
47,elección,0.64
48,ministro,0.64
49,semana,0.64
50,guerra,0.63
51,prueba,0.63
52,artista,0.62
53,día,0.62
54,estados,0.62
55,afganistán,0.61
56,este,0.61
57,septiembre,0.61
58,alianza,0.6
59,cumbre,0.6
60,reino unido,0.6
61,sensación,0.6
62,administración,0.59
63,biden,0.59
64,deportación,0.59
65,fuente,0.59
66,llegada,0.59
67,marcha,0.59
68,razón,0.59
69,onu,0.58
70,ciudad de méxico,0.57
71,empresa,0.57
72,madrid,0.56
73,nueva york,0.56
74,vacuna,0.56
75,aire,0.55
76,alcaldía,0.55
77,iztapalapa,0.55
78,líder,0.55
79,violencia,0.54
80,proyecto,0.53
81,vida,0.53
82,by,0.52
83,in 2004 scientists discovered that,0.52
84,"of objects in the kuiper belt was making ""strange"" movements could this be due to the existence of an additional planet beyond neptune's",0.52
85,audífono,0.5
86,cabeza,0.5
87,cangurera,0.5
88,ciudadano,0.5
89,conector,0.5
90,correa,0.5
91,espíritu,0.5
92,realidad,0.5
93,través,0.49
94,aniversario,0.46
95,carlos boyero,0.46
96,clientela,0.46
97,especial,0.46
98,fórmula,0.46
99,hollywood,0.46
100,revista,0.46
101,alejandro gaviria,0.45
102,caravana,0.45
103,coahuila méxico,0.45
104,conflicto,0.45
105,creencia,0.45
106,del río,0.45
107,jesús,0.45
108,petro,0.45
109,autoridad,0.43
110,beneficio,0.43
111,boris johnson,0.43
112,coahuila,0.43
113,divisa,0.43
114,el cuento de la criada,0.43
115,gilead,0.43
116,industria,0.43
117,integración,0.43
118,masa,0.43
119,puente internacional de del río,0.43
120,represor,0.43
121,reunión,0.43
122,sistema,0.43
123,ultrarreligioso,0.43
124,urgencia,0.43
125,acoso,0.42
126,divisionismo,0.42
127,huracán,0.42
128,investigador,0.42
129,kerry emanuel,0.42
130,pobre,0.42
131,página,0.42
132,revolución,0.42
133,rico,0.42
134,athletic,0.41
135,campeonato,0.41
136,eutanasia,0.41
137,gol,0.41
138,matrimonio,0.41
139,propuesta,0.41
140,reforma,0.41
141,rojiblanco,0.41
142,zaga,0.41
143,avance,0.4
144,civilización,0.4
145,cosa,0.4
146,marylène patou-mathis,0.4
147,2024,0.39
148,cristina kirchner,0.39
149,derrota,0.39
150,exigencia,0.39
151,javier g cuesta,0.39
152,libanés,0.39
153,ochenta,0.39
154,parlamento ruso,0.39
155,ruta,0.39
156,tierra,0.39
157,vladímir putin,0.39
158,votación,0.39
159,adobe google,0.38
160,aplicación,0.38
161,apple,0.38
162,arcilla,0.38
163,cara,0.38
164,carbón,0.38
165,compañía,0.38
166,cuenta,0.38
167,el país escaparate,0.38
168,el presidente venezolano,0.38
169,impureza,0.38
170,mascarilla,0.38
171,noche,0.38
172,sorpresa,0.38
173,usuario,0.38
174,1970,0.37
175,costa,0.37
176,expresión,0.37
177,feria del libro de madrid,0.37
178,inflación,0.37
179,iván duque,0.37
180,lazo,0.37
181,mar de la china,0.37
182,pero no es verdad,0.37
183,posición,0.37
184,tengo,0.37
185,unidos,0.37
186,unión europea,0.37
187,visita,0.37
188,academia de la televisión de estados unidos,0.36
189,américa,0.36
190,bien,0.36
191,bloqueo,0.36
192,bruja escarlata,0.36
193,candidatura,0.36
194,centroamérica,0.36
195,cepal,0.36
196,desafío,0.36
197,evacuación,0.36
198,gobiernos nosotros,0.36
199,opción,0.36
200,organismo,0.36
201,pakistán,0.36
202,plan marshall,0.36
203,política,0.36
204,premio,0.36
205,presentación,0.36
206,secretaria,0.36
207,soberanía,0.36
208,talibán,0.36
209,terrorismo,0.36
210,the crown the mandalorian,0.36
211,trato,0.36
212,2020,0.35
213,2021,0.35
214,2022,0.35
215,alfombra,0.35
216,avril lavigne,0.35
217,brasil,0.35
218,café,0.35
219,contracción,0.35
220,el crecimiento del pib para la región,0.35
221,flossing,0.35
222,grano,0.35
223,jennifer lopez,0.35
224,look,0.35
225,mtv,0.35
226,partir,0.35
227,próximo,0.35
228,rebote,0.35
229,sequía,0.35
230,suministro,0.35
231,una ola de frío,0.35
232,vma's,0.35
233,vuelta,0.35
234,andrew gibbs,0.34
235,banda,0.34
236,borges,0.34
237,concepto,0.34
238,conclusión,0.34
239,descenso,0.34
240,dignidad,0.34
241,domicilio,0.34
242,ensayo,0.34
243,expresidente,0.34
244,felipe de edimburgo,0.34
245,generación,0.34
246,hondarribia,0.34
247,indecisión,0.34
248,infierno,0.34
249,informe,0.34
250,investigación,0.34
251,isabel ii,0.34
252,john fogerty,0.34
253,juez,0.34
254,justicia,0.34
255,la decisión de mantener el secreto,0.34
256,literatura,0.34
257,luz,0.34
258,marido,0.34
259,masculinidad,0.34
260,memoria,0.34
261,opositor,0.34
262,origen,0.34
263,pieza,0.34
264,posguerra,0.34
265,realismo,0.34
266,referente,0.34
267,regreso,0.34
268,reina,0.34
269,represión,0.34
270,respuesta,0.34
271,resultado,0.34
272,sudáfrica,0.34
273,testamento,0.34
274,the beatles,0.34
275,vuelo,0.34
276,zapatero,0.34
277,éxtasis,0.34
278,agricultura,0.33
279,barça,0.33
280,consecuencia,0.33
281,desarrollo,0.33
282,dinero,0.33
283,fútbol,0.33
284,humillación,0.33
285,innovación,0.33
286,jorge valdano,0.33
287,laura feal,0.33
288,proyecto wagrinnova,0.33
289,regadío,0.33
290,región,0.33
291,rival,0.33
292,superioridad,0.33
293,talento,0.33
294,técnica,0.33
295,áfrica occidental,0.33
296,asamblea general de naciones unidas,0.32
297,barrio,0.32
298,brasileño,0.32
299,diferencia,0.32
300,dólares,0.32
301,eficacia,0.32
302,estrella,0.32
303,fotos,0.32
304,galería,0.32
305,homólogo,0.32
306,identidad,0.32
307,jair bolsonaro,0.32
308,mayoría,0.32
309,mercado,0.32
310,mundo,0.32
311,mural,0.32
312,on,0.32
313,participación,0.32
314,tenis,0.32
315,valor,0.32
316,zapatilla,0.32
317,aeropuerto,0.31
318,agosto,0.31
319,alerta,0.31
320,asesinato,0.31
321,ataque,0.31
322,atentado,0.31
323,canadá,0.31
324,canberra,0.31
325,caída,0.31
326,chiapas,0.31
327,chuj qanjobal akateko,0.31
328,colección,0.31
329,compromiso,0.31
330,concisas,0.31
331,construcción,0.31
332,contaminación,0.31
333,diana patricia guzmán,0.31
334,disenso,0.31
335,distensión,0.31
336,díaz-canel,0.31
337,embajador,0.31
338,emmanuel macron,0.31
339,empate,0.31
340,en nicaragua,0.31
341,erin otoole,0.31
342,espaldarazo,0.31
343,estado,0.31
344,estado de méxico morelos,0.31
345,explosivo,0.31
346,familiar,0.31
347,francia,0.31
348,grado,0.31
349,guerrero,0.31
350,habitante,0.31
351,homicidio,0.31
352,intención,0.31
353,intimidación,0.31
354,jalalabad,0.31
355,justin trudeau,0.31
356,kabul,0.31
357,la fiscalía,0.31
358,lunes,0.31
359,mam,0.31
360,michoacán puebla,0.31
361,moda,0.31
362,ortega,0.31
363,parentesco,0.31
364,pesar,0.31
365,planta,0.31
366,posibilidad,0.31
367,práctica,0.31
368,pueblo,0.31
369,rafael rojas,0.31
370,reflejo,0.31
371,reja,0.31
372,renuncia,0.31
373,sector,0.31
374,submarino,0.31
375,tlaxcala oaxaca,0.31
376,veintena,0.31
377,venezuela,0.31
378,venta,0.31
379,veracruz méxico,0.31
380,voto,0.31
381,abimael guzmán,0.3
382,abominación,0.3
383,acto,0.3
384,acuerdo,0.3
385,argentina,0.3
386,carpa,0.3
387,cristina fernández de kirchner,0.3
388,cultura,0.3
389,destino,0.3
390,distrito de,0.3
391,hortaleza,0.3
392,luis jochamowitz,0.3
393,metro,0.3
394,muerte,0.3
395,nacho cano,0.3
396,nombre,0.3
397,ocio,0.3
398,palacio,0.3
399,pirámide,0.3
400,poder,0.3
401,resto,0.3
402,triunfo,0.3
403,tumba,0.3
404,vez,0.3
405,vice,0.3
406,bandera,0.29
407,barrio de chueca,0.29
408,bolsonaro,0.29
409,bukele,0.29
410,covid,0.29
411,creación,0.29
412,código,0.29
413,demonización,0.29
414,distorsión,0.29
415,enemigo,0.29
416,etapa,0.29
417,grito,0.29
418,grupo,0.29
419,honor,0.29
420,ideología,0.29
421,juventud nacional,0.29
422,madrileño,0.29
423,martes,0.29
424,oposición,0.29
425,orador,0.29
426,palabra,0.29
427,sesión,0.29
428,sábado,0.29
429,tarde,0.29
430,ultraderecha,0.29
431,virulencia,0.29
432,ajedrez,0.28
433,answer,0.28
434,arte,0.28
435,asia,0.28
436,benítez,0.28
437,china,0.28
438,circunstancia,0.28
439,ciudad,0.28
440,colonia,0.28
441,comentario,0.28
442,debate,0.28
443,easy,0.28
444,el país,0.28
445,estigma,0.28
446,experiencia,0.28
447,faces,0.28
448,forma,0.28
449,furia,0.28
450,maduro,0.28
451,mexico city,0.28
452,mirada,0.28
453,movimiento,0.28
454,now,0.28
455,opinion,0.28
456,partida,0.28
457,pekín,0.28
458,piece,0.28
459,presencia,0.28
460,question,0.28
461,reconocimiento,0.28
462,sentido,0.28
463,señor,0.28
464,that,0.28
465,this,0.28
466,transcurso,0.28
467,who deserves to be consecrated in the form of a statue and who should be removed once their reputation fades,0.28
468,writes,0.28
469,“,0.28
470,acta,0.25
471,cine,0.25
472,clásico,0.25
473,director,0.25
474,estilo,0.25
475,forja,0.25
476,fortunata,0.25
477,jacinta,0.25
478,la colmena,0.25
479,los santos inocentes,0.25
480,maestro,0.25
481,mario camus,0.25
482,televisión,0.25
