,Word,Ponderado
0,video,38.0
1,foto,6.34
2,fotos,4.0
3,pedro castillo,2.76
4,perú libre,1.22
5,sol,1.03
6,adolescente,1.0
7,hijo,0.98
8,perú,0.97
9,lapadula,0.96
10,padre,0.95
11,camisea,0.93
12,gobierno,0.93
13,amor,0.92
14,estrella torres,0.92
15,prensa,0.92
16,tommy portugal,0.92
17,gustavo dulanto,0.9
18,persona,0.9
19,el perú,0.89
20,mujer,0.89
21,guido bellido,0.88
22,alejandro toledo,0.87
23,caso,0.87
24,tipo,0.86
25,vida,0.85
26,vladimir cerrón,0.85
27,renuncia,0.83
28,mes,0.82
29,año,0.8
30,miércoles,0.77
31,buenos días,0.71
32,crítica,0.71
33,cáncer,0.71
34,gisela valcárcel,0.71
35,interpretación,0.71
36,nuestra portada de hoy 29 de septiembre,0.71
37,perro,0.71
38,uña,0.71
39,versión,0.71
40,whatsapp delta 2021 cómo,0.71
41,bono niños 2021 cómo,0.61
42,aquí,0.58
43,beneficiario,0.58
44,bono techo propio 2021 link cómo,0.58
45,casa,0.58
46,chalaca,0.58
47,consejito,0.58
48,consulta sisfoh,0.58
49,corazón,0.58
50,covid-19,0.58
51,dato,0.58
52,diana sánchez,0.58
53,final,0.58
54,"gabriela herrera ""estar seguro",0.58
55,la historia de la acrobacia,0.58
56,manny pacquiao,0.58
57,predicción,0.58
58,retiro,0.58
59,secuela,0.58
60,septiembre,0.58
61,signo,0.58
62,tiempo,0.58
63,partido,0.56
64,punto,0.56
65,historial,0.55
66,s/,0.55
67,mario vargas llosa,0.54
68,primaria,0.54
69,profesor,0.54
70,ben brereton,0.53
71,kevin salas,0.53
72,contrato,0.52
73,corpus,0.52
74,cócteles,0.52
75,experimento,0.52
76,gareca,0.52
77,habeas,0.52
78,harold forsyth,0.52
79,keiko fujimori fiscalía,0.52
80,balán gonzáles,0.51
81,caos,0.51
82,comisaría,0.51
83,césar hildebrandt,0.51
84,farfán,0.51
85,fe,0.51
86,guerrero,0.51
87,hombre,0.51
88,justicia,0.51
89,president,0.51
90,real madrid,0.51
91,sheriff de dulanto,0.51
92,smartphón,0.51
93,suboficial,0.51
94,talibanes,0.51
95,aldo corzo,0.5
96,amante,0.5
97,carlos álvarez,0.5
98,cerrón,0.5
99,disfruta,0.5
100,donación,0.5
101,gobierno de junín,0.5
102,hernán barcos,0.5
103,ingreso,0.5
104,liberación,0.5
105,libertad,0.5
106,ministerio público dinámicos del centro,0.5
107,pareja,0.5
108,payaso,0.5
109,piscina,0.5
110,punta cana,0.5
111,reacción,0.5
112,sujeto,0.5
113,yahaira plasencia,0.5
114,yotún,0.5
115,paso,0.49
116,renegociación,0.49
117,agua,0.47
118,ampay,0.47
119,boda,0.47
120,capacidad,0.47
121,conferencia,0.47
122,fotógrafa,0.47
123,gabinete,0.47
124,ipsos,0.47
125,liderazgo,0.47
126,peruano,0.47
127,presidente,0.47
128,reunión,0.47
129,silencio,0.47
130,vaso,0.47
131,verónika mendoza,0.47
132,éxito,0.47
133,agricultor,0.46
134,bisnieta,0.46
135,colegio,0.46
136,esperanza,0.46
137,estudio,0.46
138,izquierda,0.46
139,límite,0.46
140,milímetro,0.46
141,oportunista,0.46
142,profesora,0.46
143,riñón,0.46
144,siquiera,0.46
145,sueño,0.46
146,traición,0.46
147,vargas llosa,0.46
148,aplicación,0.45
149,asistencia,0.45
150,cercado,0.45
151,congreso,0.45
152,denuncia,0.45
153,dosis,0.45
154,ee uu,0.45
155,encuentran imagen de la virgen,0.45
156,equipo,0.45
157,farmacia,0.45
158,firma,0.45
159,gobernador,0.45
160,gonzalo núñez,0.45
161,guadalupe,0.45
162,guillermo bermejo,0.45
163,hermano,0.45
164,huancayo,0.45
165,inundación,0.45
166,jaime chincha,0.45
167,juan alvarado,0.45
168,ladrón,0.45
169,lima,0.45
170,llanta,0.45
171,medicina,0.45
172,minsa,0.45
173,muerte,0.45
174,méxico,0.45
175,paro,0.45
176,pena,0.45
177,pitbull,0.45
178,pnp,0.45
179,protocolo,0.45
180,razón,0.45
181,responsabilidad,0.45
182,semana,0.45
183,ser,0.45
184,sheriff de,0.45
185,triplay,0.45
186,agenda,0.44
187,canciller,0.44
188,maúrtua,0.44
189,beneficio,0.43
190,bono yanapay,0.43
191,consulta,0.43
192,dni,0.43
193,extradición,0.43
194,odebrecht,0.43
195,procuradora,0.43
196,tu,0.43
197,baja,0.42
198,cambio,0.42
199,captura,0.42
200,congresista,0.42
201,contumaz,0.42
202,dólar,0.42
203,hoy,0.42
204,katy ugarte,0.42
205,reo,0.42
206,acusación,0.41
207,alfombra,0.41
208,antonio banderas,0.41
209,apellido,0.41
210,audiencia,0.41
211,contra,0.41
212,control,0.41
213,covid-19 hoy,0.41
214,decreto,0.41
215,eeuu,0.41
216,estación,0.41
217,exterior,0.41
218,flavia laos,0.41
219,hija,0.41
220,keiko fujimori,0.41
221,madre,0.41
222,melanie griffith,0.41
223,naranjal del metropolitano,0.41
224,netflix,0.41
225,setiembre,0.41
226,stella,0.41
227,vacunarán,0.41
228,cierre,0.38
229,desabastecimiento,0.38
230,glp,0.38
231,pisco,0.38
232,planta,0.38
233,pluspetrol,0.38
234,riesgo,0.38
