,Word,Ponderado
0,johanna san miguel,1.12
1,ebt,0.87
2,tula rodríguez,0.87
3,cámara,0.8
4,cabello,0.58
5,abrazo,0.48
6,beso,0.48
7,mi madre  gino pesaressi,0.48
8,conductor,0.46
9,infarto,0.46
10,paso,0.46
11,quién,0.46
12,#,0.45
13,duelo,0.45
14,pasarela,0.45
15,acento,0.41
16,actor,0.41
17,amigo,0.41
18,baile,0.41
19,bebé,0.41
20,belleza,0.41
21,brasileño,0.41
22,ecografía,0.41
23,felicidades,0.41
24,futuro,0.41
25,igualita,0.41
26,la uchulú,0.41
27,modelo,0.41
28,oliverio,0.41
29,origen,0.41
30,pachamanca,0.41
31,papá,0.41
32,pareja,0.41
33,plata,0.41
34,predicción,0.41
35,qué creída,0.41
36,sentenció,0.41
37,tiktok,0.41
38,viejito,0.41
39,alma bella,0.38
40,avance  miércoles  la uchulú,0.38
41,cuánta,0.38
42,ganador,0.38
43,mariana espinoza,0.38
44,nilver huarac,0.38
45,ninel conde,0.38
46,nueva,0.38
47,oliverio mayta,0.38
48,pituca,0.38
49,pucallpa,0.38
50,riquísima,0.38
51,sensualidad,0.38
52,tributo,0.38
