,Word,Ponderado
0,año,2.65
1,exitosaperú,2.14
2,día,2.03
3,presidente,1.78
4,vivo,1.76
5,bancada,1.72
6,sábado,1.66
7,señal,1.65
8,setiembre,1.58
9,la voz de los que no tienen voz,1.57
10,el perú,1.55
11,país,1.54
12,buenos,1.53
13,ley,1.52
14,pedro castillo,1.52
15,video,1.48
16,congresista,1.45
17,susel paredes,1.45
18,terrorista,1.43
19,delito,1.41
20,vacunación,1.41
21,covid-19,1.29
22,mundo,1.28
23,proyecto,1.2
24,partido morado-somos perú,1.19
25,premier,1.19
26,resto,1.18
27,población,1.16
28,prisión,1.14
29,precio,1.12
30,caso,1.11
31,comentario,1.1
32,fortunata barrios,1.1
33,perú,1.1
34,presidenta,1.1
35,red,1.1
36,lima,1.09
37,persona,1.09
38,educación idel vexler,1.07
39,exministro,1.07
40,mandatario,1.04
41,portada,1.04
42,radio exitosa 955 fm  exitosa,1.04
43,tv,1.04
44,cari saldaña,1.0
45,carlos cornejo,1.0
46,gabriel bustamante,1.0
47,jack miranda,1.0
48,nicolás lúcar,1.0
49,shantall ordoñez,1.0
50,óscar paz,1.0
51,abimael guzmán,0.98
52,dosis,0.98
53,exdirector,0.98
54,poder judicial,0.96
55,denuncia,0.94
56,olla comunes,0.94
57,pandemia,0.94
58,república,0.93
59,voz,0.93
60,mes,0.92
61,clase,0.91
62,2022,0.9
63,excongresista contreras,0.89
64,mujer,0.87
65,economía,0.83
66,américa latina,0.78
67,cifra,0.78
68,relación,0.78
69,acuerdo,0.77
70,minsa,0.77
71,octubre,0.77
72,gobierno,0.76
73,febrero,0.74
74,fines,0.74
75,niño,0.74
76,profesor,0.74
77,guido bellido,0.73
78,medida,0.73
79,través,0.73
80,vacuna,0.73
81,celac,0.71
82,dircote,0.71
83,jefe,0.71
84,plazo,0.71
85,discriminación,0.7
86,fin,0.7
87,grupo,0.7
88,vacunafest,0.69
89,bellido,0.68
90,ciudadano,0.68
91,jesús verde,0.68
92,inmunización,0.67
93,ahora,0.66
94,exitosa 955 fm,0.66
95,hans berger,0.66
96,luz del sur,0.66
97,representante,0.66
98,agravio,0.65
99,cremación,0.65
100,eduardo jaramillo franco,0.65
101,ejecutivo,0.65
102,homicidio,0.65
103,juzgado de investigación preparatoria,0.65
104,norma,0.65
105,precedente,0.65
106,instancia,0.64
107,muerte,0.64
108,metropolitana,0.63
109,agenda,0.62
110,historia,0.62
111,partido,0.62
112,enfermedad,0.58
113,exministro idel vexler,0.55
114,federación de fonavistas,0.54
115,titular,0.54
116,1321,0.5
117,gerencia regional de salud lambayeque,0.5
118,lengua,0.5
119,padre,0.5
120,poeta,0.5
121,fuerza popular keiko fujimori,0.48
122,lideresa,0.48
123,viernes,0.48
124,pan,0.47
125,panadería,0.47
126,peso,0.47
127,cartilla,0.45
128,exigencia,0.45
129,ministro de salud,0.45
130,reinicio,0.45
131,edad,0.44
132,fricción,0.44
133,maduro,0.44
134,mario abdo benítez,0.44
135,ministro de salud hernando cevallos,0.44
136,rango,0.44
137,venezuela,0.44
138,haití,0.43
139,límite,0.43
140,manera,0.43
141,méxico mayoría,0.43
142,nasa,0.43
143,nivel,0.43
144,rio grande,0.43
145,space apps challenge,0.43
146,afluencia,0.42
147,avance,0.42
148,banco,0.42
149,decir,0.42
150,decisión,0.42
151,defecto,0.42
152,ejecución,0.42
153,empleo,0.42
154,esposa,0.42
155,estructura,0.42
156,exitosa josé baella,0.42
157,gabinete ministerial guido bellido,0.42
158,gore tacna,0.42
159,impedimento,0.42
160,mensaje,0.42
161,ministro,0.42
162,movadef,0.42
163,no es populismo está demostrado porque ya existe la ley,0.42
164,obra,0.42
165,"para""corregir",0.42
166,reforma,0.42
167,tasa,0.42
168,usura,0.42
169,vacunatorio,0.42
170,vi cumbre de la comunidad de estados latinoamericanos y caribeños,0.42
171,aahh pacífico de villa,0.41
172,autoridad,0.41
173,brecha,0.41
174,el ministro de salud hernando cevallos,0.41
175,exitosa lima,0.41
176,exitosa norte,0.41
177,exitosa sur,0.41
178,lima metropolitana,0.41
179,multiplataforma,0.41
180,lo tienen que juzgar como cualquiera,0.4
181,acceso,0.39
182,alista,0.39
183,bel-air,0.39
184,cabecilla,0.39
185,canchita,0.39
186,categoría,0.39
187,centros,0.39
188,el príncipe del rap,0.39
189,estado   lee,0.39
190,fiorella contreras huamán,0.39
191,horario,0.39
192,insumo,0.39
193,medalla,0.39
194,norma yarrow,0.39
195,nota,0.39
196,oro,0.39
197,presupuesto,0.39
198,programa,0.39
199,responsabilidad,0.39
200,salud,0.39
201,sub-18,0.39
202,subsidio,0.39
203,título,0.39
204,versión,0.39
205,vladimir cerrón,0.39
206,web,0.39
207,xxxi festival panamericano de la juventud,0.39
208,azúcar,0.38
209,comida,0.38
210,estevia,0.38
211,miel,0.38
212,necesidad,0.38
213,opción,0.38
214,panela,0.38
215,2018,0.37
216,adriano pozo,0.37
217,aforo,0.37
218,alex vera tudela,0.37
219,alza,0.37
220,arnaldo tipiani muñoz,0.37
221,aún,0.37
222,baja,0.37
223,base naval,0.37
224,bombero,0.37
225,brigadier general,0.37
226,cbp,0.37
227,cobre,0.37
