,Word,Ponderado
0,video,56.63
1,foto,10.53
2,covid-19,8.48
3,fotos,8.0
4,año,7.82
5,hija,6.11
6,andrea san martín,4.29
7,persona,4.16
8,melissa paredes,4.09
9,sofía franco,3.93
10,peruano,3.48
11,juan víctor,3.47
12,“,3.4
13,estrella torres,3.37
14,pedro castillo,3.37
15,hijo,3.28
16,crítica,3.27
17,gustavo dulanto,3.24
18,minsa,3.18
19,mujer,3.1
20,padre,3.06
21,red,3.02
22,cantante,2.96
23,vacunación,2.95
24,mariella zanetti,2.73
25,conductora,2.52
26,álvaro paz de la barra,2.52
27,semana,2.49
28,vania bludau,2.49
29,modelo,2.48
30,equipo,2.46
31,johanna san miguel,2.44
32,eeg,2.42
33,laura bozzo,2.42
34,kevin salas,2.39
35,perú,2.39
36,país,2.36
37,amor,2.35
38,américa,2.33
39,muerte,2.3
40,tommy portugal,2.29
41,vivo,2.27
42,dosis,2.22
43,belén estévez,2.16
44,noviembre,2.16
45,miércoles,2.15
46,sebastián,2.15
47,relación,2.13
48,capítulo,2.1
49,gisela valcárcel,2.09
50,pareja,2.09
51,alejandro toledo,2.08
52,magaly medina,2.08
53,programa,2.06
54,melissa klug,2.05
55,actor,2.04
56,vez,2.04
57,méxico,2.02
58,instagram,2.0
59,mensaje,2.0
60,jamila dahabreh,1.98
61,hombre,1.96
62,champions league,1.95
63,final,1.94
64,día,1.93
65,nicola porcella,1.93
66,evelyn vela,1.91
67,vida,1.91
68,lima,1.88
69,hora,1.86
70,sheyla rojas,1.85
71,reconciliación,1.8
72,setiembre,1.8
73,caso,1.79
74,centro,1.79
75,corpus,1.74
76,fecha,1.72
77,prueba,1.7
78,verdad,1.7
79,seguidor,1.69
80,diana sánchez,1.67
81,show,1.66
82,familia,1.65
83,primaria,1.64
84,profesor,1.64
85,millón,1.63
86,paso,1.6
87,sebastián lizarzaburu,1.6
88,coronavirus,1.59
89,dni,1.57
90,delincuente,1.55
91,guerra,1.55
92,callao,1.54
93,emoción,1.53
94,natalie vértiz,1.5
95,abogado,1.49
96,motivo,1.49
97,carta,1.48
98,elías montalvo,1.48
99,milett figueroa,1.48
100,rostro,1.48
101,siddhartha,1.48
102,yuya,1.48
103,naranjal del metropolitano,1.47
104,aplicación,1.46
105,danna paola,1.44
106,latin grammy,1.44
107,justicia,1.43
108,restaurante,1.41
109,gobierno,1.4
110,madre,1.4
111,problema,1.4
112,cuenta,1.37
113,enfermedad,1.37
114,tocamiento,1.36
115,ampay,1.35
116,el perú,1.35
117,historia,1.35
118,recurso,1.35
119,camisea,1.33
120,joven,1.33
121,vía,1.33
122,expareja,1.32
123,reinas,1.32
124,rodrigo gonzález,1.32
125,bono familiar habitacional,1.31
126,techo propio,1.31
127,éxito,1.31
128,casa,1.3
129,dólares,1.3
130,peluchín,1.3
131,carlos álvarez,1.29
132,conductor,1.29
133,guido bellido,1.29
134,liberación,1.29
135,prensa,1.29
136,mes,1.28
137,partido,1.26
138,perú libre,1.26
139,cuerpo,1.24
140,extradición,1.24
141,edad,1.23
142,imagen,1.2
143,casting,1.19
144,vargas llosa pedro castillo,1.19
145,bebé,1.18
146,emporio comercial de gamarra,1.18
147,chiclayo,1.17
148,christian domínguez,1.16
149,horóscopo,1.16
150,salud,1.16
151,cerco,1.15
152,foto archivo gec,1.15
153,gato,1.15
154,novio,1.15
155,ventanilla,1.15
156,hoy,1.14
157,terminal,1.14
158,lee,1.13
159,nota,1.13
160,embarazo,1.11
161,nombre,1.11
162,soltería,1.1
163,rosell,1.09
164,viceministro,1.09
165,sol,1.08
166,tráiler,1.08
167,waldir felipa,1.08
168,catherine civiero,1.07
169,colegio,1.07
170,respuesta,1.07
171,temporada,1.07
172,álvaro paz,1.06
173,vs,1.05
174,depresión,1.04
175,emprendedor,1.04
176,grupo,1.04
177,personaje,1.04
178,seguridad,1.04
179,alejandra baigorria,1.03
180,argentina,1.03
181,departamento,1.03
182,extranjero,1.03
183,guerreros puerto rico,1.03
184,patricio parodi,1.03
185,reacción,1.03
186,yahaira plasencia,1.03
187,cabecilla,1.02
188,competencia,1.02
189,corazón,1.02
190,dinámicos del centro,1.02
191,fiscalía vladimir cerrón,1.02
192,manny pacquiao,1.02
193,mundo,1.02
194,producción,1.02
195,colombiana,1.01
196,sobrino,1.01
197,tutela,1.01
198,adolescente,1.0
199,delito,1.0
200,emprende trome,1.0
201,milena zárate,1.0
202,máscara,1.0
203,pandemia,1.0
204,venezolano,1.0
205,víctima,1.0
206,alcalde,0.99
207,aquí,0.99
208,aumento,0.99
209,fin,0.99
210,lapadula,0.99
211,lugar,0.99
212,netflix,0.99
213,pensión,0.99
214,razón,0.99
215,tiempo,0.99
216,aldo corzo,0.98
217,hernán barcos,0.98
218,donación,0.97
219,predicción,0.96
220,ricky martin,0.96
221,selección,0.96
222,serie,0.96
223,calidad,0.95
224,médico,0.95
225,usuario,0.95
226,baile,0.94
227,cristiano ronaldo,0.94
228,quién,0.94
229,septiembre,0.93
230,autoridad,0.92
231,beca,0.92
232,corriente,0.92
233,hermano,0.92
234,ebt,0.91
235,empresa,0.91
236,tula rodríguez,0.91
237,carrera,0.9
238,cerrón,0.9
239,gobierno de junín,0.9
240,ingreso,0.9
241,ipsos,0.9
242,karen schwarz,0.9
243,liderazgo,0.9
244,tipo,0.9
245,cámara,0.89
246,escena,0.89
247,interpol,0.89
248,papel,0.89
249,shirley arica,0.89
250,boda,0.88
251,gisela,0.88
252,hábea,0.88
253,magaly,0.88
254,reunión,0.88
255,acusación,0.87
256,andrea,0.87
257,audiencia,0.87
258,control,0.87
259,dulanto,0.87
260,estadio,0.87
261,juego,0.87
262,keiko fujimori,0.87
263,tierra,0.87
264,tu,0.87
265,vladimir cerrón,0.87
266,américa hoy,0.86
267,reality,0.86
268,reina,0.86
269,televisión,0.86
270,dania calderón,0.85
271,reasignación,0.85
272,sexo,0.85
273,star+,0.85
274,tema,0.85
275,trans,0.85
276,agua,0.84
277,decisión,0.84
278,papá,0.84
279,renuncia,0.84
280,belleza,0.83
281,denuncia,0.83
282,jaime chincha,0.83
283,manchester united,0.83
284,pitbull,0.83
285,villarreal,0.83
286,canción,0.82
287,fan,0.82
288,octubre,0.82
289,origen,0.82
290,amigo,0.81
291,barcelona,0.81
292,benfica,0.81
293,gol,0.81
294,comedia,0.8
295,poder,0.8
296,álbum,0.8
297,amatista,0.79
298,comorbilidad,0.79
299,gas de camisea,0.79
300,gratis,0.79
301,lanzamiento,0.79
302,personal,0.79
303,peso,0.79
304,tarot,0.79
305,cita,0.78
306,mafalda,0.78
307,quino,0.78
308,parte,0.77
309,real madrid,0.77
310,rosángela espinoza “no me siento cómoda,0.77
311,atractivo,0.76
312,contagio,0.75
313,gabriela herrera “estar,0.75
314,juan víctor sánchez,0.75
315,mano,0.74
316,ninel conde,0.74
317,día mundial del corazón consejos,0.73
318,día mundial del corazón cómo,0.73
319,j balvin,0.73
320,magnesio,0.73
321,periodista,0.73
322,reinas del show” bailarín,0.72
323,buenos días,0.71
324,buenos días esta,0.71
325,consejo,0.71
326,cáncer,0.71
327,día mundial del corazón tres,0.71
328,ejercicio,0.71
329,fueeerteeee,0.71
330,interpretación,0.71
331,interés,0.71
332,isabel pantoja madre,0.71
333,nuestra portada de hoy 29 de septiembre,0.71
334,perro,0.71
335,portada,0.71
336,queeé,0.71
337,semipresencialidad,0.71
338,uña,0.71
339,versión,0.71
340,victoria,0.71
341,whatsapp delta 2021 cómo,0.71
342,ni yo me la creo,0.68
343,secuela,0.66
344,píldora,0.65
345,sanamente,0.65
346,bono niños 2021 cómo,0.64
347,chism,0.64
348,arreglito,0.63
349,ex,0.63
350,josé figueroa,0.63
351,alimentación,0.62
352,convocatoria,0.62
353,diego rebagliati,0.62
354,profesión,0.62
355,retiro,0.62
356,trastorno,0.62
357,época,0.62
358,',0.61
359,apuesta,0.61
360,chile bolivia,0.61
361,encuentro,0.61
362,enlace,0.61
363,gana,0.61
364,juega acierta,0.61
365,participa,0.61
366,polla,0.61
367,pregunta del día   los,0.61
368,rosángela espinoza,0.61
369,sorteo  ingresa,0.61
370,suspensión,0.61
371,ataque,0.6
372,beneficiario,0.6
