,Word,Ponderado
0,video,95.53
1,presidente,44.46
2,país,31.62
3,año,28.81
4,perú,26.7
5,covid-19,24.02
6,pedro castillo,20.98
7,persona,19.91
8,celac,18.98
9,gobierno,17.96
10,fecha,16.49
11,méxico,16.3
12,vacunación,16.04
13,estado,16.03
14,sábado,15.66
15,vacuna,15.29
16,vivo,15.02
17,fotos,14.81
18,setiembre,14.81
19,día,12.77
20,foto,12.7
21,fase 2,12.69
22,partido,12.19
23,millón,11.84
24,semana,11.81
25,resto,11.8
26,pueblo,11.49
27,mundo,11.44
28,hora,11.39
29,cumbre,11.21
30,caso,11.15
31,jefe,11.14
32,mes,11.02
33,equipo,10.81
34,intervención,10.77
35,cambio,10.7
36,relación,10.64
37,abimael guzmán,10.43
38,joven,10.42
39,jornada,10.41
40,eeuu,10.38
41,pandemia,10.13
42,vacunafest,10.11
43,estadio,10.03
44,lima,9.98
45,gobierno de la celac,9.7
46,vi cumbre de jefas,9.64
47,crisis,9.51
48,prisión,9.5
49,fin,9.4
50,región,9.39
51,minuto,9.19
52,salud,9.14
53,dosis,9.11
54,ministro,8.95
55,mujer,8.88
56,chile,8.86
57,trabajo,8.86
58,domingo,8.73
59,serie,8.66
60,ley,8.36
61,entrevista,8.33
62,vida,8.28
63,“,8.25
64,muerte,7.75
65,medida,7.74
66,momento,7.58
67,encuentro,7.46
68,acuerdo,7.43
69,mandatario,7.4
70,→,7.3
71,centro,7.26
72,mensaje,7.18
73,coronavirus,7.17
74,horario,7.17
75,tema,7.08
76,representante,7.02
77,hombre,6.97
78,migrant,6.95
79,zona,6.92
80,inmunización,6.79
81,nación,6.77
82,parte,6.77
83,bolivia,6.74
84,peruano,6.72
85,grupo,6.71
86,población,6.71
87,integración,6.65
88,septiembre,6.62
89,proyecto,6.5
90,comentario,6.46
91,vi cumbre de la celac,6.44
92,economía,6.37
93,cuerpo,6.36
94,gol,6.33
95,américa latina,6.31
96,república,6.29
97,terrorismo,6.26
98,punto,6.22
99,vez,6.21
100,detalle,6.15
101,columna,6.13
102,hijo,6.11
103,chofer,6.08
104,programa,6.08
105,democracia,6.06
106,monumental,6.0
107,vía,5.97
108,niño,5.96
109,policía,5.96
110,scooter,5.95
111,maduro,5.93
112,familia,5.91
113,discriminación,5.79
114,vs,5.79
115,president,5.74
116,clase,5.71
117,igualdad,5.71
118,participación,5.67
119,sur,5.67
120,frente,5.66
121,paraguay,5.62
122,tasa,5.6
123,brigada,5.59
124,minsa,5.59
125,tiempo,5.59
126,mercado,5.52
127,seguridad,5.5
128,ecuador,5.46
129,empresa,5.45
130,objetivo,5.36
131,padre,5.3
132,precio,5.28
133,prueba,5.27
134,estudio,5.21
135,onu,5.18
136,pago,5.13
137,nicolás maduro,5.12
138,aldo corzo,5.08
139,niña,5.01
140,atención,4.99
141,llegada,4.99
142,escuela,4.96
143,necesidad,4.94
144,vi cumbre de la comunidad de estados latinoamericanos y caribeños,4.94
145,psg,4.93
146,red,4.92
147,show,4.9
148,luciana fuster,4.89
149,contrato,4.86
150,callao,4.84
151,decisión,4.84
152,lugar,4.83
153,contagio,4.78
154,cuba,4.78
155,el perú,4.78
156,espacio,4.78
157,perú libre,4.76
158,manera,4.75
159,desarrollo,4.74
160,gira,4.74
161,víctima,4.74
162,afganistán,4.73
163,salida,4.73
164,cieneguilla,4.72
165,opinión,4.7
166,organismo,4.7
167,distrito,4.67
168,ataque,4.66
169,estados unidos,4.66
170,pm,4.66
171,agente,4.64
172,problema,4.64
173,proceso,4.64
174,copa davis,4.61
175,propuesta,4.6
176,selección,4.6
177,género,4.55
178,frontera,4.53
179,denuncia,4.51
180,poder,4.51
181,costa verde,4.48
182,establecimiento,4.46
183,medio,4.41
184,voz,4.41
185,congresista,4.38
186,apoyo,4.37
187,lunes,4.37
188,política,4.37
189,mantenimiento,4.36
190,norma,4.35
191,retorno,4.33
192,resultado,4.32
193,triunfo,4.28
194,terrorista,4.27
195,canciller,4.26
196,cumbre de la celac,4.26
197,patricio parodi,4.26
198,unidad,4.25
199,restricción,4.24
200,banda,4.22
201,condición,4.16
202,guido bellido,4.16
203,venezuela,4.16
204,premier league,4.13
205,titular,4.13
206,historia,4.12
207,concurso,4.1
208,concentración,4.09
209,defensa,4.09
210,casa,4.08
211,crítica,4.07
212,derecho,4.07
213,dalia durán,4.06
214,situación,4.06
215,derechos,4.02
216,humanos,4.02
217,final,4.0
218,imagen,3.99
219,futuro,3.98
220,2022,3.97
221,recurso,3.97
222,josé távara,3.92
223,oea,3.92
224,agresión,3.9
225,posibilidad,3.9
226,constitución,3.89
227,la tierra,3.88
228,amor,3.86
229,cifra,3.86
230,debate,3.86
231,gabinete,3.86
232,cañete,3.84
233,cotejo,3.84
234,enfrentamiento,3.84
235,nasa,3.84
236,victoria,3.84
237,china,3.83
238,paso,3.82
239,uruguay,3.81
240,autoridad,3.8
241,duelo,3.79
242,líder,3.79
243,avance,3.78
244,forma,3.78
245,real madrid,3.78
246,spacex,3.78
247,plan,3.76
248,campaña,3.75
249,jugador,3.73
250,canal,3.72
251,barranco,3.71
252,iván elías moreno,3.7
253,bus,3.69
254,miembro,3.69
255,primer,3.67
256,reunión,3.67
257,bala,3.66
258,bosnia y herzegovina,3.66
259,comunidad,3.66
260,sistema,3.66
261,agenda,3.65
262,sentido,3.65
263,confianza,3.63
264,fuerza,3.63
265,interés,3.63
266,sol,3.62
267,cremación,3.61
268,protección,3.61
269,acceso,3.6
270,ciudadano,3.6
271,respuesta,3.6
272,estrategia,3.58
273,infraestructura,3.56
274,melissa klug,3.56
275,hernán barcos,3.54
276,vuelo,3.54
277,cargo,3.52
278,lionel messi,3.52
279,nivel,3.52
280,importancia,3.51
281,cabecilla,3.5
282,mayoría,3.49
283,pareja,3.49
284,portada,3.48
285,texas,3.48
286,estadio monumental,3.47
287,unión,3.46
288,caída,3.45
289,hecho,3.44
290,ee uu,3.43
291,bloqueo,3.42
292,cuenta,3.42
293,fondo,3.41
294,octubre,3.39
295,servicio,3.39
296,francia,3.38
297,tanto,3.38
298,edad,3.37
299,subsidio,3.37
300,información,3.33
301,novio,3.33
302,vicepresidenta,3.33
303,sector,3.32
304,pfizer,3.31
305,acción,3.3
306,argentina,3.28
307,enfermedad,3.28
308,plaza norte,3.28
309,el salvador,3.27
310,latinoamérica,3.27
311,presencia,3.27
312,designación,3.26
313,mano,3.26
314,reforma,3.26
315,andrés lópez obrador,3.25
316,bebé,3.24
317,delincuente,3.24
318,fuego,3.24
319,reina,3.24
320,señal,3.22
321,vi,3.21
322,coordinación,3.18
323,elección,3.17
324,herido,3.17
325,delantero,3.16
326,geomalla,3.14
327,ciudad,3.12
328,josé carvallo,3.12
329,oechsle,3.12
