,Word,Ponderado
0,gustavo dulanto,5.63
1,fase 2,4.05
2,defensa,3.99
3,sheriff tiraspol,3.76
4,champions league,3.68
5,equipo,3.61
6,fecha,3.28
7,alejandro duarte,2.71
8,partido,2.67
9,jugador,2.3
10,objetivo,2.04
11,vida,1.93
12,grupo,1.9
13,real madrid,1.79
14,rival,1.72
15,portero,1.65
16,final,1.62
17,fútbol,1.61
18,volante,1.6
19,minuto,1.57
20,gol,1.54
21,temporada,1.49
22,victoria,1.46
23,punto,1.44
24,plantel,1.36
25,claudio torrejón,1.33
26,edición,1.33
27,entrenamiento,1.3
28,año,1.24
29,día,1.24
30,tabla,1.23
31,situación,1.12
32,oportunidad,1.11
33,posición,1.08
34,cabeza,1.07
35,fase,0.98
36,consecuencia,0.97
37,entrevista,0.96
38,karim benzema,0.96
39,jornada,0.95
40,actuación,0.93
41,compañero,0.93
42,duelo,0.92
43,juventus,0.9
44,nadie,0.9
45,sueño,0.9
46,sé que en algún momento,0.9
47,malmö,0.88
48,zenit,0.88
49,atlético grau,0.85
50,cristiano,0.85
51,hd,0.85
52,información,0.85
53,jesús oropesa dt,0.85
54,movistar,0.85
55,sintoniza,0.85
56,sport chavelines,0.85
57,suplente,0.84
58,noviembre,0.83
59,ronda,0.81
60,carlos bustos,0.8
61,sábado,0.8
62,domingo,0.79
63,declaración,0.78
64,dt,0.77
65,jugar,0.77
66,manera,0.77
67,encuentro,0.76
68,cara,0.75
69,nivel,0.75
70,viernes,0.75
71,observación,0.73
72,club,0.71
73,crema,0.71
74,eliminatorias sudamericanas,0.7
75,figura,0.68
76,josé carvallo,0.68
77,caída,0.67
78,arquero,0.66
79,doblete,0.66
80,balón de oro,0.65
81,comentario,0.65
82,cotejo,0.65
83,sheriff confío,0.65
84,cristiano ronaldo,0.64
85,presencia,0.64
86,resultado,0.64
87,fortaleza,0.63
88,mérito,0.63
89,penal,0.63
90,problema,0.63
91,61,0.62
92,sergio peña,0.62
93,trabajo,0.61
94,visita,0.61
95,torneo,0.6
96,h,0.59
97,mls,0.59
98,confirmado,0.57
99,competición,0.56
100,percy liza,0.56
101,talento,0.56
102,valoración,0.56
103,jesús oropesa,0.54
104,esfuerzo,0.53
105,balance,0.52
106,cabo,0.52
107,campeón,0.52
108,champions league no,0.52
109,eso,0.52
110,gregorio pérez  dt,0.52
111,seguridad,0.52
112,cambio,0.51
113,baja,0.5
114,cancha,0.5
115,martín távara,0.5
116,firmados,0.49
117,posibilidad,0.48
118,buen ritmo,0.47
119,esperanza,0.47
120,fase 2 estamos,0.47
121,vamos,0.47
122,trabajo para eso creo,0.46
123,aldo corzo,0.45
124,caballeros hernán barcos,0.45
125,campo,0.45
126,casemiro,0.45
127,compromiso,0.45
128,cruce,0.45
129,elemento,0.45
130,enfocados,0.45
131,etapa,0.45
132,juego,0.45
133,los mejores,0.45
134,mente,0.45
135,palabras,0.45
136,presente,0.45
137,top,0.45
138,yoshimar yotún,0.45
139,bien jugado,0.43
140,cuadro,0.43
141,los victorianos,0.43
142,octubre,0.43
143,todo,0.43
144,bienvenido,0.42
145,camiseta,0.42
146,confianza,0.42
147,ejercicio,0.42
148,exfutbolista,0.42
149,gerente deportivo,0.42
150,mejoro,0.42
151,paolo reyna,0.42
152,práctica,0.42
153,rafael villanueva,0.42
154,respaldo,0.42
155,técnico,0.42
156,colocación,0.41
157,copa libertadores,0.41
158,cupo,0.41
159,deseo,0.41
160,estoy,0.41
161,galardón,0.41
162,ganando,0.41
163,guerrero,0.41
164,jorginho,0.41
165,lado,0.41
166,merengues,0.41
167,obrero,0.41
168,posiciones jugadas,0.41
169,postura giorgio chiellini,0.41
170,quieren,0.41
171,seguir,0.41
172,ubicación,0.41
173,unidad,0.41
174,a los peruanos,0.4
175,balón,0.4
176,bandera,0.4
177,cariño,0.4
178,despejes,0.4
179,efectividad,0.4
180,estadísticas,0.4
181,fastidio,0.4
182,la gente del club,0.4
183,llegada,0.4
184,meta,0.4
185,octavo,0.4
186,perú,0.4
187,sensaciones,0.4
188,sensación,0.4
189,ansioso,0.39
190,gana,0.39
191,luis garcía,0.39
192,argentino,0.38
193,barrera,0.38
194,contra,0.38
195,dinamo kiev,0.38
196,el partido del psg,0.38
197,explicación,0.38
198,federico valverde,0.38
199,goleada bayern múnich,0.38
200,imagen,0.38
201,importante,0.38
202,lionel messi  tirado,0.38
203,manchester city,0.38
204,momento,0.38
205,robert lewandowski,0.38
206,ahora,0.37
207,altura,0.37
208,andy polo,0.37
209,arquerazo,0.37
210,copa américa 2019,0.37
211,delantero,0.37
212,estadística,0.37
213,feliz día hoy,0.37
214,golero,0.37
215,número,0.37
216,persona,0.37
217,portland timbers,0.37
218,puesto,0.37
219,banca,0.36
220,debut sergio peña,0.36
221,futuro,0.36
222,goal,0.36
223,instante,0.36
224,kylian mbappé,0.36
225,palabra,0.36
226,toni kroos,0.36
227,alexis blanco,0.35
228,argentina,0.35
229,artilleros,0.35
230,banda,0.35
231,benevento,0.35
232,bolivia,0.35
233,buscando la victoria,0.35
234,chile,0.35
235,cuéntanos,0.35
236,el último aliento con,0.35
237,enfado,0.35
238,fin,0.35
239,hambre,0.35
240,imposible,0.35
241,influencia,0.35
242,joao villamarín,0.35
243,lapagol,0.35
244,leonardo bonucci,0.35
245,manchester united,0.35
246,marlon de jesús  gabriel leyes,0.35
247,minutos,0.35
248,old trafford,0.35
249,partidazo,0.35
250,performance,0.35
251,san petersburgo,0.35
252,saque,0.35
253,semana,0.35
254,tanto,0.35
255,the athletic,0.35
256,thibaut courtois,0.35
257,tuvo,0.35
258,villarreal,0.35
259,vuelta,0.35
260,víctor perlaza,0.35
261,alexander callens,0.34
262,benfica,0.34
263,chicago fire,0.34
264,conferencia este,0.34
265,darwin núñez,0.34
266,el once,0.34
267,goleada barcelona,0.34
268,lugar,0.34
269,new york city,0.34
270,ronald koeman,0.34
271,visitante,0.34
272,clasificación,0.33
273,descenso,0.33
274,emoción,0.33
275,falta,0.33
276,lucha,0.33
277,pelea,0.33
278,título,0.33
279,1200 pm,0.32
280,capitán,0.32
281,debut,0.32
282,el club siempre me,0.32
283,elenco,0.32
284,empate,0.32
285,europa,0.32
286,fuerza,0.32
287,gianluigi donnarumma,0.32
288,gustavo dulanto  conéctate,0.32
289,invitado,0.32
290,ivan rakitic,0.32
291,keylor navas,0.32
292,lujo,0.32
293,peruano,0.32
294,presentación,0.32
295,psg,0.32
296,rescataron un punto,0.32
297,seguro,0.32
298,sevilla,0.32
299,sheriff,0.32
300,tiraspol,0.32
301,tontería,0.32
302,wolfsburgo,0.32
303,200 pm,0.31
304,banco,0.31
305,bayern múnich,0.31
306,comienzo,0.31
307,dc united,0.31
308,dinamo de kiev,0.31
309,edison flores,0.31
310,inicio,0.31
311,julian nagelsmann,0.31
312,minnesota united,0.31
313,previo,0.31
314,todo listo,0.31
315,yordy reyna,0.31
316,órden,0.31
317,ausencia,0.3
318,ceremonia,0.3
319,entrega,0.3
320,france football,0.3
321,ganador,0.3
322,lunes,0.3
323,revista,0.3
324,trofeo,0.3
325,chelsea,0.29
326,federico chiesa,0.29
327,gracia,0.29
328,lo justo,0.29
329,local,0.29
330,líder,0.29
331,vieja señora,0.29
