,Word,Ponderado
0,año,0.66
1,concierto,0.58
2,lapollarecords,0.58
3,policía,0.58
4,derecho,0.45
5,empresa,0.45
6,infracción,0.45
7,multa,0.45
8,sol,0.45
9,evaristo páramos,0.42
10,grupo,0.42
11,historia,0.42
12,película,0.42
13,tráiler,0.42
14,2008,0.41
15,actuación,0.41
16,chef,0.41
17,conductor,0.41
18,diario,0.41
19,el país de españa,0.41
20,gonzalo pajares,0.41
21,memorex,0.41
22,país,0.41
23,personajes del año,0.41
24,placer,0.41
25,programa,0.41
26,base,0.38
27,calidad,0.38
28,contaminant,0.38
29,importancia,0.38
30,medicina,0.38
31,paciente,0.38
32,reacción,0.38
33,#,0.36
34,banda,0.36
35,canción,0.36
36,director,0.36
37,lamulaproducciones,0.36
38,parte,0.36
39,vida,0.36
40,2003,0.35
41,2019,0.35
42,cultura,0.35
43,incremento,0.35
44,millón,0.35
45,peruanx,0.35
46,respecto,0.35
47,tonelada,0.35
48,cas,0.33
49,christian sánchez,0.33
50,contrato,0.33
51,control,0.33
52,derechoslaborales,0.33
53,diestra,0.33
54,email,0.33
55,estudio arbizu &amp gamarra,0.33
56,exministro,0.33
57,joven,0.33
58,merino de lama,0.33
59,muerto,0.33
60,noviembre,0.33
61,protesta,0.33
62,represión,0.33
63,servir,0.33
64,solicitud,0.33
65,toda esa labor de gestión de,0.33
