,Word,Ponderado
0,columna,2.53
1,lee,2.53
2,año,1.96
3,covid-19,1.83
4,persona,1.8
5,país,1.63
6,joven,1.61
7,celac,1.52
8,vacuna,1.46
9,hora,1.39
10,ee uu,1.26
11,setiembre,1.26
12,vacunación,1.23
13,chile,1.18
14,dosis,1.16
15,perú,1.1
16,jornada,1.09
17,vacunafest,1.09
18,cumbre,1.04
19,estado,1.04
20,nicolás maduro,1.04
21,president,1.01
22,sábado,1.01
23,mes,0.98
24,inmunización,0.91
25,minsa,0.89
26,millón,0.88
27,pago,0.87
28,lugar,0.84
29,semana,0.84
30,maduro,0.83
31,ataque,0.81
32,cusco,0.81
33,autor,0.8
34,establecimiento,0.8
35,méxico,0.8
36,presidente,0.8
37,salud,0.8
38,medida,0.79
39,uruguay,0.79
40,pandemia,0.78
41,lima,0.77
42,video,0.77
43,oechsle,0.76
44,seguridad,0.76
45,servicio,0.76
46,zona,0.76
47,buenos días,0.71
48,nuestra portada de hoy,0.71
49,terrorismo,0.71
50,unidos,0.71
51,"paula távara ""cascarones",0.68
52,españa,0.67
53,criptomoneda,0.66
54,independencia,0.64
55,parte,0.64
56,septiembre,0.64
57,ciudadano,0.63
58,sinopharm,0.63
59,venezuela,0.63
60,vía,0.63
61,detalle,0.62
62,mundo,0.62
63,evelin meza,0.61
64,paraguay,0.6
65,tasa,0.6
66,víctima,0.6
67,distrito,0.59
68,medio,0.59
69,nación,0.59
70,oportunidad,0.59
71,pueblo,0.59
72,aire,0.58
73,estados unidos,0.58
74,estrategia,0.58
75,gobierno,0.58
76,historia,0.58
77,kabul,0.58
78,libro,0.58
79,mercado,0.58
80,2020,0.57
81,calle,0.57
82,domingo,0.57
83,sjl,0.57
84,turismo,0.57
85,afganistán,0.56
86,apoyo,0.56
87,brigada,0.56
88,cámara,0.56
89,hombre,0.56
90,honor,0.56
91,mensaje,0.56
92,misión,0.56
93,notero,0.56
94,onda,0.56
95,participación,0.56
96,periodismo,0.56
97,recinto,0.56
98,reunión,0.56
99,salida,0.56
100,spacex,0.56
101,éxito,0.56
102,discurso,0.55
103,empresa,0.55
104,marcha,0.55
105,mujer,0.55
106,pese,0.55
107,pnp,0.55
108,robo,0.55
109,alerta,0.54
110,fiscalía,0.54
