,Word,Ponderado
0,población,0.78
1,decisión,0.77
2,setiembre,0.66
3,respecto,0.6
4,hospital,0.59
5,parlamentaria,0.58
6,ministro,0.56
7,beneficio,0.52
8,castillo,0.52
9,congresista,0.52
10,dosis,0.52
11,enfermedad,0.52
12,escenario,0.52
13,estados unidos,0.52
14,justicia,0.52
15,reunión,0.5
16,miércoles,0.48
17,edición,0.45
18,fin,0.45
19,lourdes túpac yupanqui,0.45
20,martín riepl,0.45
21,semana,0.45
22,analista,0.42
23,dato,0.42
24,open covid,0.42
25,papel,0.42
26,vacuna,0.42
27,anciana,0.38
28,autorización,0.38
29,el hombre de 30 años,0.38
30,empresa,0.38
31,entidad,0.38
32,estafa,0.38
33,mujer,0.38
34,médico,0.38
35,préstamo,0.38
36,rebagliati,0.38
37,sbs,0.38
38,tocamiento,0.38
39,avanza país,0.37
40,bancada,0.37
41,congresista yarrow,0.37
42,interpelación,0.37
43,maraví,0.37
44,año,0.35
45,cristo moreno,0.35
46,fieles,0.35
47,iglesia de las nazarenas,0.35
48,imagen,0.35
49,octubre,0.35
50,procesión,0.35
51,señor de los milagros,0.35
52,camisea,0.32
53,campaña,0.32
54,durand guevara,0.32
55,elección,0.32
56,guido bellido,0.32
57,jefe de estado,0.32
58,juntos por el perú,0.32
59,keiko fujimori,0.32
60,mal,0.32
61,medida,0.32
62,miedo,0.32
63,minería,0.32
64,ministra durand,0.32
65,nobel,0.32
66,país,0.32
67,propuesta,0.32
68,tema,0.32
69,terrones,0.32
70,vargas llosa,0.32
71,captura,0.3
72,cita,0.3
73,contumaz,0.3
74,katy ugarte,0.3
75,nivel,0.3
76,perú libre,0.3
77,poder judicial,0.3
78,reo,0.3
79,órden,0.3
80,abdomen,0.29
81,alusión,0.29
82,asalto,0.29
83,bus,0.29
84,canciller maúrtua,0.29
85,chofer,0.29
86,disparo,0.29
87,examen,0.29
88,expresión,0.29
89,familia,0.29
90,hombre,0.29
91,ladrón,0.29
92,nicolás maduro,0.29
93,padre,0.29
94,parte,0.29
95,pecho,0.29
96,pedro castillo  lizarzaburu,0.29
97,profesor,0.29
98,resultado,0.29
99,vecino,0.29
100,vida,0.29
101,bancada de perú libre,0.28
102,canciller,0.28
103,chávez,0.28
104,cotización,0.28
105,declaración,0.28
106,divisa,0.28
107,dólar,0.28
108,inicio,0.28
109,jornada,0.28
110,maduro,0.28
111,maúrtua,0.28
112,mercado,0.28
113,parlamento,0.28
114,pese,0.28
115,precio,0.28
116,renuncia,0.28
117,respuesta,0.28
118,sol,0.28
119,venta,0.28
120,vicecanciller,0.28
121,volatilidad,0.28
122,barranca,0.26
123,epicentro,0.26
124,igp,0.26
125,información,0.26
126,kilómetro,0.26
127,lima,0.26
128,magnitud,0.26
129,perú,0.26
130,provincia,0.26
131,sismo,0.26
132,supe puerto,0.26
133,suroeste,0.26
134,temblor,0.26
