,Word,Ponderado
0,perú,0.95
1,ecuador,0.9
2,triunfo,0.88
3,selección peruana  femenina,0.7
4,serie,0.67
5,fecha,0.62
6,chile,0.58
7,inderbarranca,0.58
8,modalidad,0.58
9,team perú,0.58
10,tw/,0.58
11,vamos,0.58
12,estadio banco guayaquil de quito,0.52
13,vamo,0.52
14,camiseta,0.5
15,getty images,0.5
16,inter de milán,0.5
17,puntaje,0.5
18,bosnia,0.42
19,equipo,0.42
20,fifa a,0.42
21,nerman fatic,0.42
22,nico álvarez,0.42
23,quito,0.42
24,selección peruana femenina,0.42
25,vamos chicas,0.42
26,bosnio,0.38
27,dzumhur,0.38
28,el tenista peruano,0.38
29,juan pablo varillas,0.38
30,set,0.38
31,encuentro,0.32
32,esfuerzo,0.32
33,fifa,0.32
34,final,0.32
35,martes,0.32
36,partido,0.32
37,próximo,0.32
38,quito nuestra,0.32
