,Word,Ponderado
0,presidente,20.77
1,país,12.71
2,año,9.7
3,celac,8.6
4,pueblo,8.48
5,gobierno,8.19
6,crisis,7.38
7,persona,6.8
8,vacuna,6.46
9,→,6.45
10,pandemia,6.29
11,nación,5.72
12,cambio,5.21
13,región,5.18
14,sábado,5.12
15,migrant,5.08
16,integración,4.77
17,ministro,4.49
18,serie,4.41
19,mundo,4.38
20,eeuu,4.2
21,cumbre,4.15
22,organismo,3.84
23,día,3.72
24,mujer,3.72
25,semana,3.67
26,propuesta,3.66
27,américa latina,3.6
28,acuerdo,3.58
29,estado,3.58
30,vi cumbre de la celac,3.54
31,medida,3.49
32,policía,3.48
33,vida,3.46
34,economía,3.44
35,democracia,3.42
36,domingo,3.42
37,primer,3.41
38,tema,3.37
39,necesidad,3.3
40,méxico,3.27
41,objetivo,3.26
42,momento,3.25
43,oea,3.24
44,plan,3.22
45,unión,3.22
46,fin,3.21
47,niña,3.2
48,población,3.2
49,representante,3.17
50,desarrollo,3.15
51,llegada,3.09
52,parte,3.07
53,bolivia,3.02
54,mandatario,3.01
55,frontera,2.98
56,problema,2.92
57,latinoamérica,2.85
58,texas,2.84
59,familia,2.83
60,canciller,2.8
61,niño,2.73
62,fuerza,2.71
63,acceso,2.7
64,relación,2.69
65,infraestructura,2.68
66,entérate,2.67
67,futuro,2.67
68,reportaje,2.67
69,sur,2.67
70,vivencia,2.67
71,campamento,2.63
72,trabajo,2.63
73,china,2.58
74,importancia,2.57
75,vuelo,2.57
76,tiempo,2.54
77,mes,2.52
78,covid-19,2.48
79,entrevista,2.46
80,mayoría,2.44
81,seguridad,2.44
82,/cc,2.41
83,política,2.41
84,el caribe,2.4
85,estrategia,2.37
86,escuela,2.32
87,caribe,2.29
88,dz,2.29
89,linfoma,2.29
90,sistema,2.28
91,cuba,2.26
92,mensaje,2.26
93,sudamérica,2.25
94,manera,2.24
95,denis moncada,2.22
96,violación,2.2
97,centroamérica,2.18
98,onu,2.18
99,reunión,2.18
100,submarino,2.16
101,deportación,2.15
102,ecuador,2.14
103,grupo,2.12
104,hombre,2.12
105,ciudadano,2.09
106,interés,2.09
107,la tierra,2.09
108,líder,2.08
109,contra,2.07
110,situación,2.07
111,caso,2.03
112,millón,2.03
113,salud,2.03
