,Word,Ponderado
0,josé távara,2.45
1,persona,2.27
2,estudio,2.02
3,año,1.4
4,actividad,1.38
5,concentración,1.32
6,paso,1.32
7,muerte,1.24
8,economista,1.21
9,competencia,1.12
10,día,1.11
11,investigador,1.08
12,país,1.03
13,probabilidad,1.0
14,covid-19,0.99
15,mercado,0.96
16,relación,0.94
17,consejo directivo,0.9
18,oligopolio,0.9
19,entrevista,0.89
20,exdirectivo,0.88
21,posibilidad,0.88
22,vida,0.86
23,julián palacín,0.85
24,medio,0.85
25,empresa,0.84
26,vacunación,0.84
27,policía,0.8
28,organización,0.79
29,cantidad,0.72
30,reforma,0.72
31,informe,0.71
32,investigación,0.71
33,acuerdo,0.7
34,violencia,0.7
35,capacidad,0.69
36,ejercicio,0.68
37,távara,0.68
38,hora,0.67
39,longevidad,0.67
40,dosis,0.66
41,edad,0.66
42,hombre,0.66
43,mujer,0.66
44,autonomía,0.65
45,consecuencia,0.65
46,experiencia,0.65
47,fuerza,0.65
48,institución,0.65
49,poder,0.65
50,riesgo,0.65
51,enfermedad,0.64
52,campaña,0.63
53,crisis,0.63
54,punto,0.63
55,tema,0.63
56,debate,0.62
57,pesar,0.62
58,sars-cov-2,0.62
59,transmisión,0.62
60,josé távara martin,0.61
61,situación,0.61
62,proceso,0.6
63,razón,0.6
64,renuncia,0.6
65,familia,0.59
66,hogar,0.59
67,política,0.59
68,cargo,0.58
69,caso,0.58
70,espacio,0.58
71,iván clemente,0.58
72,comunidad,0.57
73,democracia,0.57
74,enfermero,0.57
75,grupo,0.57
76,guía,0.57
77,respuesta,0.57
78,vacuna,0.57
79,exjuez,0.55
80,perú,0.53
81,fondo,0.42
82,la necesidad de contar,0.42
83,postura,0.42
84,costumbre,0.41
85,mayo clinic proceedings,0.41
86,revista,0.41
87,calidad,0.4
88,compañía,0.4
89,ejemplo,0.4
90,estadounidense,0.4
91,ganancia,0.4
92,gente,0.4
93,norma,0.4
94,regla,0.4
95,salud,0.4
96,servicio,0.4
97,2020,0.39
98,aclara,0.39
99,asesinato,0.39
100,comunicación,0.39
101,crimen,0.39
102,defensor,0.39
103,el año 2002,0.39
104,empresariado,0.39
105,participante,0.39
106,abstenerse,0.38
107,conflicto,0.38
108,congresista,0.38
109,control,0.38
110,decencia,0.38
111,incremento,0.38
112,interés,0.38
113,miembro,0.38
114,mundo,0.38
115,mérito,0.38
116,sector,0.38
117,vacunado,0.38
118,choque,0.37
119,derecho,0.37
120,director,0.37
121,entidad,0.37
122,estado,0.37
123,falta,0.37
124,firmeza,0.37
125,gusto,0.37
126,liderazgo,0.37
127,brecha,0.35
128,brigada,0.35
129,calificación,0.35
130,ciudadanía,0.35
131,fin,0.35
132,función,0.35
133,gerente,0.35
134,gobierno regional,0.35
135,inmueble,0.35
136,inmunización,0.35
137,integrante,0.35
138,juicio,0.35
139,los terribles de la impunidad,0.35
140,madrugada,0.35
141,operativo,0.35
142,organismo,0.35
143,poder judicial,0.35
144,presidente,0.35
145,provincia,0.35
146,salud javier ramírez escobar,0.35
147,trayectoria,0.35
148,2019,0.34
149,aborto,0.34
150,abuso,0.34
151,acto,0.34
152,ciclismo,0.34
153,consigna,0.34
154,cártel,0.34
155,debilitamiento,0.34
156,deliberación,0.34
157,demostración,0.34
158,deporte,0.34
159,desigualdad,0.34
160,dominio,0.34
161,eficiencia,0.34
162,expresión,0.34
163,incentivo,0.34
164,innovación,0.34
165,insulto,0.34
166,insurgencia,0.34
167,intervención,0.34
168,libertad,0.34
169,los combatientes,0.34
170,lugar de la memoria,0.34
171,líder,0.34
172,madre,0.34
173,minuto,0.34
174,niña,0.34
175,posición,0.34
176,propiedad,0.34
177,rango,0.34
178,realidad,0.34
179,resultado,0.34
180,semana,0.34
181,sociedad,0.34
182,superar,0.34
183,tanto,0.34
184,tenis,0.34
185,torno,0.34
186,trote,0.34
187,apurímac,0.33
188,ayacucho,0.33
189,camino,0.33
190,dato,0.33
191,mortalidad,0.33
192,número,0.33
193,oreja de perro,0.33
194,territorio,0.33
195,zona,0.33
196,abogado,0.32
197,alimento,0.32
198,allanamiento,0.32
199,cadena,0.32
200,capitán,0.32
201,caviar,0.32
202,cemento,0.32
203,cerveza,0.32
204,comercio,0.32
205,designación,0.32
206,detenido,0.32
207,discusión,0.32
208,el perú,0.32
209,emiliano ramos álvarez,0.32
210,escuela,0.32
211,farmacias,0.32
212,ferretería,0.32
213,henry villar,0.32
214,luis garcía robles,0.32
215,militante,0.32
216,negocio,0.32
217,perú libre,0.32
218,regulación,0.32
219,rubro,0.32
220,supermercado,0.32
221,yuri vargas medina,0.32
222,ámbito,0.32
223,abogada,0.31
224,arequipa,0.31
225,ciudadano,0.31
226,clarys cárdenas,0.31
227,cloro,0.31
228,cuenta,0.31
229,cura,0.31
230,discriminación,0.31
231,dióxido,0.31
232,eva joly,0.31
233,hecho,0.31
234,impacto,0.31
235,impuesto,0.31
236,latinoamérica,0.31
237,lima,0.31
238,mascarilla,0.31
239,multimillonario,0.31
240,médicos por la verdad,0.31
241,paraíso,0.31
242,piura,0.31
243,plantón,0.31
244,plaza,0.31
245,tacna,0.31
246,tumbes,0.31
247,alberto florez,0.3
248,amenaza,0.3
249,anunciant,0.3
250,chungui ayacucho,0.3
251,consumidor,0.3
252,economía,0.3
253,elector,0.3
254,enfermería,0.3
255,huamanga,0.3
256,importancia,0.3
257,médico,0.3
258,parte,0.3
259,plataforma,0.3
260,político,0.3
261,puesto,0.3
262,solo,0.3
263,terrorismo,0.3
264,tiempo,0.3
265,virus,0.3
266,vraem,0.3
267,óscar huamán lima,0.3
268,2014,0.29
269,cambio,0.29
270,cohecho,0.29
271,colaborador,0.29
272,exgobernador,0.29
273,favor,0.29
274,fiscal,0.29
275,habeas corpus,0.29
276,influencia,0.29
277,inhabilitación,0.29
278,ministerio público,0.29
279,prisión,0.29
280,ramos álvarez,0.29
281,sentencia,0.29
282,soborno,0.29
283,tráfico,0.29
284,veruska lópez,0.29
285,ángel unchupaico,0.29
286,adolescente,0.28
287,columna,0.28
288,desafío,0.28
289,desarrollo,0.28
290,integración,0.28
291,investigadora,0.28
292,marta castro,0.28
293,niño,0.28
294,refugiado,0.28
295,venezolano,0.28
