,Word,Ponderado
0,detalle,7.76
1,video,4.0
2,mes,1.81
3,país,1.81
4,mar,1.79
5,delincuente,1.7
6,sujeto,1.65
7,vez,1.65
8,agua,1.6
9,vecinos,1.58
10,vida,1.57
11,ladrón,1.51
12,luz,1.5
13,miércoles,1.49
14,semana,1.49
15,delincuencia,1.46
16,perú,1.38
17,robo,1.31
18,ciudadanía,1.3
19,gas,1.29
20,prueba,1.22
21,inseguridad,1.21
22,acuerdo,1.19
23,dosis,1.11
24,peruano,1.11
25,salud,1.1
26,señor de los milagros,1.08
27,atención,1.06
28,hombre,1.03
29,octubre,1.03
30,profesor,1.02
31,reunión,1.01
32,audiencia,1.0
33,auto,1.0
34,año,1.0
35,día,1.0
36,hora,1.0
37,ii encuentro,1.0
38,muerte,1.0
39,migraciones,0.99
40,mujer,0.98
41,cusco,0.95
42,clase,0.94
43,colegio,0.94
44,vecino,0.94
45,pintura,0.9
46,tarde,0.9
47,zona,0.9
48,independencia,0.89
49,volcán,0.88
50,trabajador,0.85
51,vídeo,0.85
52,corte,0.82
53,gobierno,0.8
54,lima,0.8
55,pizzería,0.8
56,cerrón,0.78
57,setiembre,0.76
58,video seductoras,0.76
59,consejo,0.74
60,píldora,0.74
61,cifras,0.73
62,torta,0.73
63,concurso,0.71
64,fortalecerá,0.71
65,gato,0.71
66,juguería,0.71
67,pareja,0.71
68,video  spiderman monse,0.71
69,noticia,0.69
70,champions,0.67
71,hazaña,0.67
72,manchester,0.67
73,testimonio,0.67
74,triunfo,0.67
75,versión,0.67
76,cerveza,0.66
77,atlanta,0.64
78,azar,0.64
79,calle,0.64
80,hijo,0.64
81,padre,0.64
82,san martín de porres,0.64
83,iquitos,0.63
84,marzo,0.63
85,preocupación,0.63
86,merced,0.62
87,capital,0.61
88,joven,0.61
89,liderazgo,0.61
90,millón,0.61
91,problema,0.61
92,procesión,0.61
93,alimento,0.6
94,aplicación,0.6
95,caso,0.6
96,corpus,0.6
97,covid-19,0.6
98,día mundial del corazón,0.6
99,habea,0.6
100,joyería,0.6
101,mediodía,0.6
102,obrero,0.6
103,pelé,0.6
104,protocolo,0.6
105,recuperación,0.6
106,sesión,0.6
107,trujillo,0.6
108,acusación,0.59
109,congreso,0.59
110,descuento,0.59
111,galardón,0.59
112,gobiernos,0.59
113,lugar,0.59
114,medio,0.59
115,premio nacional de la calidad 2021,0.59
116,val,0.59
117,vándalo,0.59
118,bermejo,0.58
119,cama,0.58
120,censura,0.58
121,covid-19 señalan,0.58
122,espectáculo,0.58
123,estudiante,0.58
124,evento,0.58
125,iber maraví,0.58
126,justicia,0.58
127,las picantitas,0.58
128,pinta,0.58
129,prensa,0.58
130,tefi valenzuela,0.58
131,u,0.58
132,uci,0.58
133,video muerte,0.58
134,vídeo avanza país,0.58
135,2021,0.57
136,cuadro,0.57
137,estatua,0.57
138,homenaje,0.57
139,residentes,0.57
140,tierra,0.57
141,arrastre,0.56
142,atentado,0.56
143,caricia,0.56
144,casa,0.56
145,condición,0.56
146,cuidado mujeres,0.56
147,dulanto,0.56
148,experto,0.56
149,hermetismo,0.56
150,historia,0.56
151,madrid,0.56
152,niño,0.56
153,parroquiano,0.56
154,personaje,0.56
155,región,0.56
156,respecto,0.56
157,tragedia,0.56
158,vehículo,0.56
159,erupción,0.53
160,magma,0.53
161,restaurante,0.53
162,salamanca,0.53
163,abogado,0.52
164,alejandro toledo,0.52
165,consejo de ministros,0.52
166,etapa,0.52
167,guido bellido,0.52
168,hábeas corpus,0.52
169,inicio,0.52
170,comando,0.51
171,integrante,0.51
172,mario vargas llosa,0.51
173,martillazo,0.51
174,pedro castillo,0.51
175,primaria,0.51
176,tucuy ricuy,0.51
177,así,0.5
178,aviación,0.5
179,bdp,0.5
180,brevet,0.5
181,captura,0.5
182,chofer,0.5
183,cocaína,0.5
184,congresista,0.5
185,contumaz,0.5
186,cooperación,0.5
187,distribución,0.5
188,emisión,0.5
189,europa,0.5
190,gerencia regional de transportes,0.5
191,gobierno peruano,0.5
192,iata,0.5
193,juliaca,0.5
