,Word,Ponderado
0,video,6.35
1,covid-19,3.13
2,pedro castillo,2.9
3,año,2.78
4,opinión,2.54
5,lima,2.34
6,perú,2.23
7,setiembre,2.1
8,fotos,2.0
9,méxico,1.58
10,lunes,1.57
11,caso,1.55
12,sábado,1.55
13,cuerpo,1.53
14,guido bellido,1.53
15,presidente,1.45
16,resto,1.39
17,restricción,1.35
18,persona,1.32
19,perú libre,1.31
20,mensaje,1.3
21,enfrentamiento,1.28
22,abimael guzmán,1.25
23,“,1.23
24,dolor,1.22
25,hermanos,1.22
26,red,1.18
27,prisión,1.15
28,terrorismo,1.15
29,castillo,1.14
30,maduro,1.14
31,ministro,1.12
32,sueldo,1.12
33,cantante,1.07
34,fuego,1.06
35,traje,1.04
36,peruano,1.02
37,clase,1.01
38,expectativa,1.0
39,juventus,1.0
40,matthijs de ligt,1.0
41,mino raiola,1.0
42,salida,1.0
43,estado,0.99
44,sueño,0.97
45,aldo corzo,0.96
46,inicio,0.95
47,áncash,0.95
48,trabajo,0.94
49,novio,0.92
50,campaña,0.91
51,constitución,0.91
52,lionel messi,0.91
53,psg,0.91
54,el perú,0.89
55,mar,0.89
56,familia,0.87
57,padre,0.87
58,gira,0.86
59,salud,0.86
60,vacunafest,0.86
61,partido,0.85
62,la voz senior,0.84
63,mes,0.84
64,millón,0.84
65,tony succar,0.84
66,relación,0.83
67,”,0.82
68,estudio,0.81
69,facebook,0.81
70,ley,0.81
71,vacunación,0.8
72,vida,0.8
73,carlos bruce paso,0.79
74,gobierno,0.79
75,llanto,0.79
76,cortita,0.78
77,chofer,0.77
78,scooter,0.77
79,país,0.76
80,christian bravo entrevista,0.73
81,eduin caz,0.73
82,reducción,0.73
83,s/30,0.73
84,miembro,0.72
85,anime,0.71
86,cero,0.71
87,concepto,0.71
88,concierto,0.71
89,darwin urquizo la constituyente,0.71
90,dragon ball,0.71
91,futuro,0.71
92,gamers,0.71
93,horario,0.71
94,los ángeles azules,0.71
95,límite,0.71
96,medicamento,0.71
97,precio,0.71
98,premios emmy,0.71
99,tacna menores,0.7
100,andrés lópez obrador,0.66
101,consejo permanente de la oea,0.66
102,último consejo permanente de la oea,0.66
103,narrativa,0.63
104,videojuego,0.63
105,calle,0.62
106,vehículo,0.62
107,morales,0.61
108,cieneguilla,0.6
109,zona,0.6
110,afán,0.58
111,avelino guillén policía nacional,0.58
112,bono yanapay perú,0.58
113,capítulo,0.58
114,celac,0.58
115,evo morales,0.58
116,exfiscal,0.58
117,identidad,0.58
118,narcojuniors,0.58
119,narcos méxico,0.58
120,netflix,0.58
121,novela,0.58
122,origen,0.58
123,pablo cermeño,0.58
124,película,0.58
125,problema,0.58
126,provecho,0.58
127,reliquia,0.58
128,retorno,0.58
129,riñones cinco,0.58
130,señal,0.58
131,sol,0.58
132,subsidio,0.58
133,supremo,0.58
134,sylvester stallone,0.58
135,tratado de asistencia recíproca,0.58
136,truco,0.58
137,video el traje de castillo no,0.58
138,cañete,0.57
139,distrito,0.57
140,argentina,0.56
141,coronavirus,0.56
142,muerte,0.56
143,asamblea constituyente,0.55
144,césar luna victoria,0.55
145,firma,0.55
146,lecciones sobre violencia de género,0.55
147,sonia chirinos,0.55
148,lesly reyna,0.54
149,miss,0.54
150,abrahan levy el,0.53
151,agujero,0.53
152,apoyo,0.53
153,bosnia y herzegovina,0.53
154,cabecilla,0.53
155,copa davis,0.53
156,cremarán,0.53
157,daniela darcourt,0.53
158,jerry rivera,0.53
159,josé carvallo,0.53
160,juego,0.53
161,ozono,0.53
162,planillones,0.53
163,premier,0.53
164,comisión de ética,0.52
165,denuncia,0.52
166,estados unidos,0.52
167,infraestructura,0.52
168,jugador,0.52
169,migrant,0.52
170,mujer,0.52
171,puente,0.52
172,s/3 mllns,0.52
173,sesión,0.52
174,temporada,0.52
175,william levy,0.52
176,adicción,0.51
177,beatriz alva hart,0.51
178,colegio,0.51
179,comentario,0.51
180,entrevista,0.51
181,españa joven,0.51
182,estela de chavín,0.51
183,fortnite,0.51
184,greys anatomy,0.51
185,hernán barcos,0.51
186,instagram video,0.51
187,mincul,0.51
188,miraflores,0.51
189,movadef,0.51
190,patrick dempsey,0.51
191,pequeños,0.51
192,producción,0.51
193,región,0.51
194,chavo,0.5
195,contencioso administrativo,0.5
196,designación,0.5
197,deudos,0.5
198,empate,0.5
199,eva,0.5
200,fiscalía suprema,0.5
201,funcionario,0.5
202,gloria gómez,0.5
203,godínez,0.5
204,informe,0.5
205,manchester city,0.5
206,mantenimiento,0.5
207,melissa paredes,0.5
208,milena zárate,0.5
209,nombre,0.5
210,pasión de gavilanes,0.5
211,personaje,0.5
212,perú película,0.5
213,pista,0.5
214,plaza norte,0.5
215,premier league dt,0.5
216,reinas,0.5
217,revelación,0.5
218,rodaje,0.5
219,show,0.5
220,tarapoto,0.5
221,tiempo,0.5
222,tomás gálvez dan,0.5
223,transformers,0.5
224,trayectoria,0.5
225,tráiler,0.5
226,you” temporada 3,0.5
227,agenda,0.49
228,imagen,0.49
229,pedro castillo esta,0.49
230,aglomeración,0.48
231,autora,0.48
232,caso odebrecht,0.48
233,congreso de la república,0.48
234,eeuu,0.48
235,este,0.48
236,exgobernador,0.48
237,flor salvador conoce,0.48
238,félix moreno fiscalía,0.48
239,nacional,0.48
240,reconciliación,0.48
241,richard arce,0.48
242,semana de representación,0.48
243,adolescente,0.47
244,ajedrez,0.47
245,ambiental,0.47
246,aquí,0.47
247,botadero,0.47
248,callao,0.47
249,caída,0.47
250,chris pérez,0.47
251,concurso,0.47
252,contagio,0.47
253,contaminación,0.47
254,corona,0.47
255,deceso,0.47
256,detalle,0.47
257,escolar,0.47
258,estás,0.47
259,hora,0.47
260,instagram,0.47
261,jornada,0.47
262,la muyuna,0.47
263,minsa,0.47
264,nasa,0.47
265,panamericana,0.47
266,segundo,0.47
267,selena quintanilla,0.47
268,serie,0.47
269,sheyla rojas,0.47
270,skate,0.47
271,abimael guzmán fiscalía,0.46
272,adriano,0.46
273,agresión,0.46
274,ander herrera,0.46
275,apurímac,0.46
276,bala,0.46
277,banda,0.46
278,bloqueo,0.46
279,carne,0.46
280,christian bravo,0.46
281,conductora,0.46
282,corte,0.46
283,delincuente,0.46
284,derrumbe,0.46
285,destino,0.46
286,diligencia,0.46
287,dirigencia,0.46
288,disposición,0.46
289,ejemplo,0.46
290,esposa,0.46
291,establecimiento,0.46
292,expareja,0.46
293,fin,0.46
294,fraude,0.46
295,funcionamiento,0.46
296,hija,0.46
297,hijo,0.46
298,hombre,0.46
299,huancavelica,0.46
300,lamento,0.46
301,nicola porcella,0.46
302,oposición,0.46
303,oxígeno,0.46
304,pinturita,0.46
305,planta,0.46
306,playa,0.46
307,pugna,0.46
308,rusia,0.46
309,semana,0.46
310,smp joven,0.46
311,sofía franco revelan,0.46
312,tránsito,0.46
313,vestuario,0.46
314,yuyos,0.46
315,álvaro paz de la barra,0.46
316,1993,0.45
317,2021,0.45
318,academia,0.45
319,acoso,0.45
320,actriz,0.45
321,adelanto,0.45
322,agente,0.45
323,ataque,0.45
324,bayern múnich,0.45
325,bochum,0.45
326,callao estas,0.45
327,candidata,0.45
328,china,0.45
329,clima,0.45
330,colon,0.45
331,congreso perú libre,0.45
332,consulado,0.45
333,cáncer,0.45
334,decisión,0.45
335,destitución,0.45
336,domingo,0.45
337,edgar alarcón servir,0.45
338,eeg,0.45
339,elecciones generales,0.45
340,excontralor,0.45
341,explosivo,0.45
342,futbolista,0.45
343,ganador,0.45
344,goleada,0.45
345,hábito,0.45
346,incursión,0.45
347,ingalls,0.45
348,jne un,0.45
349,jonathan dos santos,0.45
350,jordana brewster,0.45
351,lewandowski,0.45
352,luciana fuster,0.45
353,mal,0.45
354,mason morfit,0.45
355,melissa gilbert,0.45
356,norma,0.45
357,patada,0.45
358,patricio parodi,0.45
359,política,0.45
360,premier league,0.45
361,proyecto,0.45
362,referéndum,0.45
363,regreso,0.45
364,rusia video,0.45
365,rápidos,0.45
366,récord,0.45
367,río de janeiro,0.45
368,segunda división de inglaterra video,0.45
369,senamhi,0.45
370,septiembre,0.45
371,sorteo,0.45
372,temperatura,0.45
373,transgresión,0.45
374,universitario,0.45
375,violenta,0.45
376,yan ken po,0.45
377,árbitro,0.45
378,bolivia,0.44
379,botella,0.44
380,cuba,0.44
381,hawái,0.44
382,homólogo,0.44
383,japón,0.44
384,oechsle,0.44
385,vigilante,0.44
386,brigada,0.43
387,cevallos,0.43
388,coordinación,0.43
389,derechos,0.43
390,edición,0.43
391,equipo,0.43
392,género,0.43
393,humanos,0.43
394,igualdad,0.43
395,inmunización,0.43
396,madre,0.43
397,pago,0.43
398,perú21,0.43
399,portada,0.43
400,protección,0.43
401,sorpresa,0.43
402,tasa,0.43
403,camila,0.42
404,frente,0.42
405,gabriel ortiz de zevallos,0.42
406,keiko fujimori,0.42
407,nieta,0.42
408,oscuridad,0.42
409,pro,0.42
410,rumbo,0.42
411,sendero luminoso,0.42
412,simpatizante,0.42
413,terror,0.42
414,vicente fernández,0.42
415,aficionado,0.41
416,aio 24,0.41
417,amd ryzen 7,0.41
418,amor,0.41
