,Word,Ponderado
0,perú,2.93
1,país,2.57
2,presidente,2.45
3,año,2.3
4,hora,2.0
5,vacunación,1.92
6,covid-19,1.89
7,partido,1.79
8,setiembre,1.77
9,fecha,1.7
10,jornada,1.62
11,pedro castillo,1.61
12,día,1.57
13,video,1.56
14,serie,1.5
15,minuto,1.47
16,persona,1.42
17,gobierno,1.33
18,celac,1.31
19,vez,1.28
20,canal,1.24
21,sábado,1.22
22,vivo,1.2
23,joven,1.17
24,vs,1.16
25,septiembre,1.15
26,mundo,1.09
27,lima,1.08
28,2022,1.07
29,norma,1.07
30,abimael guzmán,1.05
31,prisión,1.04
32,chile,0.99
33,hecho,0.98
34,mes,0.96
35,netflix,0.96
36,cantante,0.95
37,relación,0.92
38,cambio,0.9
39,empresa,0.9
40,gestión,0.9
41,bosnia y herzegovina,0.89
42,minsa,0.89
43,vacuna,0.89
44,cuerpo,0.87
45,república,0.87
46,cremación,0.86
47,méxico,0.85
48,poder,0.85
49,salud,0.85
50,parte,0.84
51,s/,0.83
52,atención,0.82
53,derecho,0.81
54,distrito,0.81
55,lugar,0.8
56,restricción,0.79
57,lista,0.78
58,capital,0.76
59,mantenimiento,0.76
60,app,0.74
61,temporada,0.72
62,actor,0.71
63,chofer,0.71
64,medida,0.71
65,scooter,0.71
66,venganza,0.71
67,equipo,0.7
68,público,0.7
69,casma,0.69
70,documento,0.69
71,sujeto,0.69
72,artista,0.68
73,desarrollo,0.68
74,gasto,0.68
75,punto,0.68
76,caso,0.67
77,pfizer,0.67
78,peruano,0.66
79,uci,0.66
80,crystal palace,0.65
81,discriminación,0.65
82,operativo,0.65
83,premier league,0.65
84,junior,0.64
85,liga betplay,0.64
86,nacional,0.64
87,tecnología,0.64
88,truco,0.64
89,ancashaldia,0.63
90,bono yanapay perú,0.63
91,historia,0.63
92,cartilla,0.62
93,exigencia,0.62
94,hernando cevallos,0.62
95,inmunización,0.62
96,millón,0.62
97,muerte,0.62
98,tasa,0.62
99,camino,0.61
100,cuidado,0.61
101,customer journey,0.61
102,el perú,0.61
103,entrada,0.61
104,agrupación,0.6
105,discurso,0.6
106,familia,0.6
107,herido,0.6
108,información,0.6
109,razón,0.6
110,vacunafest,0.6
111,cabecilla,0.59
112,enfermero,0.59
113,espinoza llerena,0.59
114,gira,0.59
115,jueves,0.59
116,ley,0.59
117,lunes,0.59
118,ciudad,0.58
119,edad,0.58
120,educación,0.58
121,manera,0.58
122,mejora,0.58
123,partir,0.58
124,pedido,0.58
125,políticas,0.58
126,resto,0.58
127,semana,0.58
128,transmisión,0.58
129,arequipa,0.57
130,cumbre,0.57
131,estado,0.57
132,hombre,0.57
133,rusia,0.57
134,viernes,0.57
135,banco central de reserva,0.56
136,chimbote,0.56
137,congresista,0.56
138,espn,0.56
139,evento,0.56
140,fuego,0.56
141,julio velarde,0.56
142,liga profesional de argentina,0.56
143,llama,0.56
144,ministro,0.56
145,minuto a minuto,0.56
146,sistema,0.56
147,comentario,0.55
148,copa davis,0.55
149,cupo,0.55
150,grupo,0.55
151,juan pablo varillas,0.55
152,responsabilidad,0.55
153,tema,0.55
154,tumbes,0.55
155,banda,0.54
156,centro,0.54
157,obra,0.54
158,red,0.54
159,sendero luminoso,0.54
160,sudamericano de vóley,0.54
161,terrorista,0.54
162,vía,0.54
163,campeonato sudamericano de vóley,0.53
164,eeuu,0.53
165,precio,0.53
166,acuerdo,0.52
167,limpieza,0.52
168,callao,0.51
169,estafa,0.51
170,instagram,0.51
171,servicio,0.51
172,tipo,0.51
173,athletic,0.48
174,atlético de madrid,0.48
175,laliga,0.48
176,le,0.47
177,período,0.47
178,2030,0.46
179,agua,0.46
180,bancos,0.46
181,cobertura,0.46
182,código,0.46
183,finanza,0.46
184,peligro,0.46
185,sedapal,0.46
186,billboard,0.45
187,castillo,0.45
188,comité,0.45
189,confinamiento,0.45
190,ejecutiva,0.45
191,fda,0.45
192,internet,0.45
193,maduro,0.45
194,morales el perú,0.45
195,refuerzo,0.45
196,silencio,0.45
197,tiempo,0.45
198,traje,0.45
199,valenzuela,0.45
200,verdad,0.45
201,américa televisión,0.44
202,fiscalía anticorrupción de lambayeque,0.44
203,gala,0.44
204,reality,0.44
205,sociedad de beneficencia,0.44
206,aula,0.43
207,copa davis perú,0.43
208,entrega,0.43
209,niño,0.43
210,padre,0.43
211,participación,0.43
212,patrick dempsey,0.43
213,qualifiers,0.43
214,temor,0.43
215,torneo,0.43
216,vuelta,0.43
217,kilo,0.42
218,línea,0.42
219,mira,0.42
220,noé huerta lauya,0.42
221,nuevo chimbote chimbote,0.42
222,nuevo chimbote persona,0.42
223,rutina,0.42
224,américo cárdenas quispe,0.41
225,cierre,0.41
226,conductor,0.41
227,consejo regional de huánuco,0.41
228,el juez informó,0.41
229,huánuco consejero cárdenas,0.41
230,liga betplay atlético nacional,0.41
231,tv,0.41
232,órgano,0.41
233,categoría,0.4
234,celebrada,0.4
235,día internacional de la limpieza de las playas,0.4
236,día internacional de — actualidadspda,0.4
237,mohamed salah,0.4
238,naby keita,0.4
239,opción,0.4
240,plataforma,0.4
241,provecho,0.4
242,video liverpool,0.4
243,alt,0.39
244,archivo,0.39
245,diócesis san carlos de puno,0.39
246,el exfutbolista brasileño,0.39
247,hospital,0.39
248,iglesia católica,0.39
249,inestabilidad,0.39
