,Word,Ponderado
0,nota,1.31
1,guido bellido,1.25
2,detalle,1.23
3,alejandro toledo,1.01
4,bancada,1.01
5,extradición,1.01
6,prensa,0.99
7,iber maraví,0.94
8,gobierno,0.93
9,perú,0.77
10,amenaza,0.74
11,eduardo guzmán,0.74
12,entrevista,0.74
13,gas de camisea,0.74
14,irtp,0.74
15,rené zubieta pacco,0.74
16,presidente,0.73
17,fallo,0.7
18,congreso,0.67
19,interpelación,0.67
20,prisión,0.66
21,vladimir cerrón,0.66
22,ministro,0.59
23,salida,0.59
24,agenda,0.51
25,canciller,0.51
26,comunicado,0.51
27,docilidad,0.51
28,falta,0.51
29,firmeza,0.51
30,acuerdo,0.49
31,conferencia,0.49
32,consejo de ministros,0.49
33,corpus,0.49
34,eeuu,0.49
35,hábea,0.49
36,ariana lira delcore   suscríbete,0.48
37,ministerio,0.48
38,audiencia,0.46
39,centro poder judicial,0.46
40,dinámicos,0.46
41,mes,0.46
42,diferencia,0.45
43,gabinete,0.45
44,cabecilla,0.42
45,congreso sesión,0.42
46,fiscalía,0.42
47,jueves,0.42
48,karem barboza quiroz,0.42
49,los dinámicos del centro,0.42
50,mañana,0.42
51,tiempo,0.42
52,aníbal torres,0.41
53,estado peruano,0.41
54,posición,0.41
55,satisfacción,0.41
56,actitud,0.39
57,alicia rojas  suscríbete,0.39
58,alicia rojas sánchez,0.39
59,comisión de ética,0.39
60,congresista,0.39
61,congreso legisladores,0.39
62,día,0.39
63,ernesto astonitas,0.39
64,guilermo bermejo,0.39
65,ipys,0.39
66,juez,0.39
67,medida,0.39
68,paso,0.39
69,pregunta,0.39
70,proceso,0.39
71,sanción,0.39
72,sebastian ortiz martínez,0.39
73,suscríbete,0.39
74,thomas s hixson,0.39
75,una nota de,0.39
76,adversario,0.37
77,ariana lira delcore,0.37
78,cuenta,0.37
79,expresidente,0.37
80,hombre,0.37
81,hora,0.37
82,red,0.37
83,twitter ministerio de trabajo,0.37
84,video,0.37
85,cifra,0.34
86,encuesta,0.34
87,ipsos,0.34
88,liderazgo,0.34
89,lima,0.34
90,pedro castillo,0.34
91,allanamiento,0.3
92,barboza,0.3
93,centro fiscalía,0.3
94,conocimiento,0.3
95,dinámico,0.3
96,fiscal,0.3
97,junín,0.3
98,karem,0.3
99,organización,0.3
100,realidad,0.3
101,renuncia,0.3
102,república,0.3
103,resolución,0.3
104,óscar maúrtua,0.3
105,comisión,0.28
106,rree,0.28
107,verdad,0.28
108,óscar maúrtua dice,0.28
