,Word,Ponderado
0,pedro castillo,1.59
1,partido,0.82
2,vi cumbre de la celac,0.82
3,méxico,0.79
4,abimael guzmán,0.78
5,resto,0.78
6,celac,0.77
7,perú,0.76
8,persona,0.74
9,presidente,0.61
10,césar hildebrandt,0.6
11,derechos,0.6
12,género,0.6
13,humanos,0.6
14,igualdad,0.6
15,periodista,0.6
16,protección,0.6
17,agenda,0.59
18,dama,0.59
19,estado,0.59
20,gira,0.59
21,jefe,0.59
22,ley,0.59
23,lilia paredes,0.59
24,elección,0.58
25,mandatario,0.58
26,pueblo,0.57
27,terrorismo,0.57
28,congresista,0.56
29,fiscal,0.56
30,keiko fujimori,0.56
31,pago,0.54
32,perú libre,0.53
33,2020,0.37
34,afiliado,0.37
35,congreso,0.37
36,montaje,0.37
37,presencia,0.37
38,wilber huacasi,0.37
39,billete,0.35
40,bolivia,0.35
41,celeridad,0.35
42,dina boluarte,0.35
43,economía,0.35
44,gabinete,0.35
45,garantía,0.35
46,importancia,0.35
47,julio velarde,0.35
48,par,0.35
49,parte,0.35
50,pobreza,0.35
51,responsabilidad,0.35
52,terrorista,0.35
53,tranquilidad,0.35
54,vicepresidenta,0.35
55,diferencia,0.34
56,la república,0.34
57,necesidad,0.34
58,cojudigno,0.33
59,compañía,0.33
60,corrupción,0.33
61,dictadura,0.33
62,el presidente de la república,0.33
63,espacio,0.33
64,honra,0.33
65,objetivo,0.33
66,padre,0.33
67,prefiero,0.33
68,toda,0.33
69,cargo,0.32
70,crematorio,0.32
71,cuerpo,0.32
72,cumbre,0.32
73,denuncia,0.32
74,designación,0.32
75,el cabecilla de sendero,0.32
76,entidad,0.32
77,escrutinio,0.32
78,esdras medina,0.32
79,falta,0.32
80,funcionario,0.32
81,gálvez,0.32
82,ipys,0.32
83,jnj,0.32
84,los cuellos blancos del puerto,0.32
85,medio,0.32
86,ministerio público,0.32
87,miércoles,0.32
88,morgue del callao,0.32
89,norteamérica,0.32
90,noticia,0.32
91,promulgación,0.32
92,renovación popular,0.32
93,respecto,0.32
94,septiembre,0.32
95,sociedad,0.32
96,tomás gálvez  el pleno,0.32
97,vivo,0.32
98,vínculo,0.32
99,acción,0.31
100,agresión,0.31
101,asignación,0.31
102,avelino guillén,0.31
103,centro,0.31
104,discriminación,0.31
105,discurso,0.31
106,dolor,0.31
107,exfiscal,0.31
108,fuerza popular,0.31
109,fuerza popular app avanza país juntos,0.31
110,gasto,0.31
111,gobierno,0.31
112,indagación,0.31
113,instalación,0.31
114,institución,0.31
115,investigación,0.31
116,lideresa,0.31
117,mano,0.31
118,país,0.31
119,perú perú libre renovación popular,0.31
120,podemos,0.31
121,policía,0.31
122,relación,0.31
123,representante,0.31
124,salida,0.31
125,sol,0.31
126,somos perú,0.31
127,venganza,0.31
128,“,0.31
129,2013,0.3
130,2017,0.3
131,año,0.3
132,contraloría,0.3
133,destitución,0.3
134,edgar alarcón,0.3
135,excongresista,0.3
136,perjuicio,0.3
137,s/,0.3
138,servicio,0.3
139,1993,0.29
140,2022,0.29
141,cabo,0.29
142,cambio,0.29
143,constitución,0.29
144,constitución política,0.29
145,consulta,0.29
146,proyecto,0.29
147,referéndum,0.29
148,reforma,0.29
149,arequipa,0.28
150,casa,0.28
151,comisión,0.28
152,dueño,0.28
153,elmer cáceres llica,0.28
154,elmer mamani,0.28
155,gobernador,0.28
156,hallazgo,0.28
157,informe,0.28
158,invasión,0.28
159,jardín del colca,0.28
160,lote,0.28
161,manzana,0.28
