,Word,Ponderado
0,columna,5.0
1,covid-19,4.74
2,persona,4.48
3,gobierno,4.24
4,año,4.17
5,dosis,4.08
6,país,4.08
7,ministro,3.96
8,perú,3.95
9,guido bellido,3.76
10,presidente,3.63
11,día,3.59
12,extradición,3.31
13,lima,3.24
14,prensa,3.08
15,minsa,2.97
16,caso,2.81
17,vivo,2.75
18,octubre,2.74
19,vacunación,2.69
20,edición matinal,2.66
21,nota,2.66
22,proceso,2.63
23,alejandro toledo,2.62
24,iber maraví,2.62
25,congreso,2.61
26,miércoles,2.57
27,muerte,2.53
28,lee,2.51
29,lea,2.39
30,vez,2.29
31,#,2.28
32,toledo,2.27
33,cambio,2.26
34,mes,2.24
35,gas de camisea,2.23
36,expresidente,2.16
37,camisea,2.14
38,renuncia,2.14
39,salud,2.12
40,representante,2.04
41,congresista,2.01
42,organización,2.0
43,tema,2.0
44,septiembre,1.97
45,pandemia,1.95
46,bancada,1.93
47,estado,1.93
48,nivel,1.93
49,tiempo,1.9
50,empresa,1.88
51,pedro castillo,1.88
52,audiencia,1.85
53,vladimir cerrón,1.83
54,millón,1.81
55,red,1.8
56,libro,1.78
57,detalle,1.76
58,coronavirus,1.75
59,región,1.75
60,paciente,1.74
61,protocolo,1.72
62,renegociación,1.71
63,acuerdo,1.69
64,conducción,1.68
65,miembro,1.67
66,miriency gonzález,1.67
67,refuerzo,1.67
68,control,1.63
69,entrevista,1.63
70,titular,1.62
71,amenaza,1.61
72,dinero,1.59
73,gas,1.58
74,perú libre,1.58
75,corpus,1.57
76,ley,1.57
77,parte,1.57
78,gabinete,1.55
79,pueblo,1.55
80,reglamento,1.55
81,madre,1.54
82,propuesta,1.54
83,conflictosmineros,1.53
84,mujer,1.53
85,población,1.52
86,m,1.5
87,maela,1.5
88,setiembre,1.49
89,vida,1.49
90,autoridad,1.47
91,delincuente,1.47
92,información,1.47
93,noticia,1.47
94,hombre,1.46
95,pcm,1.45
96,mayoría,1.44
97,servicio,1.44
98,mercado,1.43
99,maraví,1.42
100,agroecología,1.41
101,irtp,1.4
102,salida,1.39
103,agenda,1.38
104,bancada de perú libre,1.38
105,decisión,1.37
106,juan luis dammert bello,1.37
107,richard intriago,1.37
108,youtube,1.37
109,mensaje,1.36
110,mundo,1.35
111,cifra,1.34
112,enfermedad,1.34
113,juez,1.34
114,centro,1.31
115,cuenta,1.31
116,manera,1.31
117,canciller,1.28
118,silvana carrión,1.28
119,demanda,1.26
120,castillo,1.25
121,peruano,1.25
122,precio,1.25
123,falta,1.24
124,suspensión,1.24
125,venezuela,1.24
126,contumaz,1.22
127,presidenta,1.22
128,reo,1.22
129,trabajo,1.21
130,proyecto,1.19
131,venezolano,1.19
132,íber maraví,1.19
133,derecho,1.18
134,respuesta,1.17
135,retorno,1.17
136,desarrollo,1.16
137,martín vizcarra,1.15
138,mercedes aráoz,1.15
139,ministerio de salud,1.15
140,traidor,1.15
141,video,1.15
142,avanza país,1.14
143,dólar,1.14
144,muerto,1.14
145,alternativa,1.13
146,apoyo,1.13
147,planeta,1.13
148,solución,1.13
149,perro,1.12
150,relación,1.11
151,acusación,1.1
152,momento,1.1
153,aplicación,1.09
154,comunicado,1.09
155,imagen,1.09
156,medio,1.09
157,nación,1.09
158,territorio,1.09
159,reunión,1.08
160,vicecanciller,1.08
161,estación,1.07
162,luz,1.07
163,méxico,1.07
164,objetivo,1.07
165,joven,1.06
166,ecuador,1.05
167,exmandatario,1.05
168,interpelación,1.05
169,prisión,1.05
170,retiro,1.05
171,arequipa,1.04
172,mañana,1.04
173,mediodía,1.04
174,problema,1.04
175,citación,1.03
176,jefe,1.03
177,noche,1.03
178,través,1.03
179,aeropuerto,1.02
180,asociación,1.02
181,jueves,1.02
182,líder,1.02
183,agua,1.01
184,javier torres entrevista,1.01
185,la resaca,1.01
186,laura grados,1.01
187,minería,1.01
188,necesidad,1.0
189,san juan de lurigancho,1.0
190,verónika mendoza «sendero,1.0
191,verónika mendoza «sendero luminoso,1.0
192,cardióloga,0.99
193,incor,0.99
194,luisa talledo paredes,0.99
195,apra,0.98
196,estudio,0.98
197,producto,0.98
198,violencia,0.98
199,censura,0.96
200,factor,0.96
201,recurso,0.96
202,huancayo,0.95
203,sesión,0.95
204,grupo,0.94
205,hora,0.94
206,katy ugarte,0.94
207,pese,0.94
208,basura,0.93
209,bermejo,0.93
210,cerrón,0.93
211,ciencia,0.93
212,la palma,0.92
213,lava,0.92
214,mar,0.92
215,nacionalidad,0.92
216,noviembre,0.92
217,personal,0.92
218,psiquiatra,0.92
219,vacuna,0.92
220,«,0.92
221,avión,0.91
222,cabo,0.91
223,fundador,0.91
224,pasajero,0.91
225,regla,0.91
226,rt,0.91
227,rusia,0.91
