,Word,Ponderado
0,fecha,1.65
1,minuto,1.61
2,punto,0.94
3,mls,0.81
4,perú,0.66
5,tanto,0.66
6,pm,0.64
7,lugar,0.62
8,parcial,0.62
9,partido,0.61
10,jornada,0.6
11,luis advíncula,0.6
12,copa davis,0.59
13,gooollll,0.51
14,lópez,0.51
15,marcos,0.51
16,academia cantolao 0 d millán,0.48
17,césar vallejo,0.48
18,fase,0.48
19,liga 1,0.48
20,bordeaux,0.46
21,ligue 1,0.46
22,miguel trauco,0.46
23,saint-étienne,0.46
24,copa davis el encuentro,0.45
25,damir dzumhur,0.45
26,juan pablo varillas,0.45
27,momento,0.45
28,racha,0.45
29,anderson santamaría,0.42
30,atlas,0.42
31,liga mx,0.42
32,necaxa,0.42
33,torneo apertura,0.42
34,alianza universidad,0.41
35,carlos a mannucci,0.41
36,carlos a mannucci  c neumann,0.41
37,carlos a mannucci 1 f rodríguez,0.41
38,liga 1- fase 2 jornada 11 alianza universidad 1,0.41
39,p,0.41
40,atlanta united,0.4
41,binacional,0.4
42,conferencia este,0.4
43,dc united,0.4
44,edison flores,0.4
45,j villamarín,0.4
46,l campana,0.4
47,liga,0.4
48,palomino,0.4
49,sport boys,0.4
50,blanquirroja el partido,0.39
51,fútbol femenino,0.39
52,partido amistoso  alineación,0.39
53,unidos,0.39
54,vamo,0.39
55,athletic,0.37
56,athletic club getafe athletic club rayo vallecano afp,0.37
57,athletic club joão félix,0.37
58,club9,0.37
59,laliga  fecha 5 atlético de madrid 0,0.37
60,madridmomentáneamente,0.37
61,/difusión,0.36
62,campeonato sudamericano de voleibol 2021 nuestras chicas,0.36
63,chile,0.36
64,doncaster rovers,0.36
65,english league one rodrigo vilca,0.36
66,final,0.36
67,gracias,0.36
68,morecambe,0.36
69,no,0.36
70,obstante,0.36
71,participación,0.36
72,victoria,0.36
73,banco guayaquil nicoles charcopa,0.35
74,cara,0.35
75,ecuador,0.35
76,estadio,0.35
77,martes,0.35
78,selección peruana femenina,0.35
79,selección perú,0.35
80,amistoso internacional - fútbol femenino,0.34
81,atlético tucumán,0.34
82,boca,0.34
83,boca juniors,0.34
84,bosnia y herzegovina,0.34
85,campeonato sudamericano de voleibol,0.34
86,campo,0.34
87,carlos zambrano,0.34
88,cuando,0.34
89,deporte,0.34
90,directv,0.34
91,encuentro,0.34
92,ganamos,0.34
93,global,0.34
94,grupo mundial,0.34
95,insulto,0.34
96,juego,0.34
97,liga argentina,0.34
98,nerman fatic,0.34
99,nicolás álvarez,0.34
100,presencia,0.34
101,primera ronda,0.34
102,racing,0.34
103,selección peruana de tenis,0.34
104,serie,0.34
105,sports,0.34
106,vs,0.34
107,árbitro,0.34
108,duelo,0.32
109,dupla,0.32
110,jorge panta,0.32
111,mirza basic,0.32
112,representante,0.32
113,sergio galdos,0.32
114,tenis,0.32
115,tomislav brkic,0.32
116,ascoli,0.31
117,benevento,0.31
118,gianluca lapadula,0.31
119,insigne,0.31
120,los goles,0.31
121,luis gonzáles,0.31
122,m sau,0.31
123,puesto,0.31
124,serie b,0.31
125,américa,0.27
126,cantidad,0.27
127,compatriota,0.27
128,derrota,0.27
129,diferencia,0.27
130,equipo,0.27
131,gol,0.27
132,liga mx nuestro,0.27
133,pedro aquino,0.27
134,tabla,0.27
135,titular,0.27
136,toluca,0.27
137,torneo,0.27
