,Word,Ponderado
0,perú,1.52
1,selección,1.03
2,síguelo,1.0
3,ecuador,0.93
4,día,0.78
5,ga na,0.71
6,moooooos vamos perú,0.71
7,chica,0.7
8,carlos fernandez,0.67
9,transmisión,0.64
10,chile,0.62
11,global tv,0.59
12,barrancabermeja,0.58
13,copa davis,0.58
14,minuto,0.56
15,pm,0.56
16,vamo,0.56
17,varillas,0.56
18,directv sports,0.55
19,partido,0.51
20,apoyo,0.44
21,orgullos,0.44
22,sigamos,0.44
23,sudamericano hoy,0.44
24,alentemos,0.42
25,campeonato panamericano u19 vamos,0.42
26,enlace,0.42
27,semifinal,0.42
28,25-2025-1625-21,0.39
29,campeonato sudamericano de voleibol 2021,0.39
30,participación,0.39
31,triunfo,0.39
32,vamos,0.39
33,banco guayaquil,0.38
34,estadio,0.38
35,martes,0.38
36,nicoles charcopa,0.38
37,amistoso perú,0.36
38,copa davis perú,0.36
39,fpf play,0.36
40,panamericano,0.36
41,sudamericano perú,0.36
42,0nerman fatic,0.35
43,bosnia &amp herzegovina,0.35
44,copa davis  2nicolás álvarez,0.35
45,frente,0.35
46,ganamos,0.35
47,grupo mundial i,0.35
48,primera ronda,0.35
49,serie,0.35
50,0damir,0.34
51,encuentro,0.34
52,nicolas,0.34
53,pablo varillas 6/6,0.34
54,perú22 vamos perú,0.34
55,victoria,0.34
56,canal,0.33
57,casa,0.33
58,competencia,0.33
59,dobles,0.33
60,escríbeno,0.33
61,link,0.33
62,vamos perú,0.33
63,0sergio galdos,0.31
64,dupla,0.31
65,equipo,0.31
66,jorge panta 5/2 2mirza basic,0.31
67,marcador,0.31
68,tomislav brkic,0.31
69,tropiezo,0.31
70,clave,0.27
71,fecha,0.27
72,hd,0.27
73,sd/,0.27
74,señal,0.27
75,sigamos alentando,0.27
76,sudamericano femenino,0.27
77,través,0.27
