,Word,Ponderado
0,país,3.21
1,presidente,3.09
2,año,2.1
3,parte,2.04
4,septiembre,1.88
5,jornada,1.66
6,fortalecimiento,1.46
7,relación,1.46
8,miércoles,1.44
9,empresa,1.42
10,andré bretón surrealismo,1.41
11,marxismo,1.41
12,elección,1.4
13,crisis,1.39
14,elementos del escuadrón móvil antidisturbios,1.33
15,manifestación,1.33
16,noche,1.33
17,destino,1.29
18,mayoría,1.29
19,migrant,1.29
20,negativa,1.29
21,refugio,1.29
22,banda,1.2
23,desafío,1.18
24,frente,1.18
25,president,1.18
26,utilidad,1.18
27,violación,1.09
28,marco,1.08
29,alianza,1.06
30,avance,1.06
31,defensa,1.06
32,intento,1.06
33,más→,1.06
34,pacto,1.06
35,seguridad,1.06
36,tecnología,1.06
37,celebración,1.03
38,día internacional de concientización sobre pérdida y desperdicio de alimentos,1.03
39,favor,1.03
40,programa para el medio ambiente,1.03
41,caos,1.02
42,cuestión,1.02
43,familia,1.02
44,inestabilidad,1.02
45,jovenel moïse,1.02
46,magnicidio,1.02
47,presencia,1.02
48,asesor,0.97
49,autorización,0.97
50,comisión parlamentaria de investigación,0.97
51,covid,0.97
52,médico,0.97
53,paciente,0.97
54,prevent senior,0.97
55,tiempo,0.94
56,efe,0.93
57,niño,0.91
58,niña,0.89
59,centro,0.85
60,decena,0.85
61,fiscalía,0.85
62,motín,0.85
63,preso,0.85
64,constructora,0.84
65,dosis,0.84
66,expresidente,0.84
67,fin,0.84
68,fármaco,0.84
69,nación,0.84
70,población,0.84
71,soborno,0.84
72,tribunal,0.84
73,zona,0.84
74,fumio kishida,0.83
75,gobernante,0.83
76,ministro de asuntos exteriores,0.83
77,partido liberal democrático,0.83
78,ley,0.78
79,autoridad,0.77
80,enero,0.77
81,ministro,0.77
82,músico,0.77
83,noviembre,0.77
84,referéndum,0.77
85,revocación,0.77
86,blindaje,0.76
87,crítica,0.76
88,exmandatario,0.76
89,persecución,0.76
90,situación,0.76
91,vicepresidenta,0.76
92,hora,0.71
93,paro,0.71
94,cóctel,0.7
95,ciudad,0.68
96,estímulo,0.65
97,información,0.65
98,actitud,0.64
99,cargo,0.63
100,condena,0.63
101,ejército,0.63
102,emberá,0.63
103,fiscalía general de la nación,0.63
104,prisión,0.63
105,soldado,0.63
106,tribunal superior de pereira,0.63
107,caso,0.62
108,colegio de abogados de áfrica,0.62
109,continente,0.62
110,derecho,0.62
111,diplomático,0.62
112,espacio,0.62
113,estado,0.62
114,respeto,0.62
115,órden,0.62
116,actividad,0.61
117,aniversario,0.61
118,arma,0.61
119,creación,0.61
120,eliminación,0.61
121,geng shuangratificó,0.61
122,infante,0.61
123,organización,0.61
124,posición,0.61
125,representante,0.61
126,etapa,0.59
127,link,0.58
128,nicaragua,0.58
129,urna,0.58
130,aprobación,0.57
131,cámara de diputado,0.57
132,fondo,0.57
133,mitigación,0.57
134,pandemia,0.57
135,pensión,0.57
136,proyecto,0.57
137,retiro,0.57
138,senado,0.57
139,voto,0.57
140,the police,0.53
141,arquitectura,0.51
142,diálogo de alto nivel,0.51
143,organización internacional del trabajo,0.51
144,adquisición,0.49
145,adolescentes infractoras,0.46
146,centro penitenciario de guayas,0.46
147,guayaquil,0.46
148,servicio nacional de atención integral a personas adultas privadas de libertad,0.46
149,campo,0.45
150,referente,0.45
151,satisfacción,0.45
152,11180000,0.43
153,habitante,0.43
154,ministerio de salud,0.43
155,contagiados 232865405 fallecidos 4767363,0.41
156,directo,0.41
157,región,0.41
158,report,0.41
159,reporte,0.41
160,federación sindical de la administración nacional de combustible,0.4
161,gobierno,0.4
162,industria,0.4
163,objetivo,0.4
164,coctel,0.38
165,concentración,0.38
166,condición,0.38
167,exploración,0.38
168,fase,0.38
169,federación de funcionarios de salud pública,0.38
170,marco zagal,0.38
171,movilización,0.38
172,mundo,0.38
173,pensamiento,0.38
174,reclamo,0.38
175,edad,0.37
176,educativa,0.37
177,entorno,0.37
178,gusto,0.37
179,olfato,0.37
180,sentido,0.37
181,acto,0.36
182,declaración,0.36
183,efeméride,0.36
184,gobernador,0.36
185,luis arce,0.36
186,luis fernando camacho,0.36
187,profesional,0.36
188,rutina,0.36
189,sueño,0.36
190,aprendizaje,0.34
191,autoestima,0.34
192,construcción,0.34
193,importancia,0.34
194,valor,0.34
195,época,0.34
196,1983,0.33
197,aborto,0.33
198,apoyo,0.33
199,asunto,0.33
200,debate,0.33
201,despenalización,0.33
202,día de acción global,0.33
203,forma,0.33
204,gestación,0.33
205,gordon matthew sumner,0.33
206,hábito,0.33
207,interview magazine,0.33
208,joven,0.33
209,mujer,0.33
210,nací,0.33
211,nombre,0.33
212,plan,0.33
