,Word,Ponderado
0,edición matinal,2.64
1,covid-19,2.07
2,persona,1.74
3,conducción,1.55
4,dosis,1.23
5,refuerzo,1.23
6,país,1.16
7,pandemia,1.15
8,vacunación,1.06
9,año,0.97
10,miércoles,0.96
11,perú,0.96
12,presidente,0.96
13,lima,0.95
14,manera,0.95
15,nivel,0.95
16,noche,0.93
17,red,0.92
18,cardióloga,0.91
19,incor,0.91
20,luisa talledo paredes,0.91
21,best cable c92,0.9
22,c73,0.9
23,claro tv c14 sd,0.9
24,hd,0.9
25,movistar tv c12 sd,0.9
26,sintonízanos,0.9
27,star globalcom c12,0.9
28,tdt,0.9
29,televisión digital terrestre,0.9
30,mes,0.88
31,información,0.86
32,sesión,0.85
33,vez,0.79
34,enterándote,0.77
35,extradición,0.76
36,noticia,0.74
37,arequipa,0.73
38,minsa,0.71
39,titular,0.71
40,fin,0.69
41,tema,0.69
42,audiencia,0.67
43,enfermedad,0.66
44,noticias mañana,0.65
45,caso,0.64
46,partir,0.64
47,perro,0.64
48,propuesta,0.64
49,protocolo,0.64
50,salud,0.64
51,través,0.64
52,demanda,0.63
53,exmandatario,0.63
54,giovanni arce,0.62
55,paola pejovés,0.62
56,proceso,0.61
57,noticias tarde,0.6
58,roberto wong,0.6
59,tiempo,0.6
60,banda,0.58
61,delincuente,0.58
62,nacionalidad,0.58
63,ministro,0.57
64,huancayo,0.56
65,mercado,0.56
66,presidenta,0.55
67,droga,0.53
68,huaral,0.53
69,venta,0.53
70,aplicación,0.52
71,viceministro de salud pública,0.52
72,vivo,0.51
73,arma,0.5
74,autoridad,0.5
75,bancada de perú libre,0.5
76,canciller,0.5
77,celular,0.5
78,fuego,0.5
79,mujer,0.5
80,penal ancón,0.5
81,puente piedra,0.5
82,recluso,0.5
83,renuncia,0.5
84,vicecanciller,0.5
85,clímaco cárdenas,0.48
86,este miércoles desde las 900 pm por tvperú,0.48
87,reforma,0.48
88,dinero,0.47
89,expresidente,0.47
90,momento,0.47
91,proyecto,0.47
92,setiembre,0.47
93,silvana carrión,0.47
94,subsidio,0.47
95,búsqueda,0.46
96,cuidadora,0.46
97,empresa,0.46
98,gas de camisea,0.46
99,jefe del gabinete,0.46
100,joven,0.46
101,muerte,0.46
102,reunión,0.46
103,camioneta,0.45
104,chofer,0.45
105,mecánico,0.45
106,san juan de lurigancho,0.45
107,sicario,0.45
108,acción,0.43
109,cifra,0.43
110,defunción,0.43
111,gabinete ministerial,0.43
112,lunes,0.43
113,necesidad,0.43
114,pcm,0.43
115,ampliación,0.42
116,servicio,0.42
117,telecomunicación,0.42
118,transportes y comunicaciones,0.42
119,ayacucho,0.41
120,comisaría,0.41
121,disparo,0.41
122,miembro,0.41
123,pecho,0.41
124,tambo,0.41
125,baltazar lantarón,0.38
126,canon,0.38
127,gobernador,0.38
128,juego,0.38
129,protesta,0.38
130,regalía,0.38
131,voz,0.38
132,acuerdo,0.37
133,agencia efe,0.37
134,canal,0.37
135,cas,0.37
136,decisión,0.37
137,entrevista,0.37
138,gustavo rosell,0.37
139,juez,0.37
140,ley,0.37
141,luz,0.37
142,mañana,0.37
143,octubre,0.37
144,plataforma zoom,0.37
145,recomendación,0.37
146,régimen,0.37
147,tribunal constitucional,0.37
148,tribunal constitucional tv,0.37
149,activo,0.36
150,conare sutep,0.36
151,control,0.36
152,cócteles audiencia,0.36
153,delito,0.36
154,fundador,0.36
155,hijo,0.36
156,hábito,0.36
157,keiko fujimori,0.36
158,los padres debemos estar atentos con,0.36
159,maestro,0.36
160,movadef,0.36
161,niño,0.36
162,requerimiento,0.36
163,sindicato,0.36
164,sobrepeso,0.36
165,trabajo y promoción del empleo,0.36
166,vínculo,0.36
167,animal,0.35
168,carne,0.35
169,cocina,0.35
170,comité,0.35
171,crisis,0.35
172,dirección,0.35
173,edición mediodía,0.35
174,estado,0.35
175,estimación,0.35
176,excepción,0.35
177,guillermo lasso,0.35
178,mayoría,0.35
179,millón,0.35
180,murciélago,0.35
181,rabia,0.35
182,sistema,0.35
183,valle,0.35
184,a usted le gustaría,0.34
185,alcance,0.34
186,aprobación,0.34
187,balón,0.34
188,cabo,0.34
189,camisea,0.34
190,carlos anderson,0.34
191,comorbilidad,0.34
192,comunicaciones,0.34
193,congresista,0.34
194,consejo,0.34
195,dedo,0.34
196,director,0.34
197,equipo especial de reconstrucción con cambios,0.34
198,inoculación,0.34
199,interés,0.34
200,investigación,0.34
201,latinoamérica,0.34
202,maraví,0.34
203,mediodía,0.34
204,metro,0.34
205,ministerio de transportes,0.34
206,nación,0.34
207,nepeña,0.34
208,nosotros,0.34
209,obra,0.34
210,personal,0.34
211,peruano,0.34
212,presidencia del consejo de ministros,0.34
213,queremos que nuestro gas,0.34
214,río,0.34
215,salud pública gustavo rosell,0.34
216,semana,0.34
217,señor,0.34
218,sol,0.34
219,tardar,0.34
220,tránsito,0.34
221,universidad científica del sur,0.34
222,viceministro,0.34
223,voluntad,0.34
224,amparo,0.32
225,anticorrupción,0.32
226,apelación,0.32
227,consejo permanente de la oea,0.32
228,defensa,0.32
229,detalle,0.32
230,estado del continente,0.32
231,evaluación,0.32
232,exfiscal,0.32
233,habeas corpus,0.32
234,harold forsyth,0.32
235,inés tello,0.32
236,jefe,0.32
237,jueves,0.32
238,justicia,0.32
239,magistrado,0.32
240,mandatario,0.32
241,no te pierdas,0.32
242,pedro castillo,0.32
243,ratificación,0.32
244,recurso,0.32
245,tvperú,0.32
246,carlos scull,0.31
247,credencial,0.31
248,el perú,0.31
249,embajador,0.31
250,juan guaidó,0.31
251,libre,0.31
252,relación,0.31
253,venezuela,0.31
254,compromiso,0.29
255,entidad,0.29
256,expresión,0.29
257,irtp,0.29
258,labor,0.29
259,libertad,0.29
260,mtc,0.29
261,respeto,0.29
262,rosa garcía more,0.29
263,“,0.29
264,actividad,0.27
265,alcohol,0.27
266,caloría,0.27
267,consumo,0.27
268,dieta,0.27
269,estilo,0.27
270,exceso,0.27
271,falta,0.27
272,grasa,0.27
273,tabaco,0.27
274,vida,0.27
