,Word,Ponderado
0,persona,1.39
1,día,1.14
2,migrant,0.96
3,la tierra,0.88
4,órbita,0.88
5,semana,0.78
6,crisis,0.73
7,mujer,0.73
8,situación,0.7
9,bordo,0.66
10,edad,0.66
11,misión,0.66
12,trump,0.66
13,ataque,0.64
14,cápsula,0.64
15,frontera,0.63
16,eeuu,0.62
17,estado,0.62
18,comida,0.61
19,miembro,0.61
20,reto,0.61
21,agente,0.6
22,brian laundrie,0.6
23,zona,0.57
24,acto,0.47
25,altercado,0.47
26,incidente,0.47
27,puñal,0.47
28,colaboración,0.45
29,existencia,0.45
30,pese,0.45
31,the,0.45
32,vacuna,0.45
33,asesinato,0.44
34,el alcalde de del río texas roberto de los santos,0.44
35,estas,0.44
36,mayoría,0.44
37,niño,0.44
38,noticia,0.44
39,ponte,0.44
40,prueba,0.44
41,quiz,0.44
42,rescate,0.44
43,solo,0.44
44,aportación,0.43
45,estupefaciente,0.43
46,feligrés,0.43
47,fiesta,0.43
48,sacerdote,0.43
49,adulto,0.42
50,afganistán,0.42
51,congestión,0.42
52,error,0.42
53,hora,0.42
54,malestar,0.42
55,pentágono,0.42
56,puente internacional del río,0.42
57,california,0.41
58,ciudadanía,0.41
59,concurso,0.41
60,disfruta,0.41
61,donald trump,0.41
62,fotógrafo de astronomía del año,0.41
63,fuego,0.41
64,ganador,0.41
65,imagen,0.41
66,incendio colony,0.41
67,inmigración,0.41
68,milla,0.41
69,observatorio real de greenwich,0.41
70,presidencia,0.41
71,servicio,0.41
72,tardanza,0.41
73,tierra,0.41
74,árbol,0.41
75,biden,0.4
76,instrumento,0.4
77,méxico,0.4
78,título 42,0.4
79,bebida,0.39
80,cobertura,0.39
81,detalle,0.39
82,estatus,0.39
83,grifo,0.39
84,illinois,0.39
85,los daños van,0.39
86,manera,0.39
87,máquina,0.39
88,plantel,0.39
89,beneficio,0.38
90,bonificación,0.38
91,condición,0.38
92,demanda,0.38
93,empresa,0.38
94,inmigrante,0.38
95,municipio,0.38
96,país,0.38
97,regreso,0.38
98,salario,0.38
99,san francisco tlaltenango puebla,0.38
100,sector,0.38
101,spacex,0.38
102,trabajador,0.38
103,vivienda,0.38
104,espacio,0.37
105,inspiration4,0.37
106,tripulación,0.37
107,vivo después,0.37
108,año,0.36
109,control,0.36
110,deportación,0.36
111,dhs,0.36
112,envío,0.36
113,estrategia,0.36
114,joseph petito,0.36
115,joven,0.36
116,mensaje,0.36
117,padre,0.36
118,punto,0.36
119,verdad,0.36
120,cantidad,0.35
121,desarrollo,0.35
122,expresidente,0.35
123,manifestación,0.35
124,participante,0.35
125,seguidor,0.35
126,amerizaje,0.34
127,costa,0.34
128,florida,0.34
129,noche,0.34
130,sábado,0.34
131,turista,0.34
132,acr,0.31
133,allende,0.31
134,busca,0.31
135,ciudad,0.31
136,coahuila,0.31
137,fbi,0.31
138,llegada,0.31
139,north port,0.31
140,nuevo laredo,0.31
141,oficial,0.31
142,organización,0.31
143,policía,0.31
144,reserva carlton,0.31
145,reynosa matamoros,0.31
146,sur,0.31
147,tamaulipas,0.31
148,asalto,0.3
149,capitolio,0.3
150,congreso de eeuu,0.3
151,defensa,0.3
152,detenido,0.3
153,edificio,0.3
154,mes,0.3
155,sede,0.3
156,seguridad,0.3
157,amenaza,0.29
158,casa,0.29
159,cliente,0.29
160,coronavirus,0.29
161,denver colorado,0.29
162,disminución,0.29
163,establecimiento,0.29
164,momento,0.29
165,número,0.29
166,trabajo,0.29
167,celac,0.27
168,ciudad de méxico,0.27
169,cumbre,0.27
170,dólares,0.27
171,gobernante,0.27
172,gobierno,0.27
173,maduro,0.27
174,millón,0.27
175,paraguay,0.27
176,participación,0.27
177,recompensa,0.27
178,uruguay,0.27
179,venezuela,0.27
